score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=164|time=2023-10-15T05:37:27
100.0,120.0,C#,1693681540499,4438505,Eric_[EGU],FR,106573303077213,
100.0,121.0,C#,1693651579029,2928146,LolCat,MU,22538133010433,
100.0,139.0,C#,1681210020314,3354337,Westicles,CX,79146641399080,
100.0,176.0,C#,1681480560832,4341304,Remi.,FR,97662026388574,
100.0,180.0,C#,1689968246531,1399382,Regulus136,FR,4335723819637,
100.0,184.0,C#,1692869659962,4487490,cnk_gr,GR,69672501862552,
100.0,185.0,C#,1694290475876,2874091,5DN1L,GB,79633423380001,
100.0,186.0,C#,1690141914420,2460216,ElaineMarley,FI,85221183055358,
100.0,190.0,C#,1682333059423,5191042,Saphir123,FR,102291860878516,
100.0,192.0,C#,1686961270602,1557185,RALFMEISTER,PY,97268321788898,
100.0,213.0,C#,1686758979295,4844673,nalka,FR,106268722150417,
100.0,215.0,C#,1683233986073,1939310,MasterOfUnderscore,PT,81080588549660,
100.0,221.0,C#,1693396961522,154806,piwai,FR,1956863959967,
100.0,222.0,C#,1681568830889,948764,Katie,GB,2150180090592,
100.0,223.0,C#,1683569430471,4778561,Msurim,FR,89655720804715,
100.0,227.0,C#,1686002329174,5135323,__yel__p,FR,92869880984408,
100.0,231.0,C#,1681323721704,1093968,milosMATRIXrepic,RS,78180568348596,
100.0,234.0,C#,1680786121700,403748,[CG]SaiksyApo,FR,73884622868350,
100.0,234.0,C#,1682979975251,973040,papyjo,FR,15696776172839,
100.0,235.0,C#,1681650390692,5218199,Smont,IT,,
100.0,244.0,C#,1681490108019,3308199,ChadThundercode,RU,26870541968187,
100.0,249.0,C#,1695252174856,886483,R4N4R4M4,FR,7943435133357,
100.0,253.0,C#,1681753426541,792813,VilBoub,FR,72010225615995,
100.0,262.0,C#,1684502367280,1720510,DeanTheMachine,CA,19926056859805,
100.0,271.0,C#,1695671173425,389786,menu,DE,,
100.0,288.0,C#,1687383892103,5177607,Nyx54,FR,93420161141099,
100.0,299.0,C#,1688985739601,4239399,b18a9n,DE,69147906614519,
100.0,304.0,C#,1691746882227,2995359,SL_Gambit,LK,71198200347600,
100.0,311.0,C#,1684786389431,3647844,rc95401,US,39486169555819,
