score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=19|time=2025-04-28T05:05:14
100.0,160.0,Dart,1745085445366,2536538,Pduhard-,FR,141372882868918,
100.0,175.0,Dart,1695330224928,4438505,Eric_[EGU],FR,114044329618574,
100.0,188.0,Dart,1681808633026,4341304,Remi.,FR,97662026388574,
100.0,201.0,Dart,1686157601420,5429383,Tatur2000,FR,102119084943733,
100.0,247.0,Dart,1681206194532,3354337,Westicles,CX,79146641399080,
100.0,299.0,Dart,1694379685209,2874091,5DN1L,GB,134264063920528,
100.0,1688.0,Dart,1680167740004,4308802,Ascodran,FR,63699964010463,
0.0,1848.0,Dart,1680167870015,3075636,Dr-D,DE,24333340096983,
0.0,1963.0,Dart,1680167920006,2087409,yoplaboom,FR,,
0.0,1963.0,Dart,1680167970014,1374052,Pesegato,IT,4764559749623,
0.0,1963.0,Dart,1680167980008,1966358,Cars-II,FR,,
0.0,2053.0,Dart,1680167970014,2104943,Kevox,AT,13642712233781,
0.0,2053.0,Dart,1680167970014,2118608,Tustin123,GB,,
0.0,2053.0,Dart,1680167990007,1753424,FilkinKuiv,UA,10100504747660,
0.0,2053.0,Dart,1680167990007,1735801,blvck21,DE,9555650962662,
0.0,2053.0,Dart,1680168030005,1526243,ash2620,IN,,
0.0,2053.0,Dart,1680168030005,1640371,Rx-K1NG,ID,7948065030726,
0.0,2053.0,Dart,1680168030005,1390607,Ivan_Derzhylo,UA,67601821029462,
0.0,2053.0,Dart,1680168040003,844245,JamesDasaule,FR,5668307997446,
