score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=41|time=2020-05-22T00:53:01
100,62,Bash,1567946835000,2288263,dbdr,UA,43448306132121,
100,63,Bash,1567946835000,1654818,tarapitha,EE,79401682508715,
100,66,Bash,1575679601000,1537792,AsaiYusuke,US,41785380851985,
100,69,Bash,1567946835000,805067,Magus,FR,24623991925371,
100,69,Bash,1567946835000,2178794,Unihedron,HK,17500773502453,
100,72,Bash,1567946835000,512097,Stilgart,FR,69893904259383,
100,72,Bash,1567946835000,155774,dwarfie,FR,17785582865119,
100,75,Bash,1588293053000,925695,Boulet,FR,29121141951376,
100,76,Bash,1567946835000,334009,abouvier,FR,4681436111242,
100,76,Bash,1584407603000,1962352,DPAmar,FR,56994389567033,
100,77,Bash,1584151827000,709490,Sinlepuissant,FR,2102604527472,
100,78,Bash,1571099447000,973040,papyjo,FR,15696776172839,
100,87,Bash,1567946835000,600941,mrv,PL,,
100,89,Bash,1567946835000,154984,_Royale,FR,17869369984436,
100,89,Bash,1581901374000,918352,CoYoTe99,FR,1755001060817,
100,91,Bash,1574123872000,3509975,bneumann,HU,35027463301192,
100,93,Bash,1569285040000,2928146,LolCat,MU,22538133010433,
100,93,Bash,1580171439000,3540338,CAV,FR,,
100,94,Bash,1567946835000,2416641,Zenoscave,US,16732569385856,
100,94,Bash,1567946835000,1481673,robymus,HU,7200546412094,
100,94,Bash,1578790355000,1950948,tssw,SK,,
100,101,Bash,1588121968000,3165536,barbora,SK,44036705103292,
100,104,Bash,1567946835000,1629259,Marchete,ES,61997162908277,
100,104,Bash,1567946835000,854169,Silmaen,FR,26099485782783,
100,108,Bash,1586827832000,2436448,FrancoisMeme,FR,62658720056908,
100,109,Bash,1580776951000,1968855,ThePurificator,FR,12329456921169,
100,109,Bash,1581641193000,1833680,jvivenot,FR,10877987072863,
100,123,Bash,1567946835000,351062,Neumann,FR,17173563008577,
100,124,Bash,1567946835000,2853578,Colombo,BR,22589373239518,
100,126,Bash,1567946835000,886483,R4N4R4M4,FR,7943435133357,
100,134,Bash,1567946835000,2998138,hoeskioeh,DE,23306747598878,
100,149,Bash,1567946835000,607150,Frisky,AU,2069938577914,
100,156,Bash,1587347955000,992329,BeeGee,NL,5817423526804,
100,158,Bash,1567946835000,1464932,Tiramon,DE,12287237914571,
100,160,Bash,1585874508000,3622757,anid,,,
100,166,Bash,1567946835000,2786666,TetraktysPhi,FR,20818693590142,
100,178,Bash,1576802435000,1759839,matleg,FR,27938585309756,
100,233,Bash,1568161844000,3465335,nQ,DE,33460668324556,
100,263,Bash,1567946835000,2744095,ArSeNiK,TH,,
100,263,Bash,1582074237000,371603,martin,CA,1761380964089,
100,660,Bash,1567946835000,1740037,ereiam,FR,12669494111004,
