score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=14|time=2020-10-02T02:44:04
100,140,Dart,1600224984000,2288263,dbdr,UA,43448306132121,
100,140,Dart,1600483628000,155774,dwarfie,FR,17785582865119,
100,142,Dart,1567946836000,1654818,tarapitha,EE,79401682508715,
100,144,Dart,1567946836000,1357614,OptiPanda,FR,25029501539760,
100,151,Dart,1583112893000,1436776,BrainSolver,FR,10099178983053,
100,155,Dart,1567946836000,1001096,MyIIone,AT,4231449697357,
100,155,Dart,1598810526000,3845610,pardouin,FR,60364063762936,
100,218,Dart,1567946836000,2786666,TetraktysPhi,FR,20818693590142,
100,225,Dart,1597278643000,3869618,tsds,RU,46148249699201,
100,235,Dart,1600483628000,3922731,Dartisan,LU,101995908419116,
100,282,Dart,1600310350000,3354337,Westicles,CX,79146641399080,
100,419,Dart,1567946836000,1740037,ereiam,FR,12669494111004,
100,424,Dart,1598927451000,3941789,LastRick,US,48856908381842,
100,795,Dart,1593045966000,820000,ValGrowth,JP,95440985747208,
