score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=11|time=2021-01-25T05:33:31
100,106,F#,1585961606000,1537792,AsaiYusuke,US,41785380851985,
100,116,F#,1609900262000,2928146,LolCat,MU,22538133010433,
100,147,F#,1600569439000,3354337,Westicles,CX,79146641399080,
100,152,F#,1583283107000,1436776,BrainSolver,FR,10099178983053,
100,156,F#,1605062557000,1848459,Velcoro,CZ,48538649860014,
100,159,F#,1567946837000,1654818,tarapitha,EE,79401682508715,
100,183,F#,1567946837000,155774,dwarfie,FR,17785582865119,
100,211,F#,1567946837000,1629259,Marchete,ES,61997162908277,
100,293,F#,1567946837000,2414991,MiloCooper,US,16620246782924,
100,504,F#,1567946837000,1740037,ereiam,FR,12669494111004,
100,1004,F#,1572222643000,2661589,LePelicanFushia,FR,19179871240625,
