score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=23|time=2022-03-06T00:30:57
100,89,Groovy,1595727368000,155774,dwarfie,FR,17785582865119,
100,89,Groovy,1628729588000,3380184,chouch,FR,,
100,99,Groovy,1598927453000,1178276,Jerome_95,FR,19999067509724,
100,102,Groovy,1628386529000,1567943,LazyMammal,CA,54419089430083,
100,104,Groovy,1567946835000,1654818,tarapitha,EE,79401682508715,
100,108,Groovy,1644629879000,2874091,5DN1L,GB,79633423380001,
100,115,Groovy,1642206652000,3845610,pardouin,FR,60364063762936,
100,136,Groovy,1628470053000,2315158,luigi_gelato,DE,,
100,142,Groovy,1626139028000,3354337,StraumliPerversion,CX,79146641399080,
100,170,Groovy,1635295110000,1441239,Dyd,IT,71707560017158,
100,172,Groovy,1643675456000,4699407,Soarjusy,FR,,
100,222,Groovy,1633223544000,154806,piwai,FR,1956863959967,
88.88888888888889,123,Groovy,1567946835000,2178794,Unihedron,HK,17500773502453,
77.77777777777777,155,Groovy,1605574810000,1848459,Velcoro,CZ,48538649860014,
44.44444444444444,164,Groovy,1567946835000,1407420,kiril76,CH,,
0,89,Groovy,1595727368000,2288263,dbdr,UA,43448306132121,
0,147,Groovy,1583368737000,1436776,BrainSolver,FR,10099178983053,
0,165,Groovy,1619756679000,2290633,field3,JP,75961127697737,
0,202,Groovy,1619408315000,1179950,Patorikkuyatta,FR,94806006573123,
0,218,Groovy,1567946835000,2786666,TetraktysPhi,FR,20818693590142,
0,242,Groovy,1603593243000,3305510,TBali,HU,26750785092441,
0,283,Groovy,1624432239000,4240675,ProfessorKelly,US,60584886296282,
0,875,Groovy,1567946835000,1001266,Chamel,PL,3202310175320,
