score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=11|time=2020-07-08T00:35:50
100,150,Rust,1584355754000,709490,Sinlepuissant,FR,2102604527472,
100,199,Rust,1567946834000,2288263,dbdr,UA,43448306132121,
100,201,Rust,1567946834000,1629259,Marchete,ES,61997162908277,
100,201,Rust,1567946834000,1654818,tarapitha,EE,79401682508715,
100,204,Rust,1583631659000,1436776,BrainSolver,FR,10099178983053,
100,206,Rust,1567946834000,1001096,MyIIone,AT,4231449697357,
100,368,Rust,1567946834000,2786666,TetraktysPhi,FR,20818693590142,
100,430,Rust,1584894201000,2538423,jihele,FR,,
100,1315,Rust,1567946834000,1472747,GrSpirit,RU,8676157706088,
100,1601,Rust,1567946834000,3291305,Fairax,RU,,
100,1683,Rust,1583206180000,2533716,Jensim,SE,41019505217174,
