score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=36|time=2024-06-08T04:07:56
100.0,94.0,Swift,1680976363576,3354337,Westicles,CX,79146641399080,
100.0,105.0,Swift,1693663228480,2928146,LolCat,MU,22538133010433,
100.0,113.0,Swift,1582652662369,709490,Sinlepuissant,FR,2102604527472,
100.0,129.0,Swift,1582919735380,1436776,BrainSolver,FR,10099178983053,
100.0,130.0,Swift,1662482773899,2874091,5DN1L,GB,79633423380001,
100.0,131.0,Swift,1600164307848,2288263,dbdr,UA,43448306132121,
100.0,132.0,Swift,1561989341727,1629259,Marchete,ES,61997162908277,
100.0,134.0,Swift,1557605125182,1654818,tarapitha,EE,79401682508715,
100.0,134.0,Swift,1598487971480,3845610,pardouin,FR,60364063762936,
100.0,136.0,Swift,1618493264347,1179950,CodeVanguard,FR,115134327079567,
100.0,139.0,Swift,1652958104902,1939310,MasterOfUnderscore,PT,81080588549660,
100.0,163.0,Swift,1554629929285,2786666,TetraktysPhi,FR,20818693590142,
100.0,163.0,Swift,1654698923841,4341304,Remi.,FR,97662026388574,
100.0,165.0,Swift,1553979516121,155774,dwarfie,FR,17785582865119,
100.0,180.0,Swift,1605023105007,1848459,Velcoro,CZ,48538649860014,
100.0,234.0,Swift,1660321753245,4846841,Snowy1803,FR,88008787127941,
100.0,250.0,Swift,1592390743729,1466631,Akrib,FR,17971797700592,
100.0,250.0,Swift,1673893215188,5265466,Alexfr88,FR,96706365905872,
100.0,308.0,Swift,1676880580383,4974359,M-M-M,US,86498165549364,
100.0,311.0,Swift,1622301962181,1325107,rdutot,FR,61333328327288,
100.0,382.0,Swift,1582152569013,3686127,HarlekinX,DE,40609903634145,
100.0,382.0,Swift,1609106619163,3665464,TheFalk,DE,39932163246167,
100.0,394.0,Swift,1567440278125,1021061,divbyzero,UA,33158881147991,
100.0,430.0,Swift,1553181013342,1740037,ereiam,FR,12669494111004,
100.0,453.0,Swift,1616082539862,3376962,Kous92,FR,67826402972113,
100.0,632.0,Swift,1610919002752,3305510,TBali,HU,26750785092441,
100.0,969.0,Swift,1682770075530,4909727,djibs07,FR,84315305240750,
100.0,1424.0,Swift,1598998181324,3156114,InsertNAme,LT,,
100.0,1442.0,Swift,1694517544089,4978483,Aleboo,MA,,
100.0,1619.0,Swift,1604060272815,4033245,Ruvy2000,CH,,
100.0,1931.0,Swift,1634849566844,4565315,Luc-OlivierMERSON,FR,72261046807609,
100.0,2025.0,Swift,1692709000408,702506,SerSer,FR,,
100.0,2110.0,Swift,1624289134068,4334077,VonDerManzen,GB,118094862007905,
0.0,0.0,Swift,1599662637869,3968399,dormeur2009,FR,49866926833934,
0.0,649.0,Swift,1555090972402,3142618,paxrex88,US,24950265143756,
0.0,2973.0,Swift,1673648331813,4724377,Hean,BE,96829827766149,
