score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=10|time=2019-11-18T01:55:19
100,132,D,1571447798000,2288263,dbdr,UA,43448306132121,
100,138,D,1571013030000,1740037,ereiam,FR,12669494111004,
100,149,D,1570494638000,1629259,Marchete,ES,61997162908277,
100,206,D,1571877025000,155774,dwarfie,FR,17785582865119,
100,215,D,1571447798000,1654818,tarapitha,EE,79401682508715,
100,261,D,1573779499000,2069141,tomeko,PL,13370027887052,
100,312,D,1572568226000,2786666,TetraktysPhi,FR,20818693590142,
100,1028,D,1570235437000,257832,BlaiseEbuth,,,
100,1103,D,1573864697000,1077559,PhOeNyX,FR,2248934338554,
100,1849,D,1570235437000,805067,Magus,FR,24623991925371,
