score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=100|time=2025-03-30T04:10:06
100.0,130.0,Rust,1681417186719,3380184,chouch,FR,,
100.0,130.0,Rust,1692959962820,4438505,Eric_[EGU],FR,114044329618574,
100.0,179.0,Rust,1696194078923,973040,papyjo,FR,15696776172839,
100.0,183.0,Rust,1680956286820,3354337,Westicles,CX,79146641399080,
100.0,185.0,Rust,1634925716049,1515891,ndc,RU,57247748477088,
100.0,199.0,Rust,1595617569742,1654818,tarapitha,EE,79401682508715,
100.0,210.0,Rust,1562151037937,2288263,dbdr,UA,43448306132121,
100.0,213.0,Rust,1627133382365,709490,Sinlepuissant,FR,2102604527472,
100.0,244.0,Rust,1594745970100,1436776,BrainSolver,FR,10099178983053,
100.0,246.0,Rust,1457215793812,925695,Boulet,FR,29121141951376,
100.0,275.0,Rust,1606850430708,3869618,tsds,RU,46148249699201,
100.0,277.0,Rust,1604843167036,1684030,Mator,FR,14204349233622,
100.0,278.0,Rust,1634042709392,3845610,pardouin,FR,60364063762936,
100.0,291.0,Rust,1456623861850,1188212,superredlark,CN,2920737364455,
100.0,295.0,Rust,1695379424388,2874091,5DN1L,GB,134264063920528,
100.0,346.0,Rust,1725224049439,1503942,ityt,FR,84222203728927,
100.0,367.0,Rust,1677793999146,5191042,Saphir123,FR,102291860878516,
100.0,407.0,Rust,1596487805527,1399382,Regulus136,FR,4335723819637,
100.0,445.0,Rust,1737463452398,1404934,tarriel,AU,40400349677311,
100.0,496.0,Rust,1599818783059,3954613,kellda,CH,,
100.0,507.0,Rust,1602001480468,2837654,R2B2,FR,,
100.0,512.0,Rust,1630879221852,3670631,merlleu,FR,99897247220079,
100.0,516.0,Rust,1679660379043,1502573,Eviber,FR,24176549616585,
100.0,544.0,Rust,1603738360886,817627,geot,HU,3738338490760,
100.0,544.0,Rust,1642870260664,3343665,Quidome,NL,42613726657704,
100.0,562.0,Rust,1457902179647,155774,dwarfie,FR,17785582865119,
100.0,564.0,Rust,1466360389090,1279751,Tudou,GB,3467400516695,
100.0,565.0,Rust,1636806610526,1861258,Nazdhun,DE,11477900555178,
100.0,568.0,Rust,1719954484053,1276099,Caemor,DE,,
100.0,579.0,Rust,1629231302459,3514975,PhuRiNaT,TH,97597367576293,
100.0,579.0,Rust,1677155208257,4587710,Smetalka,HR,,
100.0,585.0,Rust,1669215315039,4841063,Naxus,FR,104762183855753,
100.0,586.0,Rust,1494607365214,604167,chango,CH,12610458268103,
100.0,586.0,Rust,1532052613373,2315411,cejonio,VE,15624450307485,
100.0,586.0,Rust,1566998551758,854169,Silmaen,FR,26099485782783,
100.0,586.0,Rust,1594017715055,3808031,_proton,US,44172683522650,
100.0,586.0,Rust,1615907370939,1910916,VivienBillot,FR,53165247393812,
100.0,586.0,Rust,1621387572193,4334077,vondermanzen,GB,118094862007905,
100.0,586.0,Rust,1636144420883,4184379,romain.wg,FR,62225442503286,
100.0,586.0,Rust,1653830574960,4419628,.fill.,DE,120617106839502,
100.0,587.0,Rust,1674683995452,1035630,Vestiaz,FR,8121133110363,
100.0,588.0,Rust,1661982196720,1538846,ZweiPunktFuenf,DE,6087236394563,
100.0,595.0,Rust,1633537242932,3493230,sgalasso,FR,34359181686532,
100.0,602.0,Rust,1493652722725,1967236,IBUzPE9,RU,,
100.0,605.0,Rust,1673712678837,3256989,rizant,RU,,
100.0,613.0,Rust,1642430757854,4341304,Remi.,FR,97662026388574,
100.0,621.0,Rust,1661102996973,3305510,TBali,HU,26750785092441,
100.0,641.0,Rust,1540020170506,2786666,TetraktysPhi,FR,20818693590142,
100.0,651.0,Rust,1726945269950,5785444,Anastaszor,FR,114174227258262,
100.0,653.0,Rust,1697222995933,389786,menu,DE,,
100.0,666.0,Rust,1568300563620,154388,PonyPonyCodeCode,FR,37335148285737,
100.0,668.0,Rust,1534498825678,2069141,tomeko,PL,13370027887052,
100.0,669.0,Rust,1518941521109,1740037,ereiam,FR,12669494111004,
100.0,680.0,Rust,1596478336239,1514899,Wcubed,NL,9956582675868,
100.0,711.0,Rust,1619373224264,2290633,field3,JP,75961127697737,
100.0,721.0,Rust,1609330798888,2419811,Valbou,FR,37231983233550,
100.0,730.0,Rust,1674301093032,5195059,Kkameleon,GB,93935780544430,
100.0,749.0,Rust,1518304109201,2413534,EveningRust,DE,16604972875583,
100.0,759.0,Rust,1485718023551,1777302,Ithinuel,GB,10244123611114,
100.0,766.0,Rust,1475620551015,512097,Stilgart,FR,69893904259383,
100.0,770.0,Rust,1611916608331,2172874,Med1atr1ce,FR,54126726936477,
100.0,779.0,Rust,1602632539434,2546042,Badewanne3,BE,51069345814525,
100.0,785.0,Rust,1722270994636,6122001,QuantumGerbil,US,,
100.0,834.0,Rust,1719749531651,5573671,LeMasSon,FR,107252527944826,
100.0,840.0,Rust,1680602552622,4861700,AshamanCooper,CA,82531002390823,
100.0,855.0,Rust,1645974549224,4127464,Segfault_4573256634,FR,83175520188166,
100.0,857.0,Rust,1483014451070,1703408,GHajba,HU,110156506384802,
100.0,923.0,Rust,1623337895759,4380232,zsacul,PL,65773326281969,
100.0,991.0,Rust,1680594458805,4610030,Daxlo,US,73613880684651,
100.0,1047.0,Rust,1621524765462,1179950,Avatar3,FR,141922867390601,
100.0,1124.0,Rust,1501760432586,901546,Vinatorul,RU,13640687952038,
100.0,1200.0,Rust,1658213063369,4880807,W_codex,FR,,
100.0,1228.0,Rust,1700574249139,2257917,CainKellye,HU,95783080022575,
100.0,1347.0,Rust,1658189368591,4245920,DavidSichma,DE,,
100.0,1470.0,Rust,1510801391545,1427871,rebol,US,19781974228029,
100.0,1603.0,Rust,1736843395983,6440250,Lightning.tech,JP,137315986978686,
100.0,1667.0,Rust,1722942421518,4133724,KsandrKj,RU,58269385097147,
100.0,1730.0,Rust,1574081443163,1077559,PhOeNyX,FR,2248934338554,
100.0,1774.0,Rust,1589918746841,1834905,[Constanze],HU,79044606715223,
100.0,1836.0,Rust,1650320373428,1408691,YaVol,FR,,
100.0,1842.0,Rust,1729950093016,4648520,Rance_X,FR,74870666576183,
100.0,2006.0,Rust,1739945371136,6478474,Amaz_CM_3,JP,138334048845196,
100.0,2171.0,Rust,1739946121631,6444583,Amaz_Blackhole,AU,140177587070370,
100.0,2303.0,Rust,1739945196147,6444593,Amaz_CH_2,PH,138514128711075,
100.0,2454.0,Rust,1739772926462,6444589,Amaz_IC_3,US,136948440953513,
100.0,2465.0,Rust,1711664821846,1287115,JuH33,FR,121282740683860,
100.0,2587.0,Rust,1739857346812,6444664,Amaz_SN_3,US,138006980919635,
100.0,2587.0,Rust,1739945620815,5650065,Amaz_CL_1,US,109739302664266,
100.0,2598.0,Rust,1739945414026,6444612,Amaz_JH_4,FI,138153544632249,
100.0,2705.0,Rust,1464435968999,805067,Magus,FR,24623991925371,
100.0,2752.0,Rust,1517148727373,2435595,tya5,JP,,
100.0,2829.0,Rust,1668451410802,3386967,parceval3000,DE,92236924636779,
100.0,2942.0,Rust,1507192920575,788361,Bob,FR,29407964997640,
100.0,3045.0,Rust,1682579145109,1723084,Heinens,FR,,
100.0,3633.0,Rust,1464369583627,1323814,Wildcat-SC,FR,70979840035465,
100.0,3712.0,Rust,1613946432652,4155398,Bibobu,FR,,
100.0,4161.0,Rust,1601656623789,3982722,maihd,VN,50674703426694,
100.0,4288.0,Rust,1464210547386,154984,_Royale,FR,17869369984436,
