score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=21|time=2024-05-14T04:07:44
100.0,136.0,Rust,1686599408552,4438505,Eric_[EGU],FR,114044329618574,
100.0,199.0,Rust,1681034026613,3354337,Westicles,CX,79146641399080,
100.0,287.0,Rust,1698867937776,2874091,5DN1L,GB,79633423380001,
100.0,302.0,Rust,1698443593384,973040,papyjo,FR,15696776172839,
100.0,328.0,Rust,1682856173433,1515891,ndc,RU,57247748477088,
100.0,397.0,Rust,1681379839701,5191042,Saphir123,FR,102291860878516,
100.0,497.0,Rust,1695125433267,4801044,TN19N,MA,108952404845497,
100.0,756.0,Rust,1696692264421,3305510,TBali,HU,26750785092441,
100.0,1430.0,Rust,1680174450006,843141,Gurgel100,CH,,
100.0,1475.0,Rust,1680174340003,5102883,palako,GB,90907902132761,
100.0,1721.0,Rust,1680174220006,5331127,vlevko,UA,,
100.0,1784.0,Rust,1680174280003,3386967,parceval3000,DE,92236924636779,
100.0,1839.0,Rust,1680174170012,4072267,tk555,JP,54685546742510,
100.0,1848.0,Rust,1680174350006,1655524,Pmimo,FR,9401432217978,
100.0,2039.0,Rust,1680174280003,3945844,Nectorath,BY,110092585186508,
100.0,2208.0,Rust,1680174220006,2965171,Raventyrr,FR,,
100.0,2347.0,Rust,1680174450006,2005208,TechTheAwesome,VN,12719147223593,
100.0,2736.0,Rust,1680174520003,4887424,Odalrik,FR,,
100.0,2799.0,Rust,1680174470006,3160478,Arian,IR,,
100.0,2934.0,Rust,1680174470006,3901536,Pizicool,FR,46804481449711,
100.0,3226.0,Rust,1680174510005,4506498,TimeEngineer,FR,70268445540702,
