score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=10|time=2026-02-05T05:11:26
100.0,93.0,ObjectiveC,1744839258454,1399382,Regulus136,FR,4335723819637,
100.0,107.0,ObjectiveC,1744635336455,2536538,Pduhard-,FR,141372882868918,
100.0,111.0,ObjectiveC,1687018025572,5429383,Tatur2000,FR,102119084943733,
100.0,136.0,ObjectiveC,1681249230349,3845610,pardouin,FR,60364063762936,
100.0,137.0,ObjectiveC,1681050393552,3354337,Westicles,CX,79146641399080,
100.0,211.0,ObjectiveC,1686128270579,3502478,tachan,JP,,
100.0,229.0,ObjectiveC,1740068115783,4110073,souta_1326,JP,57746784258907,
100.0,241.0,ObjectiveC,1724764547801,2874091,5DN1L,GB,134264063920528,
100.0,596.0,ObjectiveC,1681496655168,2924895,trictrac,FR,23056996012330,
100.0,719.0,ObjectiveC,1759655486616,1179950,KAKAROT_MPL,JP,157026924965413,
