score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=39|time=2024-12-11T04:11:30
100.0,263.0,C,1697097154744,1093968,milosMATRIXrepic,RS,117470302748056,
100.0,263.0,C,1721332861436,1399382,Regulus136,FR,4335723819637,
100.0,321.0,C,1724412622490,2874091,5DN1L,GB,134264063920528,
100.0,330.0,C,1726414598133,1766582,smugiss,LT,,
100.0,339.0,C,1681471078216,3845610,pardouin,FR,60364063762936,
100.0,339.0,C,1691587314436,3918583,mikmak,FR,48134583112917,
100.0,341.0,C,1681076078775,3354337,Westicles,CX,79146641399080,
100.0,417.0,C,1697280834903,154806,piwai,FR,1956863959967,
100.0,479.0,C,1727118377854,973040,papyjo,FR,15696776172839,
100.0,654.0,C,1683570040417,2311105,kovi,HU,20774306904131,
100.0,834.0,C,1683385865914,2924895,trictrac,FR,23056996012330,
100.0,1185.0,C,1680856001165,4341304,Remi.,FR,97662026388574,
100.0,1872.0,C,1680788129358,218189,[CG]Maxime,FR,2925297592678,
100.0,2006.0,C,1706552303415,956638,Pi-Geometry,FR,50157040295797,
100.0,2180.0,C,1698485613971,886483,R4N4R4M4,FR,7943435133357,
100.0,2498.0,C,1680171810013,1323814,Wildcat-SC,FR,70979840035465,
100.0,2599.0,C,1680171870019,3085420,MJZ,CZ,24789393424290,
100.0,3110.0,C,1680171880006,3789595,jgmp,GB,,
100.0,4485.0,C,1680171830062,3711954,kpjl,FR,,
100.0,4493.0,C,1680171760009,4969870,thyma,FR,,
100.0,5158.0,C,1680171760009,4979338,ImageProjection,RU,,
100.0,5287.0,C,1680171820005,4065227,Pamplemus,CA,53971529478633,
100.0,5301.0,C,1680172000006,2407994,EliasHasle,NO,25675384478961,
100.0,5511.0,C,1680171830062,4380134,Blatnik,NL,,
100.0,5955.0,C,1680171820005,1029663,Skreamly,FR,10310918289639,
100.0,6172.0,C,1680171940004,2641712,Scarlatine,SE,19128425061644,
100.0,6306.0,C,1680171930008,1036222,Aarnoo,FR,,
100.0,6853.0,C,1680171700082,5156547,Renumi,DE,,
100.0,6941.0,C,1680171760009,3964714,mingl,RU,,
100.0,8214.0,C,1680172060008,646906,aaaaaaaaaaaaaaaaaaaa,FR,,
100.0,9328.0,C,1680172010007,2866124,Tucos,NL,,
100.0,10517.0,C,1680172010007,2526322,hybiscus,FR,18419958954748,
100.0,11587.0,C,1680171820005,2468853,ppajuel,ES,68644546356679,
100.0,12624.0,C,1680171760009,935744,Alcalyn,FR,12077756999042,
100.0,13521.0,C,1680171760009,4972099,,RU,,
100.0,14896.0,C,1680171890004,4010756,Sinda,FR,,
100.0,15807.0,C,1680172070003,1783604,Vry,FR,13586498256488,
0.0,495.0,C,1728940967929,6322864,elif279,TR,,
0.0,495.0,C,1732016100057,6367928,,IN,,
