score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=13|time=2024-07-05T04:09:52
100.0,403.0,Kotlin,1696891144139,1093968,milosMATRIXrepic,RS,117470302748056,
100.0,462.0,Kotlin,1698941156736,2874091,5DN1L,GB,79633423380001,
100.0,520.0,Kotlin,1684156181129,3502478,tachan,JP,,
100.0,3029.0,Kotlin,1681077569531,3354337,Westicles,CX,79146641399080,
100.0,3910.0,Kotlin,1680979915251,3996809,VizGhar,SK,82217880354500,
100.0,3922.0,Kotlin,1680171880006,1767134,AntonYuriev,RU,10153090319868,
100.0,3923.0,Kotlin,1688293764491,4427323,DrSzuriad,PL,86819623905732,
100.0,4378.0,Kotlin,1680171950006,3488041,KodeMonkey,US,34223383760464,
100.0,5002.0,Kotlin,1680171880006,1848459,Velcoro,CZ,48538649860014,
100.0,5943.0,Kotlin,1680171750005,1388952,Nik95,FR,84778506431283,
100.0,15072.0,Kotlin,1680171940004,3253838,Bozzio,FR,100633483135953,
100.0,85664.0,Kotlin,1680171890004,1624708,lifran,US,54053746330759,
83.0,5864.0,Kotlin,1680171990018,3161175,ReivaX,FR,25118415416602,
