score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=15|time=2024-05-30T04:09:28
100.0,261.0,Rust,1698354431038,4438505,Eric_[EGU],FR,114044329618574,
100.0,417.0,Rust,1681078285219,3354337,Westicles,CX,79146641399080,
100.0,639.0,Rust,1691084477523,2874091,5DN1L,GB,79633423380001,
100.0,1609.0,Rust,1696272374082,3305510,TBali,HU,26750785092441,
100.0,1947.0,Rust,1686836380555,2288263,dbdr,UA,43448306132121,
100.0,2601.0,Rust,1680171930008,3391525,xayon40-12,FR,46691381414967,
100.0,4200.0,Rust,1680171930008,1932980,AlexandreK,FR,30714560059953,
100.0,4432.0,Rust,1680171880006,915244,moon_invader,DZ,51227224623407,
100.0,7672.0,Rust,1680171830062,1641537,ari33,FR,70270582245655,
100.0,9595.0,Rust,1680171710069,1394691,ManuS,BE,88219269312056,
100.0,10141.0,Rust,1680171700082,1414854,jpages,FR,53841227796564,
100.0,10514.0,Rust,1680171820005,1129777,Velvacaine,CA,59727663468173,
100.0,12163.0,Rust,1680172050003,1116421,obeltrando,FR,2734216286895,
100.0,13566.0,Rust,1680172050003,2371142,Tzargoth,US,16497184744519,
0.0,1239.0,Rust,1713539973185,4044949,Exanc,FR,75434945111960,
