score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=22|time=2024-11-11T04:10:22
100.0,79.0,Bash,1684997396046,5436334,saito_ta,JP,102476026435385,
100.0,81.0,Bash,1694367339789,2928146,LolCat,MU,22538133010433,
100.0,101.0,Bash,1680660273457,4876171,j4at,TN,83445448969831,
100.0,101.0,Bash,1681011925051,3354337,Westicles,CX,79146641399080,
100.0,101.0,Bash,1681069510998,3845610,pardouin,FR,60364063762936,
100.0,101.0,Bash,1684700909611,4341304,Remi.,FR,97662026388574,
100.0,101.0,Bash,1730499721258,2924895,trictrac,FR,23056996012330,
100.0,113.0,Bash,1686235640698,3502478,tachan,JP,,
100.0,118.0,Bash,1683922973388,4438505,Eric_[EGU],FR,114044329618574,
100.0,130.0,Bash,1686326606957,5429383,Tatur2000,FR,102119084943733,
100.0,134.0,Bash,1689080815436,5271147,yoch,IL,96235642204607,
100.0,135.0,Bash,1686008282501,5135323,__yel__p,FR,92869880984408,
100.0,136.0,Bash,1680805784050,4966586,Rohydre,FR,,
100.0,142.0,Bash,1721923181421,6132028,NicknamedTwice,GB,127813288492906,
100.0,142.0,Bash,1723723903256,973040,papyjo,FR,15696776172839,
100.0,161.0,Bash,1682868706870,1588583,dANNs,GB,9401676737311,
100.0,190.0,Bash,1706526999640,956638,Pi-Geometry,FR,50157040295797,
100.0,202.0,Bash,1681014794619,4263196,yechielv,IL,87806028604243,
100.0,214.0,Bash,1683060903715,2874091,5DN1L,GB,79633423380001,
100.0,239.0,Bash,1683613142921,1050420,EVGENIVS,US,20435686404425,
100.0,505.0,Bash,1680174640006,4641581,hoody7,PL,,
0.0,301.0,Bash,1714059463599,6062687,andeemar,PH,,
