score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=38|time=2025-04-21T04:12:46
100.0,143.0,Rust,1694982963745,4438505,Eric_[EGU],FR,114044329618574,
100.0,174.0,Rust,1744758418276,2536538,Pduhard-,FR,141372882868918,
100.0,188.0,Rust,1681026255101,3354337,Westicles,CX,79146641399080,
100.0,205.0,Rust,1698943509748,973040,papyjo,FR,15696776172839,
100.0,278.0,Rust,1697539356044,2874091,5DN1L,GB,134264063920528,
100.0,292.0,Rust,1737764399249,5818971,sht_2,PL,138656726356304,
100.0,354.0,Rust,1695118168870,4801044,TN19N,MA,125201140302257,
100.0,356.0,Rust,1681379380828,5191042,Saphir123,FR,102291860878516,
100.0,391.0,Rust,1701016852514,5819817,Nili,SE,,
100.0,607.0,Rust,1696180800610,3305510,TBali,HU,26750785092441,
100.0,741.0,Rust,1742827743117,1179950,EchoesOfEven,US,142809584561577,
100.0,851.0,Rust,1681457979068,5265466,Alexfr88,FR,96706365905872,
100.0,867.0,Rust,1680174830005,2005208,TechTheAwesome,VN,12719147223593,
100.0,895.0,Rust,1680174650005,5276640,Nightwish,GB,96420943136690,
100.0,966.0,Rust,1680174880003,4506498,TimeEngineer,FR,70268445540702,
100.0,1004.0,Rust,1680174810004,5029617,Teurlinx,NL,88611581187892,
100.0,1022.0,Rust,1680174990005,4706250,ToPi314,DE,,
100.0,1038.0,Rust,1680174770009,5067068,Loukis-13,BR,89936789619257,
100.0,1060.0,Rust,1680174890004,4846884,rostyslav52,FR,,
100.0,1084.0,Rust,1680174630005,5331127,vlevko,UA,,
100.0,1089.0,Rust,1680174590003,4072267,tk555,JP,54685546742510,
100.0,1162.0,Rust,1680174880003,1711347,shizune,CH,9247066497533,
100.0,1169.0,Rust,1680174750004,5102883,palako,GB,90907902132761,
100.0,1180.0,Rust,1701731638212,1588269,Emptee,FR,,
100.0,1292.0,Rust,1680174930004,4263894,N0D4WN,NL,83505761573341,
100.0,1349.0,Rust,1680174630005,2965171,Raventyrr,FR,,
100.0,1351.0,Rust,1680174640006,1767504,routger,NL,,
100.0,1355.0,Rust,1733688064969,4508244,Yanun,TW,105808429125875,
100.0,1416.0,Rust,1680174830005,843141,Gurgel100,CH,,
100.0,1437.0,Rust,1680174810004,3647676,diegoasanch,AR,65217483728017,
100.0,1468.0,Rust,1680174590003,2670511,Jujulego,FR,19318572558994,
100.0,1548.0,Rust,1680174710004,3691491,icecream17,US,42082469656497,
100.0,1606.0,Rust,1680174640006,5085665,kishink,JP,,
100.0,1810.0,Rust,1680174820005,1361985,snafu,AT,88535168131599,
100.0,1871.0,Rust,1680174590003,2314852,Cheshulko,UA,,
100.0,1924.0,Rust,1680174750004,1176022,NevinFlanagan,US,,
100.0,2215.0,Rust,1680174930004,3727532,,DE,,
58.333333333333336,1630.0,Rust,1698004535042,5744974,YourNighty,DE,,
