score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=51|time=2024-06-18T04:08:45
100.0,106.0,TypeScript,1695017324537,4438505,Eric_[EGU],FR,114044329618574,
100.0,111.0,TypeScript,1694245075852,2928146,LolCat,MU,22538133010433,
100.0,135.0,TypeScript,1684699270219,3380184,chouch,FR,,
100.0,135.0,TypeScript,1684703637142,4341304,Remi.,FR,97662026388574,
100.0,135.0,TypeScript,1691066877630,1399382,Regulus136,FR,4335723819637,
100.0,140.0,TypeScript,1684913705087,3918583,mikmak,FR,48134583112917,
100.0,155.0,TypeScript,1686574970793,2315158,luigi_gelato,DE,,
100.0,158.0,TypeScript,1700054884094,1093968,milosMATRIXrepic,RS,117470302748056,
100.0,161.0,TypeScript,1690268850998,2874091,5DN1L,GB,79633423380001,
100.0,165.0,TypeScript,1686265130137,2371389,Franta,CZ,16642908084028,
100.0,174.0,TypeScript,1708438133818,4537924,ArtesScytale,BE,121331549433012,
100.0,176.0,TypeScript,1681746328842,4832181,VisualDev-FR,FR,94025066322906,
100.0,176.0,TypeScript,1690566061490,1441239,Dyd,IT,71707560017158,
100.0,179.0,TypeScript,1684007872398,1939310,MasterOfUnderscore,PT,81080588549660,
100.0,190.0,TypeScript,1686604310285,3502478,tachan,JP,,
100.0,193.0,TypeScript,1700341360671,4031451,pbou,FR,55429746348651,
100.0,195.0,TypeScript,1682336973217,952784,[CG]Simon,FR,15794417868476,
100.0,206.0,TypeScript,1682031363524,1802967,Meruem,FR,31992166318610,
100.0,209.0,TypeScript,1684706998673,4258711,FredericLocquet,FR,123496928111420,
100.0,210.0,TypeScript,1681399904806,948764,Katie,GB,2150180090592,
100.0,212.0,TypeScript,1684175267205,5428098,Elikyyu,FR,103793622779702,
100.0,213.0,TypeScript,1680801862331,4966586,Rohydre,FR,,
100.0,215.0,TypeScript,1682590368892,1475413,AlucardDH,FR,4898493641535,
100.0,220.0,TypeScript,1680792309945,1228581,Ghouls_only_drink_coffee,SK,13838897360267,
100.0,227.0,TypeScript,1695631123046,5163410,LOKI_78,LU,93367947956362,
100.0,236.0,TypeScript,1681156461579,351062,Neumann,FR,17173563008577,
100.0,310.0,TypeScript,1691263521506,3444208,Anatoli,DE,32592586143834,
100.0,476.0,TypeScript,1680174590003,4627390,Carlos-,FR,,
100.0,499.0,TypeScript,1680174830005,4749616,El0i,FR,85828085921056,
100.0,525.0,TypeScript,1680174890004,4907484,LFabre,PT,104664620606325,
100.0,599.0,TypeScript,1680174590003,5352938,josia62,MG,99953749895679,
100.0,612.0,TypeScript,1680174940007,4045062,ChaosCat,DE,,
100.0,623.0,TypeScript,1680174640006,5193590,SAOUDI-H,FR,93994881504496,
100.0,690.0,TypeScript,1680174650005,5255195,TheKelp,FR,,
100.0,731.0,TypeScript,1680174830005,4971174,UzoHub,FR,,
100.0,740.0,TypeScript,1680174880003,4315542,That_Guy977,TH,70798689790356,
100.0,766.0,TypeScript,1680174950004,4798287,Pietsen,DE,,
100.0,783.0,TypeScript,1686909473671,5501109,Kentoche,FR,,
100.0,790.0,TypeScript,1680174650005,4961117,LudovicB,FR,,
100.0,825.0,TypeScript,1680174810004,5025755,TomBAN,FR,88564120622158,
100.0,836.0,TypeScript,1712659066638,6042186,G-Dam,DE,,
100.0,1048.0,TypeScript,1680174990005,4708505,fbufler,DE,,
100.0,1059.0,TypeScript,1680174690010,3423097,AndersonCastro,BR,31726609839413,
100.0,1081.0,TypeScript,1680174710004,4994999,ElPouky,FR,87305262910559,
100.0,1165.0,TypeScript,1688959830869,5577201,HungLe965,VN,107762581823237,
100.0,1196.0,TypeScript,1680174820005,4243274,4367Alpha,FR,89617004610366,
100.0,1227.0,TypeScript,1680174870002,4871261,PendiDev,FR,82953126179950,
100.0,1568.0,TypeScript,1680845584848,3354337,Westicles,CX,79146641399080,
100.0,1632.0,TypeScript,1680174990005,2541415,GermainJonathan,FR,18282692574158,
100.0,3328.0,TypeScript,1680174700007,1799080,spenser-c137,US,12216112294898,
41.666666666666664,1206.0,TypeScript,1697219015911,5756922,Malekabbes,FR,113040789153168,
