score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=74|time=2019-11-01T00:30:32
100,164,Rust,1571620206000,1483723,d-s-x,RU,4980051025170,
100,165,Rust,1571360341000,2288263,dbdr,UA,43448306132121,
100,179,Rust,1567946821000,709490,Sinlepuissant,FR,2102604527472,
100,244,Rust,1571704862000,155774,dwarfie,FR,17785582865119,
100,259,Rust,1567946821000,2413534,EveningRust,DE,16604972875583,
100,262,Rust,1567946821000,1399382,Regulus136,FR,4335723819637,
100,267,Rust,1567946821000,1084203,lipkab,HU,4097167211081,
100,275,Rust,1567946821000,1500515,eulerscheZahl,DE,43135502422075,
100,284,Rust,1567946821000,925695,Boulet,FR,29121141951376,
100,287,Rust,1567946821000,154388,WORST_DEV_EVER,FR,37335148285737,
100,306,Rust,1567946821000,2606595,PaulH,IE,18543060323599,
100,351,Rust,1567946821000,365796,CvxFous,FR,2892223124232,
100,355,Rust,1567946821000,1128769,Dwakus,US,15192965381212,
100,360,Rust,1567946821000,2786666,TetraktysPhi,FR,20818693590142,
100,364,Rust,1567946821000,1231532,Arnaud_63,FR,3236083680840,
100,365,Rust,1567946821000,1394530,Idleless,CA,4170046072282,
100,369,Rust,1567946821000,2025454,stakka,BE,12903317402326,
100,378,Rust,1567946821000,1975116,[BT]Atte,FI,12400468367460,
100,379,Rust,1567946821000,1464932,Tiramon,DE,12287237914571,
100,389,Rust,1571273987000,1404934,tarriel,AU,40400349677311,
100,392,Rust,1567946821000,1597334,Mono,BE,,
100,420,Rust,1567946821000,1908091,RedAustin,FR,83000946649049,
100,420,Rust,1567946821000,1164798,ndriscoll,US,4828266338970,
100,429,Rust,1567946821000,996696,XO-Splicer,DE,1972462911848,
100,443,Rust,1567946821000,1689362,TaylorSwift,FR,11169375377722,
100,451,Rust,1567946821000,1740037,ereiam,FR,12669494111004,
100,452,Rust,1567946821000,1188212,superredlark,CN,2920737364455,
100,457,Rust,1567946821000,3325474,Bobbadillio,US,53857963585019,
100,461,Rust,1567946821000,1532100,imperio,FR,,
100,492,Rust,1567946821000,2870113,Reeeeeeeee,DE,29430122930956,
100,492,Rust,1567946821000,999596,Schyrsivochter,DE,,
100,498,Rust,1567946821000,1573641,Headingtofall,US,,
100,499,Rust,1567946821000,817627,geot,HU,3738338490760,
100,500,Rust,1567946821000,1515577,Frettchen7,DE,,
100,502,Rust,1567946821000,1166600,Gill153,CA,3702759276181,
100,520,Rust,1567946821000,1390789,Matthieu.L,FR,36482342568862,
100,564,Rust,1567946821000,2830703,singron,US,,
100,570,Rust,1567946821000,2457219,Memorion,DE,,
100,580,Rust,1567946821000,2725239,Zandy156,US,35237029461849,
100,663,Rust,1567946821000,1371420,FerrusDude,US,15695581430629,
100,671,Rust,1567946821000,1379639,Bluesk13s,NO,,
100,673,Rust,1567946821000,1563805,Eswcvlad,BY,6258817199934,
100,716,Rust,1567946821000,1546047,,,,
100,719,Rust,1567946821000,1323814,SatineChatounette,FR,70979840035465,
100,819,Rust,1567946821000,1654818,tarapitha,EE,79401682508715,
100,827,Rust,1567946821000,226115,Nergal,FR,1822981218014,
100,845,Rust,1567946821000,1582011,cryp,NL,,
100,909,Rust,1567946821000,1687230,Yoopo,FR,,
100,927,Rust,1567946821000,2355500,Esteth,GB,,
100,966,Rust,1571273987000,1077559,PhOeNyX,FR,2248934338554,
100,975,Rust,1567946821000,1495491,[Random]-J3ff3z,FR,25546988440003,
100,1007,Rust,1567946821000,199979,VonRickroll,FR,4699081038708,
100,1012,Rust,1567946821000,1215408,tle-meur,FR,4526090010842,
100,1120,Rust,1567946821000,900557,AlexBobkov,RU,11563497377240,
100,1127,Rust,1567946821000,1279751,Tudou,GB,3467400516695,
100,1153,Rust,1567946821000,735910,Agade,CH,1997542876524,
100,1158,Rust,1567946821000,2043908,AntiSquid,,,
100,1291,Rust,1567946821000,3370514,mdsimmo,,,
100,1336,Rust,1567946821000,1028456,danielinux,IT,2080203429999,
100,1345,Rust,1567946821000,3380102,Ashitaka,,,
100,1468,Rust,1567946821000,875453,Chapel,FR,9636408345593,
100,1529,Rust,1567946821000,3240292,Traumination,FR,25789743774955,
100,1570,Rust,1567946821000,1433338,Elykia,CH,4453583282073,
100,1704,Rust,1567946821000,869020,M.M.,US,1787510294915,
100,1826,Rust,1567946821000,1066028,JrmC,FR,2834222029361,
100,1826,Rust,1567946821000,1065845,Oli8,FR,2986082369890,
100,1826,Rust,1567946821000,1068877,[CPC]Tamno,FR,2254398342499,
100,1865,Rust,1567946821000,2538423,jihele,FR,,
100,1881,Rust,1567946821000,418468,f_koala,UA,11709660102261,
100,1897,Rust,1567946821000,1502753,yefremov,LV,5314673807627,
100,1926,Rust,1567946821000,788361,Bob,FR,29407964997640,
100,1963,Rust,1567946821000,805067,Magus,FR,24623991925371,
100,2021,Rust,1567946821000,826372,skyyker,RE,54542165670172,
100,2277,Rust,1567946821000,1001096,MyIIone,AT,4231449697357,
