score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=35|time=2020-04-28T01:14:20
100,67,TypeScript,1571620207000,1483723,d-s-x,RU,4980051025170,
100,79,TypeScript,1582418751000,371603,martin,CA,1761380964089,
100,84,TypeScript,1577925755000,2288263,dbdr,UA,43448306132121,
100,85,TypeScript,1576552566000,1845617,Shingyx,AU,26010702723839,
100,91,TypeScript,1583714017000,481564,mihei,RU,4454400756022,
100,96,TypeScript,1578100950000,1436776,BrainSolver,FR,10099178983053,
100,96,TypeScript,1584583292000,903179,maksmas,EE,101274743228150,
100,97,TypeScript,1579739759000,1931039,MooMooN,FR,11972180817471,
100,108,TypeScript,1578011520000,155774,dwarfie,FR,17785582865119,
100,110,TypeScript,1570494647000,1629259,Marchete,ES,61997162908277,
100,112,TypeScript,1582765786000,1740037,ereiam,FR,12669494111004,
100,113,TypeScript,1587953071000,940791,Kris117,FR,16280535626899,
100,117,TypeScript,1572828115000,3380514,DFrese,DE,30555045908186,
100,117,TypeScript,1581986246000,2622559,Gripnil,FR,19024435956137,
100,131,TypeScript,1579399358000,2923506,darkhorse64,FR,23496414257567,
100,141,TypeScript,1582159722000,3651809,NicknameRequired,VA,40440567983888,
100,142,TypeScript,1587516200000,893541,wala,FR,97577641170180,
100,154,TypeScript,1582159722000,3306721,webpac,FR,,
100,160,TypeScript,1576802428000,510258,Zard,FR,16837149977711,
100,161,TypeScript,1578011520000,1244685,dorion,FR,21623788646587,
100,175,TypeScript,1572568234000,2786666,TetraktysPhi,FR,20818693590142,
100,187,TypeScript,1581641184000,2419811,Valbou,FR,37231983233550,
100,188,TypeScript,1571099433000,3515657,Piwapo,BE,35096504730839,
100,191,TypeScript,1572066669000,3504573,ChrisOz,AU,35540929862328,
100,204,TypeScript,1573000237000,3531488,Dryadim,FR,35488801936304,
100,234,TypeScript,1579048232000,962222,b3nja,FR,,
100,356,TypeScript,1580517035000,3397508,MaelFr,FR,,
100,356,TypeScript,1587516200000,3777151,simonme,DE,43145243609581,
100,367,TypeScript,1580862635000,3648050,CocoCouq,FR,39490627918112,
100,396,TypeScript,1579399358000,1654818,tarapitha,EE,79401682508715,
100,484,TypeScript,1582681633000,2411213,Toto34070,FR,,
100,549,TypeScript,1571447805000,1077559,PhOeNyX,FR,2248934338554,
100,1063,TypeScript,1582681633000,788361,Bob,FR,29407964997640,
100,1226,TypeScript,1578790344000,2043908,AntiSquid,,,
100,1330,TypeScript,1571013037000,3520876,inertiamoe,US,35250628562541,
