score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=25555|time=2020-03-22T16:23:05
100,43,Perl,1567946823000,154372,Plopx,FR,7959085736890,
100,45,Bash,1567946822000,154372,Plopx,FR,7959085736890,
100,45,Bash,1567946822000,1654818,tarapitha,EE,79401682508715,
100,45,Ruby,1567946826000,154372,Plopx,FR,7959085736890,
100,46,Bash,1567946822000,2288263,dbdr,UA,43448306132121,
100,46,Ruby,1567946826000,574371,Dillysfriend,US,1890070725954,
100,46,Ruby,1567946826000,599674,NinetyOne,US,1890119238339,
100,47,Bash,1567946822000,705188,Olivier,FR,,
100,48,Perl,1567946823000,1193408,DoubleZeroSteph,FR,3015400557516,
100,48,Ruby,1567946826000,579894,Binarii,US,,
100,48,Ruby,1567946826000,423611,Ciaran,GB,,
100,49,Ruby,1567946826000,1147111,-_.a-zA-Z0-9,RU,4612277158809,
100,49,Ruby,1567946826000,1114496,BlasphemousCrossbreed,UA,2486265138222,
100,49,Ruby,1567946826000,1193408,DoubleZeroSteph,FR,3015400557516,
100,50,ObjectiveC,1567946826000,2288263,dbdr,UA,43448306132121,
100,50,Ruby,1567946826000,557990,Wazemo,PL,1724224108740,
100,50,Ruby,1567946826000,1483723,d-s-x,RU,4980051025170,
100,50,Ruby,1567946826000,574656,dmpage,US,1759291406309,
100,50,Ruby,1567946826000,600941,mrv,PL,,
100,50,C,1567946827000,2288263,dbdr,UA,43448306132121,
100,50,Perl,1582505942000,1537792,AsaiYusuke,US,41785380851985,
100,51,Perl,1567946823000,705188,Olivier,FR,,
100,51,Perl,1567946823000,1414038,sobrom,JP,,
100,51,Perl,1567946823000,1654818,tarapitha,EE,79401682508715,
100,51,ObjectiveC,1567946826000,334009,abouvier,FR,4681436111242,
100,51,Ruby,1567946826000,1654818,tarapitha,EE,79401682508715,
100,51,C,1567946827000,334009,abouvier,FR,4681436111242,
100,52,Ruby,1567946826000,545951,AntonT,RU,1979045068345,
100,52,Ruby,1567946826000,447386,carldr,GB,,
100,53,Bash,1567946822000,446956,FranMowinckel,ES,10994587230396,
100,53,Perl,1567946823000,334009,abouvier,FR,4681436111242,
100,53,Ruby,1567946826000,1068877,[CPC]Tamno,FR,2254398342499,
100,53,C,1567946827000,1629259,Marchete,ES,61997162908277,
100,54,Perl,1567946823000,154984,_Royale,FR,17869369984436,
100,54,Ruby,1567946826000,1001096,MyIIone,AT,4231449697357,
100,54,C,1567946827000,154372,Plopx,FR,7959085736890,
100,54,C,1567946827000,1100752,ValNykol,GB,10307803807981,
100,55,PHP,1567946822000,2288263,dbdr,UA,43448306132121,
100,55,Perl,1576802427000,3611574,Brauzeuge,DE,38391541651302,
100,55,Ruby,1580345016000,420043,maxim_mazurok,AU,110161421460174,
100,56,Perl,1567946823000,1001096,MyIIone,AT,4231449697357,
100,56,Perl,1567946823000,155928,pk,FR,1720918958539,
100,56,Perl,1567946823000,608132,seiji,BE,4987997303800,
100,56,Javascript,1567946825000,2449749,H.,ES,16987075738587,
100,56,Javascript,1567946825000,1483723,d-s-x,RU,4980051025170,
100,56,Ruby,1567946826000,588783,adwiii,US,1717886703184,
100,56,Ruby,1568890134000,2067432,erickael,FR,,
100,57,Bash,1567946822000,1193408,DoubleZeroSteph,FR,3015400557516,
100,57,Bash,1567946822000,1620803,Lyapunov,HU,8098302957147,
100,57,Perl,1567946823000,154906,JBM,CH,,
100,57,Ruby,1567946826000,886483,R4N4R4M4,FR,7943435133357,
100,57,Ruby,1567946826000,1100752,ValNykol,GB,10307803807981,
100,57,Ruby,1567946826000,490905,lechium06_,PL,1716926865465,
100,57,Bash,1584063098000,1537792,AsaiYusuke,US,41785380851985,
100,58,Bash,1567946822000,512097,Stilgart,FR,69893904259383,
100,58,Perl,1567946823000,1023075,Naro,DZ,2072711628218,
100,58,Perl,1567946823000,886483,R4N4R4M4,FR,7943435133357,
100,58,Perl,1567946823000,1100752,ValNykol,GB,10307803807981,
100,58,Perl,1567946823000,838037,sas4eka,NL,3786833777106,
100,58,Javascript,1567946825000,599674,NinetyOne,US,1890119238339,
100,58,Javascript,1567946825000,154372,Plopx,FR,7959085736890,
100,58,Javascript,1567946825000,848989,revever,FR,3260982337452,
100,58,Python3,1567946825000,848604,Sablier,FR,5344362713317,
100,58,Ruby,1567946826000,1500628,mardybm,RU,5276612912897,
100,58,C,1567946827000,1858764,vdevid,FR,11208522318239,
