score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=1343|time=2024-01-07T04:07:27
100.0,114.0,Ruby,1700862149932,1399382,Regulus136,FR,4335723819637,
100.0,114.0,Perl,1701291102914,4438505,Eric_[EGU],FR,114044329618574,
100.0,117.0,Ruby,1693219047977,1725941,TFeld,DK,77240442360963,
100.0,117.0,Ruby,1701291005381,4438505,Eric_[EGU],FR,114044329618574,
100.0,122.0,Bash,1701291599732,4438505,Eric_[EGU],FR,114044329618574,
100.0,136.0,Perl,1682583265303,5436334,saito_ta,JP,102476026435385,
100.0,137.0,Ruby,1682200119661,4263196,yechielv,IL,87806028604243,
100.0,143.0,Javascript,1687858109378,3918583,mikmak,FR,48134583112917,
100.0,143.0,Javascript,1700861273953,1399382,Regulus136,FR,4335723819637,
100.0,143.0,PHP,1701291719837,4438505,Eric_[EGU],FR,114044329618574,
100.0,148.0,Javascript,1686690563227,2315158,luigi_gelato,DE,,
100.0,153.0,Bash,1682201157338,4263196,yechielv,IL,87806028604243,
100.0,156.0,Ruby,1688893359679,1566335,BeardedWhale,SE,36571449875674,
100.0,158.0,Python3,1687823163359,2552218,Jakque,FR,21307149950021,
100.0,158.0,Python3,1698856436896,154806,piwai,FR,1956863959967,
100.0,158.0,Python3,1700861497271,1399382,Regulus136,FR,4335723819637,
100.0,163.0,Perl,1682462653470,4263196,yechielv,IL,87806028604243,
100.0,164.0,Python3,1691354068784,4208158,Tiouz,FR,72554823729381,
100.0,165.0,Javascript,1680812468315,4966586,Rohydre,FR,,
100.0,165.0,Javascript,1682387920417,3647844,rc95401,US,39486169555819,
100.0,165.0,PHP,1682462755097,4263196,yechielv,IL,87806028604243,
100.0,166.0,OCaml,1682463618606,4263196,yechielv,IL,87806028604243,
100.0,166.0,Python3,1683565828592,3502478,tachan,JP,,
100.0,171.0,Javascript,1685983541822,5298641,RTJ,FR,97115384435155,
100.0,172.0,TypeScript,1682140759605,3918583,mikmak,FR,48134583112917,
100.0,173.0,Ruby,1681054941480,1515891,ndc,RU,57247748477088,
100.0,173.0,Ruby,1681134375859,3845610,pardouin,FR,60364063762936,
100.0,175.0,Python3,1682777467134,2874091,5DN1L,GB,79633423380001,
100.0,175.0,TypeScript,1691793036658,1441239,Dyd,IT,71707560017158,
100.0,176.0,Python3,1689160132084,1566335,BeardedWhale,SE,36571449875674,
100.0,177.0,Ruby,1681820135493,2532837,SoSexySeb,FR,43340205355577,
100.0,177.0,Javascript,1686088140008,1939310,MasterOfUnderscore,PT,81080588549660,
100.0,179.0,TypeScript,1680812360525,4966586,Rohydre,FR,,
100.0,183.0,Python3,1693212731820,826671,kayou,FR,52835383345680,
100.0,183.0,F#,1701122162622,4438505,Eric_[EGU],FR,114044329618574,
100.0,184.0,C#,1701121968185,4438505,Eric_[EGU],FR,114044329618574,
100.0,184.0,C#,1701196701493,1399382,Regulus136,FR,4335723819637,
100.0,186.0,Javascript,1681473228916,1093968,milosMATRIXrepic,RS,78180568348596,
100.0,186.0,Javascript,1686055612745,4071438,Alkoliq,CA,54204465024383,
100.0,186.0,Javascript,1691843301810,1441239,Dyd,IT,71707560017158,
100.0,186.0,Javascript,1693773124952,154806,piwai,FR,1956863959967,
100.0,186.0,Javascript,1697661990944,2874091,5DN1L,GB,79633423380001,
100.0,188.0,Javascript,1681373685514,2923506,darkhorse64,FR,23496414257567,
100.0,189.0,Bash,1681169005296,3845610,pardouin,FR,60364063762936,
100.0,189.0,Python3,1683298938918,3625469,Crimson_King,TR,56016089557697,
100.0,190.0,Javascript,1680980104431,2286441,Omiganox,FR,77264961418970,
100.0,190.0,Python3,1689207657009,5271147,yoch,IL,96235642204607,
100.0,191.0,Kotlin,1701292979948,4438505,Eric_[EGU],FR,114044329618574,
100.0,192.0,Python3,1697062729752,155774,dwarfie,FR,17785582865119,
100.0,193.0,TypeScript,1680983479027,2286441,Omiganox,FR,77264961418970,
100.0,193.0,Python3,1692299249490,1765440,AndrzejOw,PL,10098538773223,
100.0,194.0,Ruby,1680869390822,2142961,masterpoo,FR,43088841158401,
100.0,194.0,Ruby,1681043783160,3354337,Westicles,CX,79146641399080,
100.0,194.0,Python3,1691649038128,5598331,FrankEnthusiasticInvestigator,FR,,
100.0,194.0,Javascript,1700816386684,4537924,ArtesScytale,BE,,
100.0,195.0,Javascript,1684856760765,1664043,GloboGamer,LV,85826389244637,
100.0,196.0,Python3,1681735279793,4263196,yechielv,IL,87806028604243,
100.0,196.0,Python3,1682315255750,3647844,rc95401,US,39486169555819,
100.0,197.0,PHP,1681169495729,3845610,pardouin,FR,60364063762936,
100.0,197.0,Python3,1693474693011,973040,papyjo,FR,15696776172839,
100.0,197.0,PHP,1694986359958,4618693,cedricdd,FR,85418008807758,
100.0,198.0,Python3,1681133503965,3845610,pardouin,FR,60364063762936,
100.0,199.0,Perl,1695763738569,2874091,5DN1L,GB,79633423380001,
100.0,200.0,TypeScript,1681473903635,1093968,milosMATRIXrepic,RS,78180568348596,
100.0,200.0,TypeScript,1697662005211,2874091,5DN1L,GB,79633423380001,
100.0,200.0,Rust,1701122053019,4438505,Eric_[EGU],FR,114044329618574,
100.0,201.0,Ruby,1683034859602,2874091,5DN1L,GB,79633423380001,
100.0,201.0,VB.NET,1701122913170,4438505,Eric_[EGU],FR,114044329618574,
100.0,201.0,VB.NET,1701196974907,1399382,Regulus136,FR,4335723819637,
100.0,202.0,Python3,1681386439299,2923506,darkhorse64,FR,23496414257567,
100.0,202.0,Python3,1681508109204,4438505,Eric_[EGU],FR,114044329618574,
