score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=10|time=2024-11-14T04:10:39
100.0,156.0,D,1725013331309,2874091,5DN1L,GB,79633423380001,
100.0,157.0,D,1698965644583,4438505,Eric_[EGU],FR,114044329618574,
100.0,181.0,D,1694804825341,2928146,LolCat,MU,22538133010433,
100.0,191.0,D,1687496836047,5429383,Tatur2000,FR,102119084943733,
100.0,221.0,D,1681383957757,3354337,Westicles,CX,79146641399080,
100.0,335.0,D,1684109227919,5428098,Elikyyu,FR,103793622779702,
100.0,1737.0,D,1687823733125,4996395,adimemir,TR,,
100.0,2072.0,D,1680886558500,4277867,About,SM,65816469118906,
0.0,837.0,D,1684156711525,5495377,bobster3273,US,104654367934615,
0.0,846.0,D,1698772806410,5780058,,PK,,
