score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=47|time=2024-10-28T04:10:50
100.0,262.0,C,1714857217707,4341304,Remi.,FR,97662026388574,
100.0,272.0,C,1683945984801,3502478,tachan,JP,,
100.0,272.0,C,1714824731318,3918583,mikmak,FR,48134583112917,
100.0,313.0,C,1700585945943,973040,papyjo,FR,15696776172839,
100.0,340.0,C,1684331616185,2874091,5DN1L,GB,79633423380001,
100.0,355.0,C,1701850126366,5377812,mcplanet,AT,,
100.0,431.0,C,1682798541670,1093968,milosMATRIXrepic,RS,117470302748056,
100.0,502.0,C,1719166517289,154806,piwai,FR,1956863959967,
100.0,518.0,C,1682520535222,2242201,Maryan,UA,33999460575859,
100.0,554.0,C,1716811568495,1348621,ZosoLedZep,FR,120816287284221,
100.0,570.0,C,1700907089510,2924895,trictrac,FR,23056996012330,
100.0,603.0,C,1722546884267,155774,dwarfie,FR,17785582865119,
100.0,606.0,C,1681164422409,3845610,pardouin,FR,60364063762936,
100.0,633.0,C,1721449508276,3446555,LeifTerry,US,125468566028238,
100.0,647.0,C,1681105966239,3354337,Westicles,CX,79146641399080,
100.0,1636.0,C,1680164690006,3513265,DaNinja,IE,35022107863170,
100.0,2527.0,C,1708110487811,956638,Pi-Geometry,FR,50157040295797,
100.0,3264.0,C,1680164150006,5295051,ByNetix,FR,99823506516403,
100.0,3287.0,C,1680164150006,5295063,Guilhemfy,FR,98328927506897,
100.0,3287.0,C,1680164150006,5295041,chauchau29,FR,98737189822091,
100.0,3548.0,C,1680164150006,5295037,MaxVi,FR,,
100.0,3548.0,C,1680164150006,5326073,,FR,,
100.0,3576.0,C,1680164150006,5295043,LeVraiR,FR,,
100.0,3619.0,C,1680164150006,5295031,,FR,,
100.0,3619.0,C,1680164150006,5295049,benoit_dajoux,FR,,
100.0,3619.0,C,1680164150006,5295042,BigRemo,GA,101747027662155,
100.0,3619.0,C,1680164150006,5295036,kkoyo,FR,97495501401260,
100.0,3619.0,C,1680164150006,5295035,TheooB,FR,,
100.0,3619.0,C,1680164150006,5295040,Zombiequest,FR,,
100.0,3619.0,C,1680164150006,5295058,ThibaultV,FR,101317508323529,
100.0,3778.0,C,1680164610016,2491022,Surend,FR,20342522426078,
100.0,3816.0,C,1680164610016,3696251,AdrienF1,FR,,
100.0,3846.0,C,1680164610016,4014998,AntoineLhomme,FR,,
100.0,4627.0,C,1680164210004,3343049,DarKNighT,ZA,43095685553327,
100.0,5425.0,C,1680164150006,5295053,,FR,,
100.0,5633.0,C,1680164390005,4205693,Frimatt,IT,,
100.0,5649.0,C,1680164550004,4411743,Shagore,FR,,
100.0,5815.0,C,1680164630004,1010476,Migrou,DE,51811564269089,
100.0,6800.0,C,1680164150006,5295062,petitzec,FR,97815502030956,
100.0,7177.0,C,1680164150006,5295050,machinbidule,FR,,
100.0,9991.0,C,1680164150006,5295044,jg45,FR,,
100.0,13081.0,C,1680164430005,698840,MiP,DE,17519068382831,
87.5,11046.0,C,1680164510007,1498163,Ben-oit,FR,9072028096923,
25.0,819.0,C,1687598479439,5429383,Tatur2000,FR,102119084943733,
0.0,842.0,C,1723517495853,6225022,,BR,,
0.0,843.0,C,1686701603089,5557365,Moto57,CA,,
0.0,2325.0,C,1705144493236,5906217,Thierno_2,FR,,
