score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=17|time=2024-06-03T04:11:00
100.0,380.0,Go,1684421237511,2874091,5DN1L,GB,79633423380001,
100.0,671.0,Go,1681164647778,3845610,pardouin,FR,60364063762936,
100.0,706.0,Go,1684273309526,4438505,Eric_[EGU],FR,114044329618574,
100.0,2022.0,Go,1680791285560,3354337,Westicles,CX,79146641399080,
100.0,2701.0,Go,1680164250031,5101952,Kuchiki,FR,90868880853349,
100.0,2701.0,Go,1680164370005,3245233,Flasssh_,CH,72955569323559,
100.0,2912.0,Go,1680164310005,1328296,Kellthazar,BR,60715487694246,
100.0,2960.0,Go,1680164670004,4148876,mahz,IR,,
100.0,3161.0,Go,1680164510007,3488041,KodeMonkey,US,34223383760464,
100.0,3239.0,Go,1680164570008,4328717,jmpesp,CA,,
100.0,3701.0,Go,1680164690006,947662,Liam,CA,97007422790430,
100.0,4592.0,Go,1680164330008,4870604,willbeason,US,82827182662813,
100.0,5036.0,Go,1680164150006,952676,BriseurDAnus,FR,,
100.0,9135.0,Go,1680164150006,4446352,Kastou,FR,88603109370852,
100.0,10391.0,Go,1680164550004,1952778,blast_beat,US,75539748345771,
100.0,11513.0,Go,1714032158211,2108962,DeveauP,FR,18954230009382,
0.0,720.0,Go,1682691167859,5456615,,GB,,
