score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=17|time=2024-01-30T04:10:57
100.0,272.0,TypeScript,1683881839066,4341304,Remi.,FR,97662026388574,
100.0,292.0,TypeScript,1686473436225,3918583,mikmak,FR,48134583112917,
100.0,306.0,TypeScript,1684357566615,2874091,5DN1L,GB,79633423380001,
100.0,307.0,TypeScript,1683878006245,3502478,tachan,JP,,
100.0,405.0,TypeScript,1682801090934,1093968,milosMATRIXrepic,RS,117470302748056,
100.0,561.0,TypeScript,1681933321610,4438505,Eric_[EGU],FR,114044329618574,
100.0,666.0,TypeScript,1681666237348,948764,Katie,GB,2150180090592,
100.0,687.0,TypeScript,1682460631702,1802967,Meruem,FR,31992166318610,
100.0,743.0,TypeScript,1681470282274,3845610,pardouin,FR,60364063762936,
100.0,2108.0,TypeScript,1680794807964,3354337,Westicles,CX,79146641399080,
100.0,2465.0,TypeScript,1680164370005,4084909,bluehipy,DE,59108125311613,
100.0,3356.0,TypeScript,1680164210004,3515657,Piwapo,BE,35096504730839,
100.0,3427.0,TypeScript,1680164690006,4126002,Eldhose,IN,86069643904024,
100.0,4615.0,TypeScript,1680164490007,4177359,terjos,FR,,
100.0,5122.0,TypeScript,1680164510007,4471793,ThePolyglot,DE,,
100.0,8903.0,TypeScript,1680164150006,5193590,SAOUDI-H,FR,93994881504496,
100.0,14080.0,TypeScript,1680164250031,4045062,ChaosCat,DE,,
