score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=11|time=2025-08-12T04:19:50
100.0,175.0,Bash,1681715670174,4263196,yechielv,IL,87806028604243,
100.0,182.0,Bash,1689080372019,5271147,yoch,IL,96235642204607,
100.0,186.0,Bash,1685762414663,5135323,__yel__p,FR,92869880984408,
100.0,186.0,Bash,1686081895127,4438505,Eric_[EGU],FR,114044329618574,
100.0,218.0,Bash,1686058327717,154806,piwai,FR,1956863959967,
100.0,243.0,Bash,1750060283573,1839941,Just4FunCoder,MY,80969549924201,
100.0,267.0,Bash,1688746965528,5429383,Tatur2000,FR,102119084943733,
100.0,279.0,Bash,1681194461081,3354337,Westicles,CX,79146641399080,
100.0,283.0,Bash,1743528057087,6269599,EnamSon,CM,129036189483019,
100.0,311.0,Bash,1681169763028,3845610,pardouin,FR,60364063762936,
100.0,423.0,Bash,1683861022175,1050420,EVGENIVS,US,20435686404425,
