score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=265|time=2025-10-16T04:11:17
100.0,85.0,Kotlin,1641824362278,3380184,chouch,FR,,
100.0,86.0,Kotlin,1703015130393,1199638,Siebn,DE,117733081973154,
100.0,89.0,Kotlin,1553713925069,1483723,d-s-x,RU,4980051025170,
100.0,89.0,Kotlin,1673375218254,3502478,tachan,JP,,
100.0,90.0,Kotlin,1668117483571,3351131,osmedile,FR,,
100.0,90.0,Kotlin,1668449871147,2874091,5DN1L,GB,134264063920528,
100.0,90.0,Kotlin,1680200173112,3335921,vcoubray,FR,28402108918604,
100.0,90.0,Kotlin,1685060999180,3046779,Kathrin,DE,23869551387688,
100.0,90.0,Kotlin,1711108952627,5980089,Malo_7,FR,119977686004509,
100.0,91.0,Kotlin,1668094040165,3371531,Zasalamel,FR,90817683050156,
100.0,91.0,Kotlin,1683487199429,3996809,VizGhar,SK,82217880354500,
100.0,91.0,Kotlin,1683528637466,3354337,Westicles,CX,79146641399080,
100.0,92.0,Kotlin,1732654312712,4438505,Eric_[EGU],FR,114044329618574,
100.0,93.0,Kotlin,1681284867942,2923506,darkhorse64,FR,23496414257567,
100.0,93.0,Kotlin,1700129101126,3982709,lukasjapan,JP,51562467085693,
100.0,95.0,Kotlin,1726613634905,1748543,ShifuWil,FR,28958689979186,
100.0,95.0,Kotlin,1751450388965,1515891,ndc,RU,57247748477088,
100.0,97.0,Kotlin,1694165529685,2928146,LolCat,MU,22538133010433,
100.0,97.0,Kotlin,1755694137297,6630371,Vashek,CZ,,
100.0,98.0,Kotlin,1644601993546,1654818,tarapitha,EE,143100389160439,
100.0,99.0,Kotlin,1673551200783,3597103,tamplleer,RU,,
100.0,100.0,Kotlin,1641674359079,3845610,pardouin,FR,60364063762936,
100.0,102.0,Kotlin,1628064379751,4072223,gnoxo,SK,55721023684814,
100.0,103.0,Kotlin,1650529192658,4496623,npkt,JP,,
100.0,105.0,Kotlin,1631814246064,3839774,gurvan_lullien,FR,50166403046090,
100.0,106.0,Kotlin,1622987501502,397691,TeknighT,DK,65602063830932,
100.0,107.0,Kotlin,1621895745340,4325119,Klimpergeist,DE,63682169998518,
100.0,107.0,Kotlin,1758617619891,3235897,Zylo,PL,25779784253696,
100.0,108.0,Kotlin,1625294375489,1845617,Shingy,AU,26010702723839,
100.0,108.0,Kotlin,1625844223885,1178276,Jerome_95,FR,19999067509724,
100.0,111.0,Kotlin,1678454666700,434952,Yeuth,FR,,
100.0,112.0,Kotlin,1680868615620,4587710,Smetalka,HR,,
100.0,113.0,Kotlin,1692687477845,1441239,PiDayDev,IT,71707560017158,
100.0,115.0,Kotlin,1662111555719,1487392,Razielwar,FR,12761113272803,
100.0,115.0,Kotlin,1737711231744,6115420,scresto,FR,137702907699482,
100.0,116.0,Kotlin,1717175867325,1179950,Cg_TheLegend,JP,150853049862463,
100.0,117.0,Kotlin,1510763274992,1001096,MyIIone,AT,4231449697357,
100.0,117.0,Kotlin,1628971114770,2315158,luigi_gelato,DE,,
100.0,118.0,Kotlin,1745030699996,2536538,Pduhard-,FR,141372882868918,
100.0,119.0,Kotlin,1624100696951,155774,dwarfie,FR,17785582865119,
100.0,120.0,Kotlin,1627792885262,4452598,Mr.Midnight,US,,
100.0,121.0,Kotlin,1683924444969,1939310,MasterOfUnderscore,PT,81080588549660,
100.0,121.0,Kotlin,1685283218766,3242429,Sk8erOfBodom,FR,25808375287554,
100.0,121.0,Kotlin,1705453952672,1218159,Vol,US,,
100.0,122.0,Kotlin,1624538031842,3022016,Sundiver,DE,31016387398299,
100.0,122.0,Kotlin,1683201439854,3433587,MxDargou,FR,53838246107877,
100.0,124.0,Kotlin,1590113554762,3775064,FrankreedX,US,51101340233669,
100.0,124.0,Kotlin,1623702419758,4367418,Aplanos,FR,74855223072196,
100.0,126.0,Kotlin,1633490557784,3516345,Jp82,FR,63600965075245,
100.0,128.0,Kotlin,1605566428549,1848459,Velcoro,CZ,48538649860014,
100.0,128.0,Kotlin,1742852066384,6385964,Sroka,GB,136673208581148,
100.0,129.0,Kotlin,1695069259860,2234888,Daverix,SE,15130043574407,
100.0,135.0,Kotlin,1749934463689,5921903,daler.h,CA,119108180385412,
100.0,136.0,Kotlin,1739984954616,6316590,UOBW,US,138281089874129,
100.0,137.0,Kotlin,1652268009573,3770880,Yu_212,JP,73269088975024,
100.0,141.0,Kotlin,1662156131961,1904082,WIlChrist,FR,113083226652352,
100.0,141.0,Kotlin,1683561981038,4258711,FredericLocquet,FR,125739728070045,
100.0,147.0,Kotlin,1510551019205,2178794,Unihedron,HK,17500773502453,
100.0,147.0,Kotlin,1629503746645,3514975,PhuRiNaT,TH,150755821957631,
100.0,148.0,Kotlin,1618947981423,4061750,dStulle,DE,53854800950845,
100.0,148.0,Kotlin,1664442101616,304126,Kami...,FR,10057081063920,
100.0,150.0,Kotlin,1660316564745,3138357,QzL,FR,136030629285379,
100.0,154.0,Kotlin,1619970898371,4193469,yannick-t,DE,62651080430734,
100.0,159.0,Kotlin,1658680057269,2202771,Kaplone,FR,23792369424472,
100.0,161.0,Kotlin,1548712981079,1759335,metahom,AM,40546489176319,
100.0,161.0,Kotlin,1715547176942,5785444,Anastaszor,FR,114174227258262,
100.0,164.0,Kotlin,1630438169544,1952778,blast_beat,US,75539748345771,
100.0,165.0,Kotlin,1697282113831,389786,menu,DE,,
100.0,167.0,Kotlin,1637444922253,4564296,MirabileFuturum,DE,114994920383123,
100.0,170.0,Kotlin,1647205457136,4782352,Helight,DE,79957025046192,
100.0,171.0,Kotlin,1625103736452,2490008,ebicochineal,JP,43936521576530,
100.0,172.0,Kotlin,1649606431978,1788623,knarfw,FR,10389790303031,
100.0,173.0,Kotlin,1673719235090,1172955,aabzac,BY,16472625971818,
100.0,173.0,Kotlin,1687092703860,4717726,Alexis [Nexure],FR,81506465307341,
100.0,174.0,Kotlin,1691225799218,3444208,Marina87,DE,32592586143834,
100.0,176.0,Kotlin,1546721152976,2069141,tomeko,PL,13370027887052,
100.0,178.0,Kotlin,1534531039729,2713608,LostSymphony,FR,19945860182726,
100.0,178.0,Kotlin,1654770153359,3750570,BongoCat59,FR,42373309999500,
100.0,180.0,Kotlin,1575227762990,925695,Boulet,FR,29121141951376,
100.0,181.0,Kotlin,1594278029066,3808031,_proton,US,44172683522650,
