score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=22|time=2020-04-19T01:17:57
100,75,Swift,1567946832000,1399382,Regulus136,FR,4335723819637,
100,80,Swift,1582853299000,1629259,Marchete,ES,61997162908277,
100,81,Swift,1567946832000,240311,Myrthem,FR,,
100,83,Swift,1567946832000,1179950,Patorikkuyatta,FR,94806006573123,
100,87,Swift,1567946832000,709490,Sinlepuissant,FR,2102604527472,
100,100,Swift,1567946832000,365796,CvxFous,FR,2892223124232,
100,100,Swift,1583206168000,3073020,_francois_,FR,,
100,101,Swift,1567946832000,2333316,Ionax,DE,,
100,115,Swift,1567946832000,2713608,LostSymphony,FR,19945860182726,
100,115,Swift,1584407597000,1105871,PolonaisCripestro,RO,4163650938351,
100,118,Swift,1567946832000,1695697,,,,
100,121,Swift,1580689846000,1436776,BrainSolver,FR,10099178983053,
100,127,Swift,1586393335000,334009,abouvier,FR,4681436111242,
100,128,Swift,1567946832000,2997884,Zollerboy1,DE,,
100,146,Swift,1567946832000,1086669,FreeKent,RU,,
100,147,Swift,1567946832000,1021061,divbyzero,UA,33158881147991,
100,148,Swift,1567946832000,2069141,tomeko,PL,13370027887052,
100,149,Swift,1567946832000,256955,cup_of_tea,FR,14752068261565,
100,166,Swift,1567946832000,2851851,Rahex,FR,21921453519085,
100,210,Swift,1570149657000,1668138,Poisson,FR,,
100,479,Swift,1579048245000,382661,RobertoCaldas,PT,39260582521581,
100,505,Swift,1571273993000,1077559,PhOeNyX,FR,2248934338554,
