score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=15|time=2020-01-16T05:42:20
100,69,TypeScript,1571620209000,1483723,d-s-x,RU,4980051025170,
100,76,TypeScript,1571704866000,2288263,dbdr,UA,43448306132121,
100,77,TypeScript,1571620209000,1654818,tarapitha,EE,79401682508715,
100,80,TypeScript,1576631480000,1845617,Shingyx,AU,26010702723839,
100,83,TypeScript,1578100961000,155774,dwarfie,FR,17785582865119,
100,84,TypeScript,1570494657000,1629259,Marchete,ES,61997162908277,
100,90,TypeScript,1572828122000,3380514,DFrese,DE,30555045908186,
100,94,TypeScript,1572568239000,2786666,TetraktysPhi,FR,20818693590142,
100,107,TypeScript,1571013050000,2122869,JaPNaA,CA,13854773877514,
100,191,TypeScript,1578790352000,2419811,Valbou,FR,37231983233550,
100,194,TypeScript,1578443888000,3632433,nruffier,FR,42106066519796,
100,221,TypeScript,1573000241000,2087833,kalif,AT,13472927729213,
100,401,TypeScript,1571447812000,1077559,PhOeNyX,FR,2248934338554,
100,593,TypeScript,1578790352000,2043908,AntiSquid,,,
100,712,TypeScript,1576552572000,2363853,Drybakov,FR,,
