score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=25|time=2024-06-07T04:09:37
100.0,67.0,Groovy,1680973744696,1515891,ndc,RU,57247748477088,
100.0,67.0,Groovy,1686349766198,4438505,Eric_[EGU],FR,114044329618574,
100.0,85.0,Groovy,1688072703970,5551122,Balkhmogaehild,FR,106414760654263,
100.0,87.0,Groovy,1686821345794,2874091,5DN1L,GB,79633423380001,
100.0,89.0,Groovy,1681330696729,1357614,OptiPanda,FR,25029501539760,
100.0,89.0,Groovy,1687716136728,5429383,Tatur2000,FR,102119084943733,
100.0,91.0,Groovy,1681293013124,1408492,Ptit-g,FR,4317392237915,
100.0,96.0,Groovy,1680958145996,3354337,Westicles,CX,79146641399080,
100.0,96.0,Groovy,1681241731294,792813,VilBoub,FR,72010225615995,
100.0,98.0,Groovy,1709851638858,169033,Yasser,IE,1729823426851,
100.0,99.0,Groovy,1681766690501,1939310,MasterOfUnderscore,PT,81080588549660,
100.0,99.0,Groovy,1688167650290,5402755,MadMaxO,BR,100983786956390,
100.0,100.0,Groovy,1681474068680,4587710,Smetalka,HR,,
100.0,102.0,Groovy,1681916995162,4258711,FredericLocquet,FR,123496928111420,
100.0,104.0,Groovy,1713295867644,5873354,Besti,FR,,
100.0,104.0,Groovy,1717165368762,5964020,SuperDron,UA,119292983605176,
100.0,105.0,Groovy,1682879312647,5429773,Diabetos,FR,102118582822399,
100.0,105.0,Groovy,1687624469429,3433587,MxDargou,FR,53838246107877,
100.0,106.0,Groovy,1696799304167,4471038,nguyen.lam,FR,115730569738380,
100.0,107.0,Groovy,1684066224584,5428098,Elikyyu,FR,103793622779702,
100.0,115.0,Groovy,1681579863144,5163410,LOKI_78,LU,93367947956362,
100.0,116.0,Groovy,1681395827489,4213251,FrancisTafe,FR,,
100.0,256.0,Groovy,1680893918944,3305510,TBali,HU,26750785092441,
79.97601918465227,109.0,Groovy,1680793543709,1077559,PhOeNyX,FR,2248934338554,
79.97601918465227,365.0,Groovy,1683581293503,5135299,Antsurf,FR,94127108637688,
