score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=5526|time=2025-04-06T04:10:17
100.0,27.0,Ruby,1680183810084,154937,[CG]BOUGA,FR,1884036222374,
100.0,27.0,Ruby,1680184115290,3847872,[CG]Gaspar,FR,127666725990808,
100.0,27.0,Ruby,1680184351175,952784,[CG]Simon,FR,15794417868476,
100.0,27.0,Ruby,1680734420844,4966586,Rohydre,FR,,
100.0,27.0,Ruby,1680766550292,2142961,masterpoo,FR,43088841158401,
100.0,27.0,Ruby,1680792643696,1353795,TheCrucial,PL,18581166493021,
100.0,27.0,Ruby,1680796273611,3380184,chouch,FR,,
100.0,27.0,Ruby,1680799764556,5326078,T14v1n4,RE,101837722760856,
100.0,27.0,Ruby,1680804898185,4341304,Remi.,FR,97662026388574,
100.0,27.0,Ruby,1680806227358,334009,abouvier,FR,4681436111242,
100.0,27.0,Ruby,1680818663209,4122723,Hydrazer,PW,62269304810770,
100.0,27.0,Ruby,1680820706358,3893564,Andriamanitra,FI,46641547586781,
100.0,27.0,Ruby,1680840099022,2315623,Lydxn,CA,,
100.0,27.0,Ruby,1680854595399,1630890,Wld,DE,54135389391511,
100.0,27.0,Ruby,1680866423176,3354337,Westicles,CX,79146641399080,
100.0,27.0,Ruby,1680897260146,2288263,dbdr,UA,43448306132121,
100.0,27.0,Ruby,1680949808345,2923506,darkhorse64,FR,23496414257567,
100.0,27.0,Ruby,1680954170875,862919,Astrobytes,GB,60413902297900,
100.0,27.0,Ruby,1680955303702,1515891,ndc,RU,57247748477088,
100.0,27.0,Ruby,1680979019995,3996809,VizGhar,SK,82217880354500,
100.0,27.0,Ruby,1680979216622,893541,wala,FR,97577641170180,
100.0,27.0,Ruby,1680985946585,4263196,yechielv,IL,87806028604243,
100.0,27.0,Ruby,1680988711549,948764,Katie,GB,2150180090592,
100.0,27.0,Ruby,1681043817053,3845610,pardouin,FR,60364063762936,
100.0,27.0,Ruby,1681288305727,4420742,Mortis_666,MY,99045346596822,
100.0,27.0,Ruby,1681319903353,4992786,[ovs],DE,,
100.0,27.0,Ruby,1681348297446,155774,dwarfie,FR,17785582865119,
100.0,27.0,Ruby,1681471917215,2731276,panda42,DE,20365034647350,
100.0,27.0,Ruby,1681484517337,2532837,faure_s,FR,43340205355577,
100.0,27.0,Ruby,1681529097414,4933756,ILoveTaleb,FR,,
100.0,27.0,Ruby,1681623446034,4460030,pinetail,JP,72860646030617,
100.0,27.0,Ruby,1682067149228,2874091,5DN1L,GB,134264063920528,
100.0,27.0,Ruby,1682518798488,154806,piwai,FR,1956863959967,
100.0,27.0,Ruby,1682679785998,5403502,ricemath,XK,101211503482450,
100.0,27.0,Ruby,1682703467916,4806550,Rafarafa,ES,80946308795008,
100.0,27.0,Ruby,1682761184602,5360471,a01sa01to,JP,,
100.0,27.0,Ruby,1682767914711,5429383,Tatur2000,FR,102119084943733,
100.0,27.0,Ruby,1682770259792,5429773,Diabetos,FR,102118582822399,
100.0,27.0,Ruby,1682781743137,1348635,ferbos,FR,96159860267051,
100.0,27.0,Ruby,1682953454054,709490,Sinlepuissant,FR,2102604527472,
100.0,27.0,Ruby,1683060151876,4438505,Eric_[EGU],FR,114044329618574,
100.0,27.0,Ruby,1683413518903,4431726,tealfrog,LU,108672608690694,
100.0,27.0,Ruby,1683554148338,1399382,Regulus136,FR,4335723819637,
