score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=297|time=2023-10-22T06:48:35
100.0,280.0,Python3,1697714869851,2892501,JakubMaras,PL,,
100.0,298.0,Python3,1693049700293,154806,piwai,FR,1956863959967,
100.0,303.0,Python3,1688420101555,4438505,Eric_[EGU],FR,106573303077213,
100.0,317.0,Python3,1697482740453,973040,papyjo,FR,15696776172839,
100.0,336.0,Python3,1689626503412,1399382,Regulus136,FR,4335723819637,
100.0,340.0,Python3,1684134265405,3647844,rc95401,US,39486169555819,
100.0,463.0,Python3,1683781996372,3502478,tachan,JP,,
100.0,643.0,Python3,1694881561087,2874091,5DN1L,GB,79633423380001,
100.0,662.0,Python3,1692134279215,709490,Sinlepuissant,FR,2102604527472,
100.0,678.0,Python3,1683208947423,153965,[CG]Keelhaul,FR,4367050238110,
100.0,698.0,Python3,1686027395071,5135323,__yel__p,FR,92869880984408,
100.0,758.0,Python3,1696535564319,4493066,Polynomu,FR,70180141804893,
100.0,768.0,Python3,1681603742627,4263196,yechielv,IL,87806028604243,
100.0,784.0,Python3,1691503457457,5598331,FrankEnthusiasticInvestigator,FR,,
100.0,796.0,Python3,1681242828182,3845610,pardouin,FR,60364063762936,
100.0,815.0,Python3,1681471889262,3354337,Westicles,CX,79146641399080,
100.0,905.0,Python3,1681785510231,3657937,elderlybeginner,PL,39723186977905,
100.0,1010.0,Python3,1684781426753,4097526,BugM4ker,FR,56304482032588,
100.0,1034.0,Python3,1684262465669,270881,Maurice_Moss,FR,30069480173944,
100.0,1038.0,Python3,1680869875327,5135299,Antsurf,FR,94127108637688,
100.0,1065.0,Python3,1683230657484,1802967,Meruem,FR,31992166318610,
100.0,1096.0,Python3,1684272565551,4258711,FredericLocquet,FR,61264182304504,
100.0,1116.0,Python3,1681935373349,2924895,trictrac,FR,23056996012330,
100.0,1138.0,Python3,1680848390604,792813,VilBoub,FR,72010225615995,
100.0,1219.0,Python3,1688978499434,2438886,Tahkare,FR,20896182926616,
100.0,1220.0,Python3,1683902869101,3659194,FreZzz,FR,92223380060586,
100.0,1260.0,Python3,1682533833460,4537924,ArtesScytale,BE,,
100.0,1314.0,Python3,1682164540078,4083906,tonigineer,DE,54691384894328,
100.0,1316.0,Python3,1695237827898,3439872,xdcomrade,DE,34769864720767,
100.0,1320.0,Python3,1681053932983,4508271,The-remainer,US,88691646410654,
100.0,1324.0,Python3,1680166770019,4717726,[Nexure],FR,81506465307341,
100.0,1335.0,Python3,1686473591869,2049982,refa,FI,40889681927806,
100.0,1364.0,Python3,1688601541349,2464524,GnidGnaw,US,17138346440330,
100.0,1482.0,Python3,1680166850005,4662405,helpmefindaname,AT,75424463334526,
100.0,1599.0,Python3,1695682016128,5030940,VictorEgret,FR,89105800656064,
100.0,1668.0,Python3,1690192899716,631323,herve056,FR,11494731136934,
100.0,1740.0,Python3,1680166730004,4998961,ela12221,IN,87540506179181,
100.0,1759.0,Python3,1695145118124,350316,Khayyom,TJ,,
100.0,1849.0,Python3,1694372215743,3750985,vexilla72,FR,69788861540753,
100.0,2003.0,Python3,1680167010014,3008857,timoru,FR,23417443005181,
100.0,2055.0,Python3,1689759249618,1855354,KiwiTae,TW,109683640425245,
100.0,2083.0,Python3,1680796940770,2398608,M_C,FR,,
100.0,2093.0,Python3,1680167130004,294412,Kalaspa,FR,9399518297419,
100.0,2174.0,Python3,1680167370004,1569823,Niako,FR,11911528647474,
100.0,2460.0,Python3,1680166850005,2232807,DimitriT,FR,54267428055658,
100.0,2572.0,Python3,1680167550019,2392692,DONJYARAHOI,JP,16338854492335,
100.0,2600.0,Python3,1680167610005,1047343,Nikast,PL,2213162714007,
100.0,2781.0,Python3,1680166910003,4182831,Flaaamort,BE,62041060159875,
100.0,2907.0,Python3,1680166730004,5174619,Datascientist07,BD,98182745616126,
100.0,2976.0,Python3,1680167370004,2510531,Jamproject,FR,19194665531844,
100.0,2980.0,Python3,1680167610005,2250308,JakeMiller0024,US,15087847500231,
100.0,3011.0,Python3,1680167490020,2488562,SIMULACRUM,AF,17590678683989,
100.0,3100.0,Python3,1680167550019,2400928,Gilsidoo,FR,16457530734249,
100.0,3106.0,Python3,1680166910003,3903473,Konstant,PL,47882887732604,
100.0,3123.0,Python3,1680167490020,1832231,delegateStack,PT,10868566216669,
100.0,3173.0,Python3,1680166950005,843628,gaaaaaaab,FR,,
100.0,3241.0,Python3,1680167430004,2512601,Sibwara,FR,20965222710748,
100.0,3257.0,Python3,1680166830006,1069779,salanger,FR,12043106743424,
100.0,3276.0,Python3,1680166730004,3348897,TaoTheKid,FR,,
100.0,3339.0,Python3,1680167310016,2978776,ChrisDerPlayer,DE,25314385927674,
100.0,3350.0,Python3,1680166950005,475134,AgathokakologicalBit,RU,60187129917901,
100.0,3351.0,Python3,1680166910003,4470225,Pomidorus,RU,69236466281496,
100.0,3441.0,Python3,1680166710006,1773607,elana,CH,19579280230351,
100.0,3467.0,Python3,1680166710006,4701263,Leo_Leclerc,FR,97794185468160,
100.0,3472.0,Python3,1680166850005,1603802,BigNozMG,FR,6999864369225,
100.0,3506.0,Python3,1680167430004,1505679,hj01bg,DK,13471024747904,
100.0,3516.0,Python3,1680166910003,3637299,Wflo,FR,69783146440083,
100.0,3568.0,Python3,1680167190012,3628246,ThomK,FR,39116401709916,
100.0,3698.0,Python3,1680167010014,762642,Wonyoung,KR,4963742317694,
100.0,3718.0,Python3,1680167430004,2629637,Dalahro,FR,,
100.0,3768.0,Python3,1680167250007,2568246,jaumes5,FR,18184175907679,
100.0,3785.0,Python3,1680166770019,4639401,Citrate_Bios,MA,74567982358690,
100.0,3897.0,Python3,1680167610005,1920644,Skygge,FR,13712438606067,
100.0,3908.0,Python3,1680167610005,1314316,jolindien,FR,14585204616953,
100.0,3959.0,Python3,1680166850005,3529925,Quoshi,NO,,
100.0,3968.0,Python3,1680167490020,1466631,Akrib,FR,17971797700592,
100.0,4035.0,Python3,1680167070008,3902927,Bulgot,PL,51651703085440,
100.0,4042.0,Python3,1680166910003,3398492,Rouge_dragon,FR,65926126072050,
100.0,4056.0,Python3,1680166910003,4375316,Flash7,FR,85969541119566,
100.0,4078.0,Python3,1680166850005,4744435,ET_Code,BR,79056021935344,
100.0,4112.0,Python3,1680167670008,1414038,sobrom,JP,,
100.0,4125.0,Python3,1680166730004,3354558,mw197,DE,97624628352529,
100.0,4171.0,Python3,1680167190012,2180801,Gayzou,SG,,
100.0,4207.0,Python3,1680166830006,4594770,picoplankton,US,73613486367696,
100.0,4247.0,Python3,1680167070008,3523160,SteveDkt,FR,63589921820825,
100.0,4281.0,Python3,1680166770019,4205154,tuna_in_cream,HU,60791864998463,
100.0,4331.0,Python3,1680167610005,2153101,Sylvain0675,FR,14368663014319,
100.0,4341.0,Python3,1680167550019,2416641,Zenoscave,US,16732569385856,
100.0,4404.0,Python3,1680167070008,3962136,l4hg,US,49677525397562,
100.0,4441.0,Python3,1680166650014,4799468,chilliwilli,FR,98395184384953,
100.0,4441.0,Python3,1680166710006,4935186,Gabay,IL,86176181791338,
100.0,4442.0,Python3,1680167190012,3226448,tobk,DE,34085008032999,
100.0,4469.0,Python3,1680166710006,4337092,Timinator,US,87736728529732,
100.0,4480.0,Python3,1680167550019,1759839,matleg,FR,27938585309756,
100.0,4503.0,Python3,1680166650014,5354517,AndreasHuber,CH,103693383515460,
100.0,4520.0,Python3,1680166730004,3749245,yveslacroix83400,FR,42318382688807,
100.0,4520.0,Python3,1680166770019,1129326,CeliTop,FR,45914866433343,
100.0,4527.0,Python3,1680166890005,4038761,Leirn,FR,53414486066279,
100.0,4542.0,Python3,1680167010014,3672281,yoann9344,FR,60116522462012,
100.0,4545.0,Python3,1680167070008,1210794,RST,FR,3086517188614,
100.0,4549.0,Python3,1680166910003,2846476,OneAu,RU,21418848306106,
100.0,4592.0,Python3,1680166850005,4764744,Crael,US,,
100.0,4606.0,Python3,1680167610005,1254967,SilverHawk,IT,3538756767997,
100.0,4647.0,Python3,1680167610005,2197782,fazzy91280,FR,,
100.0,4725.0,Python3,1680167010014,2405048,Haitaka,FR,,
100.0,4755.0,Python3,1680166910003,4385131,baking_tray,RU,65925909359951,
