score,criteriaScore,programmingLanguage,creationTime,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#golf|count=15|time=2023-11-02T08:19:28
100.0,465.0,Rust,1687472157261,4438505,Eric_[EGU],FR,106573303077213,
100.0,522.0,Rust,1698828047156,973040,papyjo,FR,15696776172839,
100.0,894.0,Rust,1681480944853,3354337,Westicles,CX,79146641399080,
100.0,1369.0,Rust,1697389992592,2874091,5DN1L,GB,79633423380001,
100.0,6587.0,Rust,1684052617098,3918583,mikmak,FR,48134583112917,
100.0,9675.0,Rust,1680166850005,3441970,Ivan_Filonov,RU,,
100.0,9919.0,Rust,1680167070008,2546042,Badewanne3,BE,51069345814525,
100.0,10469.0,Rust,1680167010014,1932980,AlexandreK,FR,30714560059953,
100.0,12417.0,Rust,1680166910003,1754295,SF,US,9886764510417,
100.0,13878.0,Rust,1680167370004,1701631,lrouquette,FR,8938051814919,
100.0,13927.0,Rust,1680167310016,1058962,mcargille,US,20886862689493,
100.0,14676.0,Rust,1680167670008,1995025,nodist_io,US,13970160487998,
100.0,19132.0,Rust,1680166730004,1049935,Azkellas,FR,20993257292354,
100.0,22656.0,Rust,1680167550019,2371142,Tzargoth,US,16497184744519,
93.0,20579.0,Rust,1680167130004,1407720,bananaMixer,FR,4478289426855,
