league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=10|time=2022-09-02T00:30:03
0,40.65,C++,,4438195,2923506,darkhorse64,FR,23496414257567,
0,35.37,C,,4437679,2924895,trictrac,FR,23056996012330,
0,33.64,Python3,,4438089,2290633,field3,JP,75961127697737,
0,32.23,Python3,,4438647,311035,leojean890,FR,42398427701382,
0,32.16,C++,,4438368,1479930,LeRenard,FR,40384564000700,
0,28.3,Python3,,4438581,3141948,philRG,FR,43152009653961,
0,27.95,C#,,4437920,1792532,Zanbez,FR,53160220485725,
0,23.76,C++,,4437560,3354337,Westicles,CX,79146641399080,
0,22.91,Python3,,4437699,3136787,jacek,PL,75369242083208,
0,22.53,C++,,4438442,4074654,Flesh,DE,,
