league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=39|time=2021-06-26T00:30:04
3,32.78,C,,3071317,2924895,trictrac,FR,23056996012330,
3,26.89,Rust,,3510051,3839774,gurvan_lullien,FR,50166403046090,
3,26.2,Python3,,3070810,2290633,field3,JP,75961127697737,
3,24.41,Rust,,3070985,2288263,dbdr,UA,43448306132121,
3,23.78,Python3,,3481266,2377428,Neinaps,FR,,
3,22.38,Java,,3717891,3659194,FreZzz,FR,92223380060586,
3,18.37,Java,,3157935,1443538,Gevater_Tod4711,DE,82852165040194,
3,17.15,Java,,3150428,2043908,AntiSquid,,,
3,16.89,Swift,,3483887,3815413,Michael_Howard,GB,44719647705818,
2,18.83,C++,,3479167,3165536,barbora,SK,44036705103292,
2,18.71,Python3,,3340152,3599907,aski,FR,,
1,22.77,C++,,3474085,4120837,philipplenk,DE,56924127061308,
1,22.29,Javascript,,3474021,3691491,icecream17,US,42082469656497,
1,21.82,Python3,,3474664,311035,leojean890,FR,42398427701382,
1,18.8,C++,,3391714,3721214,jrke,IN,68983084061211,
1,16.36,C++,,3415729,3127864,TeamT,DE,25988647593223,
1,16.36,PHP,,3480823,4238542,tooy,FR,60579943941883,
1,15.43,C#,,3416848,1256312,Djoums,FR,3366390627127,
1,15.37,Java,,3710080,1687809,egoprince,FR,,
1,15.3,PHP,,3480724,155774,dwarfie,FR,17785582865119,
1,10.9,PHP,,3480745,1412263,PatrickMcGinnisII,US,75707267075165,
1,7.37,Javascript,,3678782,3774500,zakariamouhid,MA,46244702989556,
1,6.87,Python3,,3480780,3353015,Salted,CA,78606329541070,
1,6.03,C++,,3482667,1479930,LeRenard,FR,40384564000700,
0,12.37,Javascript,,3482658,4251195,Smelty,US,62842162200886,
0,11.5,PHP,,3488072,3373803,Fanfoi125,FR,29948429080848,
0,6.5,Python3,,3481364,3141948,philRG,FR,43152009653961,
0,5.78,C++,,3483791,4232671,ramdos,JP,105369761641185,
0,4.31,Dart,,3626432,3922731,Dartisan,LU,101995908419116,
0,2.16,Java,,3460473,4230160,Giznno,RU,,
0,-1.42,C++,,3450305,3354337,Westicles,CX,79146641399080,
0,-1.45,Perl,,3314563,2325449,otpv,CA,36646766447960,
0,-1.46,Python3,,3509996,4272715,renzyGo,JP,88335361317239,
0,-1.47,C#,,3170731,2069141,tomeko,PL,13370027887052,
0,-1.48,Python3,,3393901,999637,dinobogan,FR,61192341763607,
0,-1.87,Python3,,3083524,1713174,BigUP,FR,9962854189979,
0,-5.32,Python3,,3485387,3998980,bamax,FR,55292626245560,
0,-8.92,Python3,,3145573,1609946,PeopleOfPlay,CA,10840134253599,
0,-9.22,C++,,3392734,4147224,Nissga,CA,,
