league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=78|time=2021-03-28T00:30:05
3,36.04,Python3,,3053831,2290633,field3,JP,75961127697737,
3,35.91,C,,3477729,2924895,trictrac,FR,23056996012330,
3,34.48,Swift,,3478415,3815413,Michael_Howard,GB,44719647705818,
3,34.03,Rust,,3057494,2288263,dbdr,UA,43448306132121,
3,29.81,Python3,,3477625,4238671,davilla,US,60533428846794,
3,28.2,Java,,3476754,2043908,AntiSquid,,,
3,27.59,Java,,3046575,1443538,Gevater_Tod4711,DE,82852165040194,
2,18.72,Go,,3478314,733749,Hidjy,FR,2123387838549,
2,16.15,Python3,,3071891,311035,leojean890,FR,42398427701382,
2,10.95,C++,,3049470,862919,Astrobytes,GB,60413902297900,
2,7.84,Python3,,3476749,2377428,Neinaps,FR,,
1,27.09,C++,,3393753,3165536,barbora,SK,44036705103292,
1,26.52,C++,,3173810,3721214,jrke,IN,68983084061211,
1,25.98,PHP,,3081383,155774,dwarfie,FR,17785582865119,
1,25.15,C++,,3476904,4233040,Tubaman,GB,,
1,24.01,C++,,3473542,4120837,philipplenk,DE,56924127061308,
1,22.31,C#,,3050153,1378958,Illedan,NO,16222515698472,
1,22.17,C#,,3474588,4118503,Chanido,ES,56391061831198,
1,21.65,C#,,3478085,4218167,33L3H2,PK,60861644850057,
1,21.3,PHP,,3474582,3373803,Fanfoi125,FR,29948429080848,
1,21.18,Java,,3478387,1675242,Stochhja,FR,,
1,21.17,C#,,3477528,4030158,Triodidiod,DE,,
1,20.63,Javascript,,3472450,1607251,baboulaf,FR,18176849207993,
1,19.83,Python3,,3477574,2445689,Zach_Attakk,ZA,60714426775353,
1,19.64,Python3,,3476897,4082081,quasR,RU,59435903886187,
1,19.41,Python3,,3104217,153905,addou,MA,1759339545443,
1,18.72,C++,,3477209,3639580,Mazoise,FR,54622923442151,
1,18.42,Python3,,3477896,3958351,NickNameNick,AF,,
1,17.54,Python3,,3475284,1760406,[nico],FR,63461225299166,
1,17.5,Swift,,3081346,1201796,P.Greze,FR,3522907180370,
1,16.08,Python3,,3477217,4229485,apiguy,US,,
0,20.82,Python3,,3478540,3567321,TPhilippe,FR,36941601176910,
0,19.76,PHP,,3476221,4238542,tooy,FR,60579943941883,
0,19.58,C#,,3478496,1976994,szabdan,HU,13024944170853,
0,19.23,Go,,3477208,1610862,JoseSantosL,IT,16925063908861,
0,19.16,TypeScript,,3472870,2112519,jaaannnaaa,SK,15776472850407,
0,18.91,Python3,,3475898,2398608,M_C,FR,,
0,18.7,Python3,,3472331,4028352,David_Emmanuel,NG,52424442912195,
0,18.69,Python3,,3046695,1512611,Essigautomat,DE,18914605847408,
0,18.25,TypeScript,,3476140,3635888,KX-Apple,DE,39146186316446,
0,17.88,Python3,,3472486,2769835,kyunamk,KR,,
0,17.22,Python3,,3473090,4035994,Juicy8Boy,FR,60698409065868,
0,16.98,PHP,,3134758,1412263,PatrickMcGinnisII,US,75707267075165,
0,16.23,Python3,,3050407,3845610,pardouin,FR,60364063762936,
0,15.23,Java,,3478555,701553,JRR,CA,,
0,15.1,Lua,,3049729,2007852,Zorg1,FR,16542412157988,
0,14.65,Javascript,,3472858,4241592,Routmoute,FR,60633467736801,
0,13.64,C++,,3472893,4237862,Hanlyeon,FR,60484369264457,
0,13.42,Python3,,3475205,4239137,akb_039,JP,,
0,13.37,C++,,3476861,4248866,ThomasLEMERCIER,FR,,
0,12.9,Python3,,3047654,3136787,jacek,PL,75369242083208,
0,12.66,C#,,3474863,4247181,GuedTM,FR,60758227720126,
0,12.57,C++,,3047207,3274956,LeProfesseur,FR,,
0,11.44,Python3,,3477752,1650193,Pakamel,FR,7806909507278,
0,10.94,Dart,,3357205,3922731,Dartisan,LU,101995908419116,
0,10.57,Go,,3472821,1989674,Wic,FR,21024517031501,
0,10.54,Python3,,3478315,3880115,Yaraslaut,FI,,
0,9.85,C++,,3450304,3354337,Westicles,CX,79146641399080,
0,9.85,D,,3472579,3569066,derjack,MC,64869146225502,
0,9.84,Python3,,3473343,2709791,YOMar,UA,20079731572799,
0,9.8,Python3,,3052435,1713174,BigUP,FR,9962854189979,
0,9.79,C++,,3475004,2524356,zerodaycod,MA,17807699345714,
0,9.78,C++,,3475043,4051073,TracyYi,CN,,
0,9.76,Python3,,3392607,3983017,TLbuis,NL,50598324428631,
0,9.76,Python3,,3475717,4237562,AY09,FR,60586968790765,
0,9.74,Python3,,3393899,999637,dinobogan,FR,61192341763607,
0,9.71,Perl,,3314570,2325449,otpv,CA,36646766447960,
0,9.68,Java,,3472510,2388352,roRor_40,FR,,
0,9.45,C#,,3047271,2069141,tomeko,PL,13370027887052,
0,9.36,Java,,3472570,4235123,MateiBalaur,RO,,
0,7.37,C#,,3370879,3836740,lastlife,RU,,
0,5.71,Python3,,3102011,2186563,Manu38,FR,14861172313108,
0,4.82,Python3,,3475655,4228711,bzyk,PL,,
0,0.01,Javascript,,3477410,2469285,Yassine_EL_HOSNI,MA,61201408260554,
0,-2.72,C#,,3471664,4233955,Nanashi91,DE,105720321114252,
0,-3.34,Python3,,3473710,4228825,Darksoulvn,RU,,
0,-6.67,Python3,,3478464,4041262,Ayoife,NG,57088420723017,
0,-11.5,C#,,3476527,3076118,Neo17,IN,60835468329899,
