league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=12|time=2026-09-11T08:21:45
1,39.47,C++,1788849904566,6717608,3136787,jacek,PL,75369242083208,
1,39.45,C++,1788822173208,6716451,3727174,Crazy_Remi,FR,42091389678583,
1,33.94,C++,1789081819584,6726895,7514182,tadc_fan,PL,166990744407309,
1,33.33,C++,1788666031889,6707782,3564009,Waffle3z,US,44751789808331,
1,27.47,C++,1788714201566,6710696,3932502,N3l,BE,165064185299270,
1,23.31,C++,1788220363108,6682769,862919,Astrobytes,GB,60413902297900,
1,22.27,C++,1787592276859,6656744,6132028,NicknamedTwice,GB,136778820182751,
1,21.6,C++,1788548966178,6702439,1479930,LeRenard,FR,40384564000700,
1,21.41,C++,1787397070016,6649988,3903473,Konstant,PL,47882887732604,
1,21.41,C++,1788681844317,6709069,1489865,EricSMSO,FR,10005277870281,
0,16.05,C++,1787397503151,6649992,3569066,derjack,MC,64869146225502,
0,1.78,C++,1787836923842,6668153,5586880,DoYouEvenFlask,DE,136581003784284,
