league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=895|time=2024-08-04T04:09:27
,45.64,Java,1444412142200,357838,629202,Larry,FR,2473893146751,
,43.55,Java,1446845644181,363206,836415,tallo,SK,,
,42.95,Java,1525885665820,1847653,351062,Neumann,FR,17173563008577,
,42.88,Java,1633174921525,3849319,4070745,HoriMiyamura,TO,83179788895310,
,42.67,Java,1448822443995,365555,1175343,Hankerspace,FR,2890003854966,
,42.25,Java,1443972691345,354980,224676,Jin66,FR,10914664960606,
,42.05,Java,1443963326970,339732,956606,NighTurs,VA,63037185165725,
,41.38,Java,1515831293123,1624935,2288263,dbdr,UA,43448306132121,
,40.71,Java,1605185713618,3174272,893541,wala,FR,97577641170180,
,39.48,Java,1549205530630,2238670,335954,nmahoude,FR,19628800665378,
,39.44,Java,1443952192258,352491,947693,Sunglow,FR,,
,39.4,Java,1443972144159,352887,834728,ki-ki33,JP,13290680368678,
,39.25,Java,1700342626846,5109921,1192500,Asker,RU,113041305415828,
,39.18,Java,1457861646857,411514,840697,st00p1d,SK,2233351090420,
,38.92,Java,1443969691928,352597,848394,schwarzahl,JP,2189519712898,
,38.79,Java,1640118796918,3945762,3583985,Nefael,FR,37436989864179,
,38.71,Java,1443925996981,348071,877850,Edin,BA,1823119810127,
,38.7,Java,1443965894406,347403,937225,Daedin,FR,2270043858155,
,38.68,Java,1623997134755,3716403,3235897,Zylo,PL,25779784253696,
,38.63,Java,1446071149646,362440,226528,Manwe,FR,4426392032279,
,38.61,Java,1497644247902,1325988,1767134,AntonYuriev,RU,10153090319868,
,38.57,Java,1443610694043,339048,805637,Twoey,GB,,
,38.42,Java,1443806636004,347830,712421,Kiwi,GB,2053618096449,
,38.37,Java,1443981043472,340421,844547,Superthib,FR,,
,38.24,Java,1443980362642,342000,668906,Sandworm,NL,1871842772580,
,38.08,Java,1443951685825,354751,935565,Vil_Rouquin,FR,2235742108417,
,38.06,Java,1443980059198,356135,598416,alexandr9519,FR,1785682349264,
,38.02,Java,1443965020432,350539,856695,colegu,RO,47101648476115,
,37.99,Java,1443966375650,356493,682376,fraagol,ES,,
,37.94,Java,1469216986673,597670,196606,EasyCoder,FR,4933798984412,
,37.89,Java,1454472422284,371677,1025212,Asterixk,PT,12297692953021,
,37.86,Java,1474614781101,689207,392182,Orgcore,CA,6987982930171,
,37.84,Java,1444372538054,357751,935802,Jerhyn,FR,109463964266798,
,37.77,Java,1443872729097,357531,305790,Bertrand88,ES,4410654162649,
,37.63,Java,1443981226773,352131,417490,Alevohin,RU,,
,37.54,Java,1443969139553,342255,212028,GHenry,FR,3320961356988,
,37.52,Java,1443966583162,356610,335818,TyraEl,FR,,
,37.49,Java,1443846636875,347756,718159,dimkadimon,AU,2191513761818,
,37.4,Java,1443972757693,341800,884855,ChristopherZ,FR,2290780145734,
,37.08,Java,1443968108032,345143,1070856,D-MoNs,FR,,
,36.96,Java,1446489066913,362922,1069741,Kakuro,FI,,
,36.85,Java,1443297311565,347694,860239,Neilura,FR,,
,36.75,Java,1444411958549,357837,1034042,dungeon_master,IN,3043731113495,
,36.43,Java,1526226692202,1851180,1194069,Redstrike,DE,57293561455683,
,36.38,Java,1447400073708,364033,994344,Momopouccino,FR,1989352055938,
,36.38,Java,1445374971097,361374,848989,revever,FR,3260982337452,
,36.17,Java,1448321051233,364926,1048380,SkyCore,US,2303862029897,
,36.03,Java,1467847032788,575048,913697,Tsa6,US,4247747490283,
,35.96,Java,1446989501479,363403,646829,Kiwewe,FR,,
,35.94,Java,1489583516638,1094348,198916,WhatTrickeryIsThis,FR,40590448621674,
,35.86,Java,1443935044642,350465,811857,Illumine,CA,,
,35.75,Java,1519310603483,1667468,1341520,egaetan,FR,21055353954161,
,35.73,Java,1443426413248,352287,568261,Tristan,FR,,
,35.68,Java,1443980842173,339959,975039,meooow,IN,69301601115599,
,35.36,Java,1454807108150,373756,155091,smeagol,DZ,5204182452248,
,35.21,Java,1443979239041,351937,372352,Maradona,EG,7898437421858,
,35.17,Java,1443649646024,348691,871430,Arkandias,FR,4425003009007,
,35.11,Java,1443981583062,340320,504994,NikitON,BY,18391326110171,
,35.09,Java,1456309789204,382338,1315256,FlashMan,DE,3609013770296,
,35.09,Java,1528628229032,1881411,2662359,Javamat,FR,,
,35.06,Java,1443950609842,355354,1053433,3WTochka,UA,2883893749522,
,35.05,Java,1443648662047,354801,907714,Janot,SK,1820703178900,
,35.02,Java,1443979526833,343971,536072,IKarl,FR,,
,34.98,Java,1443922445993,350691,697152,Bander88,US,7550616198417,
,34.92,Java,1443969445763,339636,894599,DidierC,FR,1756298465824,
,34.9,Java,1487009255711,968670,1093968,milosMATRIXrepic,RS,117470302748056,
,34.82,Java,1444322393937,357644,632549,Keiras,CZ,1798453182335,
,34.78,Java,1443967814640,346001,830819,johnnyhibiki,JP,1839904395917,
,34.7,Java,1465300684936,491297,1397823,KimHakGyu,KR,,
,34.68,Java,1443976002416,351416,425477,selslack,RU,,
,34.64,Java,1480780121009,861301,1542460,[CPC]totoleharicotvert,FR,6009849340344,
,34.58,Java,1443966645118,343351,164454,aRaMinet,FR,2194604042922,
,34.54,Java,1443824001279,342305,1005110,daremer,ES,,
,34.51,Java,1443953519186,356067,941843,S4M37,TN,8415750612515,
,34.47,Java,1443877461028,343425,153062,Guian,FR,23712306205384,
,34.46,Java,1456411799259,382458,1070477,Stirius,FR,7167416323118,
,34.46,Java,1443734056510,348440,435097,IMost,UA,,
,34.46,Java,1443822261646,354174,408825,DenVo,US,,
,34.46,Java,1443960779060,349086,925333,aseweryn,PL,2175396968643,
,34.44,Java,1464333884554,474240,1122412,TheNinja,AU,3823739809641,
,34.44,Java,1443827140480,349138,1032334,lukasz.garb,FR,,
,34.42,Java,1541064068450,2115851,892056,LaurentTrk,FR,21751586481934,
,34.4,Java,1443981421146,353536,706692,alexhap,UA,12742258885909,
,34.37,Java,1443876086102,354099,1070718,Sims.,FR,5818892767889,
,34.34,Java,1443957891803,354144,1038444,Kelton,US,2137233353815,
,34.33,Java,1443976623902,347144,1058254,GAik,GB,2765780506640,
,34.32,Java,1447578598207,364197,1145498,Mouseas,US,2664528636264,
,34.31,Java,1443975743939,349922,783337,Dewey,FR,111812900231909,
,34.31,Java,1443800833006,355157,904045,ZenDoor,HU,2205142669452,
,34.3,Java,1443959973715,355038,1020589,Jevri,CN,,
,34.28,Java,1443946667167,351533,435076,Azurith,FI,6960452241336,
,34.27,Java,1451212142178,368602,1220209,NathanIstace,BE,,
,34.26,Java,1443800100323,344707,1006307,adeldjellal,DZ,11149090111049,
,34.26,Java,1453222625486,370229,1202382,FredFz,FR,,
,34.24,Java,1443955421261,356054,863265,Anaidel,DE,,
,34.23,Java,1443958685099,345626,819803,Anordil,FR,3821719871736,
,34.11,Java,1530800857303,1940669,1464932,Tiramon,DE,12287237914571,
,34.06,Java,1443554110583,342478,1047061,ThePiti85,DE,,
,34.02,Java,1524867589798,1821847,1907409,coffee_machine,CH,11704285592912,
,33.97,Java,1458298125104,412279,1336198,andreaca,IT,3922650405415,
,33.56,Java,1464009824651,468758,1442633,buldozer,SK,4578712550930,
,33.49,Java,1443979430959,343755,1063294,Chaya,FR,5516488637538,
,33.41,Java,1694873234096,5053311,1502379,B-GangsteR,UA,5302687974456,
,33.33,Java,1489154022177,1086223,1356964,Willathon,GB,,
,33.31,Java,1443302405048,353240,900666,lgsmitty,BY,63814087658245,
,33.28,Java,1443732635737,341232,516255,Vargas,FR,1723834742159,
,33.21,Java,1443969553105,343985,1042422,Chabal,FR,,
,33.16,Java,1477011261188,768152,1583240,SamLeMarin,CA,7785405922731,
,33.16,Java,1443641600639,355139,967332,mbs,FR,,
,33.12,Java,1443704378157,351835,197298,Falkor,FR,4333827763469,
,33.01,Java,1443648962631,354989,210413,T.Des,FR,,
,33.01,Java,1443733218513,355530,1061542,Mwha,FR,2205069532817,
,32.97,Java,1443528389542,354240,1057929,jcha93,FR,,
,32.92,Java,1443517798100,355703,831171,Recoding,FR,2203947183303,
,32.87,Java,1443972651221,353118,972414,Hackman,NL,,
,32.82,Java,1443800513951,343297,585897,adeprez,FR,10997050380435,
,32.72,Java,1443731282332,355844,389175,Folkenn84,FR,,
,32.71,Java,1443811728270,352789,162212,Woody,CA,13058731034089,
,32.68,Java,1496145215667,1306957,992752,Trusion,FR,,
,32.66,Java,1554989384576,2328414,1929747,jeyBoole,TR,,
,32.64,Java,1532265944755,1962312,1462735,mstuercke,DE,4763195792361,
,32.64,Java,1444499181537,357997,154078,Yahya.Elfakir,NO,1796829209738,
,32.64,Java,1458244555926,412182,1334143,SimoneBosh,IT,3758542234528,
,32.63,Java,1456756663268,392989,1331995,TheSamWiser,BE,,
,32.62,Java,1495303731927,1284436,926124,Beerus,GR,2525676378809,
,32.57,Java,1453478257733,370402,1132495,Yaayoun,FR,2596032163904,
,32.54,Java,1443981280785,352864,1036976,MojoJojo,IN,2415822543465,
,32.54,Java,1464911188010,485036,1427078,ToshiTuringMachine,NL,4895133817813,
,32.53,Java,1443893771496,343831,375688,fcgb87,CH,,
,32.48,Java,1443957981411,345346,1050421,geppoz,IT,4030238757816,
,32.47,Java,1460322768595,415506,1251381,ZepHead,CA,4296470051610,
,32.36,Java,1452520183892,369757,1229321,yasht,JP,,
,32.35,Java,1464449556454,476901,414278,oobException,FR,4595241889335,
,32.35,Java,1483048944597,906123,1512968,cuduputu,BE,5613750381261,
,32.33,Java,1467569144905,570116,1223426,VolgoAK,RU,5665481838332,
,32.28,Java,1443712671688,357513,970531,Magdiragdag,NL,2051611393969,
,32.26,Java,1464643173687,479664,1234905,DavidAvakov,FR,,
,32.26,Java,1443919286681,344557,994034,Jazzcript,TR,2157829775470,
,32.25,Java,1443965143049,345241,902195,0x43-0x50,DE,,
,32.22,Java,1443953481463,339155,368727,p0wonTnx,TN,21428406854579,
,32.2,Java,1443936666693,352232,978754,flower_child,UA,,
,31.86,Java,1443735306216,354080,1064518,lombosp,HU,,
,31.76,Java,1443976945314,353244,543181,dominisz,PL,2001884155929,
,31.5,Java,1468437272950,583565,155853,gansheer,FR,1812683376406,
,31.47,Java,1443565589722,348432,619211,Thrain,FR,,
,31.46,Java,1480792836413,862696,903179,maksmas,EE,101274743228150,
,31.44,Java,1443382209999,351295,1063061,omi,FR,,
,31.41,Java,1461532227146,417391,1404381,DaDino,DE,,
,31.37,Java,1443961318394,347933,1069105,AlienBeer,FR,2204903131122,
,31.22,Java,1462110133182,423547,1409924,RevenantMachine,NL,4496413244222,
,31.15,Java,1443959691394,345171,993715,Yvan,FR,,
,30.89,Java,1443792534975,341867,1008717,Brainteaser,FR,,
,30.88,Java,1443686648442,356098,344844,Vinicius.oh,BR,2108862569168,
,30.88,Java,1462554473502,446387,201550,CheickMahadySissoko,FR,,
,30.77,Java,1467616006999,570763,1046623,the_pins,FR,4978783192845,
,30.74,Java,1455322808209,375376,891277,an3zam,DZ,,
,30.72,Java,1444479146846,357944,881037,Amadeuszx,PL,1720829478041,
,30.69,Java,1443749376027,341523,734346,kr4ft,US,,
,30.68,Java,1459192571679,413754,1348345,OndraCZ,CZ,4098932759782,
,30.67,Java,1443970936172,343594,1052506,mnementh,FR,2204867570096,
,30.64,Java,1443561623134,341741,572830,consuLion,DE,,
,30.56,Java,1443910473564,345358,1075779,N.A.S.,FR,54004907592353,
,30.46,Java,1443713749962,353127,833606,mattrero,FR,98545849818693,
,30.39,Java,1443817204728,356222,1018207,NS,UA,,
,30.33,Java,1491659059953,1126739,1333579,ThibaudJeannin,FR,10392469743399,
,30.22,Java,1620118062162,3533106,964503,ronna22,LV,,
,30.14,Java,1444772509820,358477,939530,Jahz,FR,2238781545472,
,30.08,Java,1452066606176,369357,1189814,xy007,BE,,
,29.95,Java,1443400084707,346750,733335,DJNour,CA,3633921896361,
,29.77,Java,1443876854005,347111,1059831,Moystia,FR,9343263134694,
