league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=160|time=2020-07-02T00:30:06
0,37.26,C++,,2455798,186179,Nagrarok,FR,95596601515650,
0,36.95,C++,,2605467,1607522,RoboStac,GB,11333369102997,
0,36.17,C++,,3003001,3193653,karliso,LV,54368321987353,
0,35.52,C++,,2615123,2522090,MSmits,NL,17784428403916,
0,35.37,C++,,2577827,524638,miklla,RU,8534620461135,
0,34.95,C,,3014560,2924895,trictrac,FR,23056996012330,
0,34.62,C++,,3026841,154984,_Royale,FR,17869369984436,
0,33.7,C++,,3014531,2923506,darkhorse64,FR,23496414257567,
0,33.69,Rust,,2359830,2288263,dbdr,UA,43448306132121,
0,33.29,C++,,2729566,3046779,Kathrin,DE,23869551387688,
0,32.33,Java,,2633654,1566335,BeardedWhale,SE,36571449875674,
0,31.62,C++,,2847448,1673335,LoGos,PL,43617608906679,
0,31.03,C++,,2421995,155774,dwarfie,FR,17785582865119,
0,30.43,C++,,2494985,1436776,BrainSolver,FR,10099178983053,
0,28.68,C++,,2591765,1489865,EricSMSO,FR,10005277870281,
0,27.68,C++,,3009474,1307473,Evgenykz,UA,33899861048423,
0,27.56,C++,,3000799,3457031,YurkovAS,RU,33020204289704,
0,27.53,C++,,2844478,811622,Scarfield,DK,73294709815061,
0,27.3,C++,,2628888,3136787,jacek,PL,75369242083208,
0,27.11,C++,,2846833,3165536,barbora,SK,44036705103292,
0,27.05,C++,,2424082,1673512,Ryoken,LI,,
0,25.94,C++,,2358657,1661333,linjoehan,ZA,7946484028034,
0,24.89,C,,2411138,889789,Alain-Delpuch,FR,3105645724538,
0,24.52,C++,,2473803,2590149,GoofyGas,US,18536033690531,
0,23.55,Go,,2624253,2115491,Haashi,FR,13769252859943,
0,23.49,Python3,,2359648,953094,Witman,PL,1798239809031,
0,23.49,Python3,,3013174,311035,leojean890,FR,42398427701382,
0,23.47,Kotlin,,2407907,331880,Monstruo,MX,16575963540770,
0,23.45,C++,,2834899,3569066,derjack,MC,64869146225502,
0,23.4,C++,,2495805,2786666,TetraktysPhi,FR,20818693590142,
0,23.39,C++,,3004188,1389861,Evgenykz3,UA,33966143602428,
0,23.37,Rust,,2603675,154388,PonyPonyCodeCode,FR,37335148285737,
0,23.35,Python3,,2411877,153965,Keelhaul,FR,4367050238110,
0,23.31,Python3,,2656638,3640270,s34vv1nd,VN,,
0,23.3,Rust,,2426186,338469,-___-,FR,35472269132292,
0,23.2,Scala,,2690231,1740037,ereiam,FR,12669494111004,
0,23.04,VB.NET,,3019056,1453140,believerboy,AT,,
0,22.97,C++,,2418160,224325,TidyMaze,FR,2654133392410,
0,22.8,C++,,2355418,1169499,naab,FR,21217854473439,
0,22.67,C++,,3023990,1109979,Gloopy,FR,5855023276100,
0,22.64,C++,,3014297,1288527,Snef,FR,20716524973752,
0,22.33,C#,,2605400,1500515,eulerscheZahl,DE,43135502422075,
0,22.16,Python3,,2436189,1771970,Entei,JP,22958773542415,
0,22.04,Python3,,2350182,2290633,field3,JP,75961127697737,
0,21.8,Java,,2649691,3534354,Rog1,FR,39304988315299,
0,21.39,Python3,,2483994,631323,herve056,FR,11494731136934,
0,20.89,C++,,2416950,1833849,Akromha,FR,27020769116001,
0,20.06,Java,,2444174,1464932,Tiramon,DE,12287237914571,
0,19.94,C,,2836629,973040,papyjo,FR,15696776172839,
0,19.36,C#,,2602200,1378958,Illedan,NO,16222515698472,
0,19.35,Python3,,2354473,157377,McKelian,FR,63490429201814,
0,19.25,Java,,2687879,825049,Scheronimus,DE,18052114740957,
0,19.12,C++,,2375123,1838289,Dagal,BE,11875122484747,
0,18.92,Ruby,,2427707,2572485,DGynn,US,18568972569137,
0,18.76,Java,,2837251,1537951,Nerchio,PL,64013847666734,
0,18.74,C++,,2460346,3396528,surffer3d,ES,32089180617011,
0,18.63,Python3,,2347123,2516972,Lyxx,FR,17727656158303,
0,18.57,Python3,,2629079,425462,Azt-yur,RU,16224786627212,
0,18.54,PHP,,2347785,1412263,PatrickMcGinnisII,US,75707267075165,
0,18.48,C++,,2407725,1854246,Counterbalance,NL,26367790351026,
0,18.44,Python3,,2409695,3285580,mr.x,KP,26860723166160,
0,18.41,C++,,2359653,734401,b0n5a1,FR,1848632360793,
0,18.36,Python3,,3005512,1635357,GiB,FR,7734029926719,
0,18.31,VB.NET,,2580401,3510455,Bishop42,DE,34939446619341,
0,18.16,Kotlin,,2407279,1926967,Stanworld,FR,11941603857102,
0,18.16,C++,,2416887,1418821,input.txt,RU,13393616028136,
0,17.95,Java,,2452341,1227148,Schneewittchen,DE,3252989132290,
0,17.94,C++,,2828252,2043908,AntiSquid,,,
0,17.93,Javascript,,3012181,1932980,AlexandreK,FR,30714560059953,
0,17.88,Python3,,2585192,1953786,ludowsky,FR,14499107805962,
0,17.84,Java,,2437679,3055468,binx33,FR,23883252124932,
0,17.84,C#,,2446510,2069141,tomeko,PL,13370027887052,
0,17.8,C#,,2453333,2141506,Jamesscn,MX,18889088943331,
0,17.73,Javascript,,2350937,3250221,reimu,US,,
0,17.7,C,,2634974,1029602,Potemkine,FR,3592202416352,
0,17.61,Python3,,2672998,2006830,Ironist,FR,12741928448351,
0,17.51,Javascript,,2678205,3651809,NicknameRequired,VA,40440567983888,
0,17.5,C#,,2642404,3540338,CAV,FR,,
0,17.47,Python3,,2351267,792813,VilBoub,FR,72010225615995,
0,17.46,Ruby,,2347407,1065845,Oli8,FR,2986082369890,
0,17.45,Python3,,2645586,3533541,DewBlack,ES,35537340681951,
0,17.45,Go,,2350053,1484839,sparky,GB,41934483411733,
0,17.41,C++,,2414516,934381,PolyB,FR,,
0,17.37,C,,2655413,1713931,j3r3m,FR,94820288018591,
0,17.31,Python3,,2583601,2006225,AggaR,FR,18512746883557,
0,17.29,Haskell,,2448654,1525392,migorec,RU,5753011964434,
0,17.23,Ruby,,2348649,371603,martin,CA,1761380964089,
0,17.07,Ruby,,2498576,1515891,ndc,RU,57247748477088,
0,16.96,Python3,,2649396,3523244,CesarDiaz,ES,,
0,16.89,Python3,,2500602,3309694,RingLeader,US,27038508809712,
0,16.57,Java,,2422544,2976964,BenjaminUrquhart,US,26083283518959,
0,16.26,C#,,2948718,839879,Washier,ZA,12972766898492,
0,16.25,C#,,2434005,3398935,OkrosDaniel,HU,30698382760492,
0,15.93,C#,,2423723,1728288,MOLP,FR,25530098163966,
0,15.81,Python3,,2606369,3561816,noname1477,DE,37217963145424,
0,15.47,Python3,,2359785,2049979,130N35,FR,13111365905174,
0,14.63,Java,,2866857,2260815,Haardvuur,BE,45262703035054,
0,14.61,C++,,2481377,314562,Mechar,FI,3832913620992,
0,13.31,Lua,,2359481,1341520,egaetan,FR,21055353954161,
0,13.14,Python3,,2357274,1713174,BigUP,FR,9962854189979,
0,13.06,Lua,,2603278,3564009,Waffle3z,US,44751789808331,
0,13,Java,,2356473,2508635,hemhel,FR,17633818881669,
0,12.94,Python3,,2741890,3709773,x3nu,LU,41572941251146,
0,12.89,Python3,,2607967,3101644,HerrHagner,DE,39056126752805,
0,12.89,TypeScript,,3017487,2921599,Rinoweb,FR,22420100477650,
0,12.89,Python3,,2430135,3061689,GiovanniDejan,ID,25639986562868,
0,12.81,PHP,,2434544,2983004,tazorax,FR,44193486227636,
0,12.79,Java,,2471149,1194069,Redstrike,DE,57293561455683,
0,12.78,Python3,,2409859,2101153,[CG]jupoulton2,FR,97129588211844,
0,12.77,Python3,,2421805,837350,BorisZ,RU,4405751597540,
0,12.77,Python3,,2485034,1104922,Romuald_78,FR,61758566016863,
0,12.75,Python3,,2755209,3657937,elderlybeginner,PL,39723186977905,
0,12.72,Javascript,,2409747,969000,KB,DE,37409704502795,
0,12.71,VB.NET,,2416048,3167968,Master_Zain,GB,25059813489079,
0,12.69,Python3,,2448932,1200905,OK2,UA,32475228084180,
0,12.67,C++,,2655753,3642083,CoffeeSS,VN,,
0,12.66,C#,,2410436,2497890,BlackBird,DE,29461328432159,
0,12.65,Java,,2347840,3334658,Aquaphobe,CH,36561446647658,
0,12.64,Python3,,2469111,1829569,[0___0],UA,18841087167676,
0,12.64,Python3,,2347149,1206537,MadKnight,RU,29443769474274,
0,12.62,OCaml,,2347703,925695,Boulet,FR,29121141951376,
0,12.54,Python3,,2359509,788361,Bob,FR,29407964997640,
0,12.53,Python3,,2585364,1548844,Semaphor3,FR,40676289257937,
