league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=52|time=2026-01-15T04:31:27
2,37.99,C++,1765729960121,6159402,2786666,TetraktysPhi,FR,20818693590142,
2,37.32,C++,1758102446128,6042788,6841478,kneegabob,AG,,
2,36.9,C++,1758206798904,6043908,6839699,szymon_lania,PL,,
2,35.7,C++,1758108761925,6042898,6841724,hugh_jass123,PG,,
2,33.16,C++,1758099750344,6042746,6841497,abababuiwefbiu,PL,,
2,31.76,C++,1758021515516,6042029,6839732,LKarolek,PL,,
2,28.86,C++,1763315233460,6095317,1115939,Stounate,FR,54056204305685,
2,27.17,C++,1767182336713,6181643,5351841,mhayyoun,MA,133226647813038,
2,26.92,C++,1765639290258,6158579,1479930,LeRenard,FR,40384564000700,
2,24.84,C++,1758038334445,6042288,6838840,1Lo,PL,,
2,24.05,C++,1758032412746,6042142,6839987,Zbyszko.,PL,,
2,23.49,C++,1758053892955,6042424,6839570,Zbyszop,PL,,
2,22.75,C++,1758119964736,6043056,6013950,Jasiex76,PL,,
2,22.53,C++,1758118922621,6043034,6839369,pawciosnajpernigdyniespi,PL,,
2,22.17,C++,1767816906585,6193848,6166636,yaichi,JP,,
2,21.52,C++,1758101775299,6042776,6839591,Kimoworwa,PL,,
2,20.87,C++,1758021392845,6042028,6839019,opiumenjoyer,PL,,
2,20.81,C++,1758110196914,6042916,6839755,ppp123,PH,,
2,20.31,C++,1758103596633,6042801,5499557,BlockBusterMM,PL,,
2,20.12,C++,1758102233824,6042784,6841475,dfsgyhfg,PL,,
2,19.61,C++,1758108929679,6042900,6839596,w212114343114314314,PL,,
2,19.45,C++,1758056631475,6042442,6840257,Cysia,PL,,
2,19.15,C++,1758119468130,6043044,6841473,KrzysztofSuligowski,PL,,
2,19.14,C++,1758032906707,6042149,6839407,Pavvel_192,PL,,
2,18.7,C++,1758020777233,6042014,6839745,LO2,PL,,
2,17.26,C++,1758020405398,6041998,6839751,kajtek2006,PL,,
2,17.24,C++,1758020139822,6041987,6839563,AntoniBartosz,PL,,
2,17.0,C++,1766582473407,6171841,5983010,msaadaou,MA,122315346508663,
2,16.66,C++,1758021516559,6042030,6838958,Wake_up,PL,,
2,16.11,C++,1758021825236,6042040,6839739,MateuszSkrz,PL,,
2,15.03,C++,1758103658593,6042803,6839677,M-Mistrzus,PL,,
2,14.5,C++,1758665807886,6048388,3824067,thoip2,FR,82434949516630,
2,12.76,C++,1758013878880,6041787,2923506,darkhorse64,FR,23496414257567,
2,12.76,C++,1758102982723,6042795,6839666,zaharrra,PL,,
2,11.93,C++,1758102709173,6042790,6838856,qwertyuiop[efghjkl,PL,,
2,11.3,C++,1758137932688,6043183,6842593,gkarpiu,PL,,
2,7.94,C++,1758117321871,6043002,6839741,jacektorpeta123,PL,,
2,-4.94,C++,1758188900583,6043786,6839028,yeetengin3,PL,,
1,20.21,C++,1758019799956,6041971,6839742,kubek567,PL,,
1,19.85,C++,1758106649675,6042853,6841644,pogromcapapieZa,PL,,
1,16.37,C++,1758117883307,6043009,6841953,emilka2612,PL,,
1,16.25,C++,1758098304956,6042721,6841472,z......,PL,,
1,16.24,C++,1758117320787,6043001,6841957,Klaudia7,PL,,
1,16.14,C++,1758100357469,6042757,6841514,zandbek,PL,,
1,14.95,C++,1758120515764,6043071,6842082,sdnsfd,BD,,
1,13.47,C++,1758021082848,6042016,6839749,BOSSuno,PL,,
1,13.3,C++,1766415087328,6169356,6996859,klsdngklnsdg,MA,,
1,12.54,C++,1758107564749,6042868,6841638,Tarner_exe,PL,150447800413893,
1,10.65,C++,1758120514725,6043070,6841946,Filipkedz,PL,,
1,8.64,C++,1758038352582,6042289,6839671,pieczonekurczaczki,PL,,
0,14.24,C++,1758118417617,6043022,6841955,masturbinho69,PL,,
0,11.9,C++,1759051502945,6052548,3569066,derjack,MC,64869146225502,
