league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=12|time=2025-03-29T08:47:04
1,26.68,C#,1625853241761,3748168,1378958,Illedan,NO,16222515698472,
0,23.05,C#,1607787658635,3351536,4027292,rmait,CL,53440061832267,
0,22.33,C#,1607770576775,3351205,273876,SirSushi,FR,78452887015207,
0,22.01,C#,1607874234378,3352986,2045078,Sharaks,LV,55020309748597,
0,20.7,C#,1607989936613,3354961,4080898,twhite,FR,,
0,20.28,C#,1607374860966,3344628,2592027,ParticleBeam,ZA,18577946915595,
0,19.49,C#,1675451030360,4729188,3563934,ChuckTheNinja,US,50520780935948,
0,17.07,C#,1608842867338,3368556,3046608,BotWerx,US,23957902848290,
0,14.07,C#,1607747429757,3350971,2069141,tomeko,PL,13370027887052,
0,10.59,C#,1677960873239,4757316,1186250,Gabbek,PL,3084076624888,
0,4.04,C#,1673812595098,4707932,2824008,OccitanieFreelancer,FR,22557072925785,
0,3.99,C#,1607393629113,3344940,3738782,Inaniwa,JP,45411361581903,
