league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=117|time=2020-06-02T00:41:54
0,50.06,C,,2431440,2924895,trictrac,FR,23056996012330,
0,48.99,C++,,2461453,1673512,Ryoken,LI,,
0,47.65,C#,,2699198,1629259,Marchete,ES,61997162908277,
0,44.58,C++,,2333368,1480501,DaFish,SE,29432508282053,
0,43.88,C++,,2464869,1479930,LeRenard,FR,40384564000700,
0,43.58,C++,,2464781,1489865,EricSMSO,FR,10005277870281,
0,42.8,C++,,2700527,2522090,MSmits,NL,17784428403916,
0,42.76,C#,,2588466,1500515,eulerscheZahl,DE,43135502422075,
0,42.41,C++,,2326185,1684486,Whopper,FR,12645064652397,
0,42.09,C++,,2314813,1661333,linjoehan,ZA,7946484028034,
0,41.26,C++,,2425309,3167968,Master_Zain,GB,25059813489079,
0,41.1,C++,,2469153,2590149,GoofyGas,US,18536033690531,
0,40.82,C++,,2701384,3457031,YurkovAS,RU,33020204289704,
0,40.78,Java,,2479954,1194069,Redstrike,DE,57293561455683,
0,40.58,Java,,2345461,2455616,JeanClaude44,FR,17042314996810,
0,40.48,C++,,2726014,3622757,anid,,,
0,40.21,C++,,3000022,3755755,AAhmed9,,,
0,40.19,C++,,2417229,820000,ValGrowth,JP,95440985747208,
0,39.7,C++,,2841137,2043908,AntiSquid,,,
0,39.14,Python3,,2318179,1930304,Watashiku,FR,11962197037486,
0,38.31,C++,,2579622,1411952,gragatrim,US,25877983628595,
0,38.12,C#,,2505786,783555,Colin88,NL,34373466836767,
0,37.32,C#,,2951799,839879,Washier,ZA,12972766898492,
0,36.97,C,,2323829,1029602,Potemkine,FR,3592202416352,
0,36.71,Haskell,,2459875,512097,Stilgart,FR,69893904259383,
0,36.25,C++,,2603881,1436776,BrainSolver,FR,10099178983053,
0,35.84,Python3,,2309742,3123668,MattCliff,US,24635816510772,
0,34.88,C#,,2457867,1225445,Lentaq,US,,
0,34.82,C#,,2689559,1494384,Wolfboss,US,,
0,34.68,Python3,,2314237,2709791,Mouugli,UA,20079731572799,
0,34.65,Python3,,2313211,2290633,field3,JP,75961127697737,
0,34.33,C#,,2332728,3165536,barbora,SK,44036705103292,
0,34.29,C++,,2409395,1854246,Counterbalance,NL,26367790351026,
0,33.71,C++,,2315582,3291799,SamuelAllanssonLindberg,FO,,
0,33.68,Python3,,2585096,3414833,noc1243,BR,,
0,33.65,C#,,2491344,3456615,Juju93,FR,,
0,33.6,Python3,,2656414,3353015,Salted,CA,78606329541070,
0,33.59,Python3,,2638261,3621947,vrabosh,RU,59738664564322,
0,33.21,Ruby,,2990951,3808031,_proton,US,44172683522650,
0,33,Ruby,,2310280,2416641,Zenoscave,US,16732569385856,
0,31.26,PHP,,2324920,1412263,PatrickMcGinnisII,US,75707267075165,
0,31.19,C#,,2825776,1096274,DrBrask,DK,4347556837028,
0,31.16,Javascript,,2409694,314562,Mechar,FI,3832913620992,
0,31.15,Python3,,2308974,3230794,tutubalin,RU,25714480415254,
0,31.14,C#,,2310773,403748,[CG]SaiksyApo,FR,73884622868350,
0,31.1,C#,,2316575,2497890,BlackBird,DE,29461328432159,
0,31.04,Java,,2309408,1526431,EAbdel,MA,5672772265146,
0,30.82,C++,,2693099,862919,Astrobytes,GB,60413902297900,
0,30.8,Scala,,2679440,1740037,ereiam,FR,12669494111004,
0,30.78,Java,,2341307,420785,Max52,RU,7207083347396,
0,30.75,Java,,2308920,1616071,Cyberpunk,PL,24651252428558,
0,30.64,Python3,,2416326,1765278,SuperMiron,RU,,
0,30.54,Python3,,2448930,1200905,OK2,UA,32475228084180,
0,30.32,Python3,,2999019,3800599,Robsob,PL,43869627807837,
