league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=50|time=2024-11-10T04:09:24
0,51.66,C++,1686074584327,4960308,3136787,jacek,PL,75369242083208,
0,47.04,C++,1681494990333,4797494,2311105,kovi,HU,20774306904131,
0,42.12,C++,1715845148966,5380463,2373953,Dridriun,FR,64609504937617,
0,41.26,C++,1638571491099,3920718,3556476,YohanC,FR,36507960164459,
0,39.08,C++,1718485123619,5444091,4605516,DevOops,SE,,
0,34.85,C++,1686079913311,4960463,2786666,TetraktysPhi,FR,20818693590142,
0,34.3,C++,1637835138841,3908253,4607374,B3rty,FR,73579461743672,
0,33.92,C++,1639522326634,3934778,1480501,DaFish,SE,29432508282053,
0,33.88,C++,1729176125256,5599793,3819989,KawattaTaido,JP,54685703661094,
0,33.65,C++,1637845720977,3908412,4074267,Alex_V-H,FR,,
0,33.1,C++,1638192865605,3913136,4493523,Fynjy1313,RU,69830804987490,
0,31.19,C++,1638293476710,3914890,2923506,darkhorse64,FR,23496414257567,
0,30.95,C++,1642811164465,3979671,4334077,VonDerManzen,GB,118094862007905,
0,30.82,C++,1689098671581,5001403,5417365,Ry22,US,107677607235495,
0,30.58,C++,1637943212282,3909701,3121191,ZeroBlitz,RO,24617023388488,
0,29.73,C++,1646754383045,4027552,2964224,SimoneMazzola,IT,,
0,29.62,C++,1685973541597,4953215,271945,aangairbender,UA,6101760651670,
0,29.48,C++,1689527929678,5005200,5606412,Morskoul,FR,108112407047702,
0,28.68,C++,1656385880622,4371108,4965293,phoenix_public,US,,
0,28.23,C++,1638051434726,3911086,2813247,Maurice3113,FR,25309641933677,
0,27.43,C++,1684754192443,4831628,3569066,derjack,MC,64869146225502,
0,27.39,C++,1725708333217,5569719,5179712,Stirner555,MA,96563027644931,
0,27.35,C++,1691257939492,5023749,1838289,Dagal,BE,11875122484747,
0,26.9,C++,1637692911132,3906439,1469666,alenic,IT,46060125344133,
0,26.1,C++,1638107371767,3911610,4612540,Fieldyturbo19,TR,73699846985852,
0,25.84,C++,1646234794951,4019891,4447108,MonkeyFeathers,NL,68439965851242,
0,25.7,C++,1676817447577,4744794,5347956,mamkingladiator,UA,,
0,22.99,C++,1729249218642,5600484,5717510,Censaf9,FR,112658163016370,
0,22.64,C++,1722505919511,5545924,6131026,kaumGott,DE,125248203189154,
0,22.56,C++,1723923158557,5555536,5964020,SuperDron,UA,119292983605176,
0,22.45,C++,1657101387094,4383402,4427323,DrSzuriad,PL,86819623905732,
0,19.5,C++,1640644487989,3952598,862498,Graviton_Noir,FR,12180591976219,
0,19.17,C++,1637797680711,3907998,4603654,ncuxSP,RU,73390846925511,
0,18.88,C++,1638000917388,3910332,4253866,solebull,FR,61037762848010,
0,18.81,C++,1640624672220,3952282,4510625,MrBaguette,FR,72363604446260,
0,18.8,C++,1670390122510,4554075,5212988,ojoshi,IN,,
0,18.8,C++,1637668875493,3905875,862919,Astrobytes,GB,60413902297900,
0,18.72,C++,1637571435409,3904216,2364617,RomainPicot,FR,121006507095295,
0,18.42,C++,1670019332302,4549278,1140677,Crog,FR,41060062482552,
0,18.41,C++,1712135014672,5355240,256955,cup_of_tea,FR,14752068261565,
0,14.65,C++,1643840388190,3992063,3559501,Teakt,FR,36439504041276,
0,10.27,C++,1697219082495,5076186,5757296,InsertTextHere,US,113035525126332,
0,10.22,C++,1637843205199,3908376,2748284,Ristone,FR,72595265894454,
0,10.17,C++,1693430101935,5040905,5685271,Lindorf,FR,121238022100133,
0,10.16,C++,1725949082480,5571763,6173238,IW_,NZ,126504224458358,
0,10.08,C++,1722504027137,5545906,6029785,FloBytes,DE,127512206212240,
0,9.92,C++,1649712913732,4071476,4103695,Ivanchic,RS,,
0,8.56,C++,1638729336087,3922212,3580996,Bysbobo,FR,50160405044004,
0,7.57,C++,1638122556005,3911975,1500688,GabrielAttal,FR,53683805290902,
0,1.71,C++,1637599526032,3904802,1073483,Onnion,ES,,
