league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=193|time=2021-12-08T00:30:06
0,59.4,Python3,,3915214,3965571,Smekarn,SE,50557362213985,
0,55.17,C#,,3916797,4614378,BloodySall,RU,73686862325379,
0,52.68,Python3,,3918735,4594650,d.coder,UA,73325449648398,
0,49.64,Java,,3921606,3235897,Zylo,PL,25779784253696,
0,49.64,PHP,,3921271,3586725,obrozer,FR,38932740061063,
0,48.57,C,,3921091,2924895,trictrac,FR,23056996012330,
0,48.51,PHP,,3849907,1205008,Trisard,FR,21984469922271,
0,46.64,Java,,3921064,4564296,E_Mantix,AT,73084385420383,
0,46.34,C++,,3920718,3556476,YohanC,FR,36507960164459,
0,43.3,Python3,,3912317,1947436,MoosPow,CA,65258662496721,
0,42.77,Python3,,3921545,311035,leojean890,FR,42398427701382,
0,42.75,Java,,3916161,2090434,natrian,FR,49484369182246,
0,42.56,Java,,3911679,4096208,maxi97,FR,56017166746541,
0,42.31,C#,,3909525,3946840,DirkieDurky,NL,72129183417261,
0,42.29,C++,,3909125,4605516,DevOops,SE,,
0,41.56,Javascript,,3909633,1859368,MuratC,FR,30674307684127,
0,41.56,Python3,,3851884,2290633,field3,JP,75961127697737,
0,40.96,PHP,,3911500,304126,kami,FR,10057081063920,
0,40.62,Javascript,,3925169,4334237,BJD,US,64170920248296,
0,40.26,Java,,3909890,4620967,Abaque,FR,,
0,39.03,Python3,,3906700,3902927,Bulgot,PL,51651703085440,
0,38.91,Javascript,,3909923,3784348,PauliCZ44,CZ,57280608314498,
0,38.31,Python3,,3910631,4595389,Yatagan,FR,73836429585208,
0,38.14,C#,,3908921,1852554,Rip,CA,11203098602002,
0,38.1,Python3,,3861222,3494301,CoreyCV,US,,
0,37.96,Javascript,,3883762,4361982,htmlhigh5,US,,
0,37.7,Python3,,3911875,2042572,i_am_noob_abc,TH,30222147765252,
0,37.69,Python3,,3911865,4622964,Haradwaith,FR,,
0,37.62,Java,,3905732,4492526,Timonwalk,DE,,
0,37.58,Java,,3905454,4253472,GreyRaven,GB,,
0,37.45,Python3,,3912365,4553650,JRBensa,FR,,
0,37.37,Python3,,3913039,2217572,Ben9,FR,15350623426649,
0,37.36,Javascript,,3905389,4559916,Karne,FR,71854946860727,
0,37.18,C#,,3905710,4605393,Emanuele.Fasano,IT,73508624038382,
0,37.15,C++,,3908412,4074267,Alex_V-H,FR,,
0,37.1,TypeScript,,3904698,4591407,phillyv,CA,73369388351379,
0,37.1,C++,,3908253,4607374,B3rty,FR,73579461743672,
0,36.95,C#,,3850523,1186250,Gabbek,PL,3084076624888,
0,36.86,Python3,,3910800,3091781,Chomb,FR,79323548176444,
0,36.62,Python3,,3921320,3657937,elderlybeginner,PL,39723186977905,
0,36.58,Javascript,,3906086,1475736,mlaffargue,FR,29154063230874,
0,36.47,F#,,3852079,973040,papyjo,FR,15696776172839,
0,36.28,C++,,3914890,2923506,darkhorse64,FR,23496414257567,
0,36.11,Java,,3915840,4614906,Rex7.9.3.,FR,,
0,36.01,Kotlin,,3920610,4589105,ED222,FR,98139800709888,
0,36.01,Python3,,3911612,3306551,StoneRiverPrg,JP,63801884710494,
0,35.49,C#,,3908962,3533314,skotz,US,97334021748803,
0,35.26,Go,,3907003,154901,jybateman,KR,65518381245081,
0,35.12,Java,,3911693,4530925,ShuRuPin,RU,71064627076178,
0,35.07,C++,,3913136,4493523,Fynjy1313,RU,69830804987490,
0,35.05,C#,,3906258,1770280,Maxboyer,CA,10200426744259,
0,35.03,Haskell,,3908671,2491616,abt8601,TW,98797144337932,
0,33.96,C++,,3909701,3121191,ZeroBlitz,RO,24617023388488,
0,33.83,C,,3856104,1029602,Potemkine,FR,3592202416352,
0,33.48,TypeScript,,3912576,1015058,Stratubas,GR,2036890254459,
0,33.03,Java,,3906673,4018239,MACKEYTH,US,52013880765632,
0,32.98,Java,,3911056,2793377,MixWit,FR,70709849396333,
0,32.98,Python3,,3908007,3323461,Misrolox420,DE,27671305266201,
0,32.94,C#,,3907703,1944090,spaceorc,GB,12100491476476,
0,32.92,PHP,,3907837,1600949,Kishlin,FR,13054046866171,
0,32.89,Java,,3911706,4140676,Jankoo,PT,,
