league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=81|time=2025-08-08T04:35:21
1,41.87,C++,1750059852250,5891956,154984,_Royale,FR,17869369984436,
1,37.16,C++,1694939011289,5053816,3136787,jacek,PL,75369242083208,
1,34.7,C++,1622942777177,3702947,524638,miklla,RU,8534620461135,
1,32.62,C++,1737368277109,5756235,2923506,darkhorse64,FR,23496414257567,
1,31.73,C++,1699221616067,5097606,3457031,YurkovAS,RU,143223227299056,
1,31.7,C++,1615182920238,3454012,2522090,MSmits,NL,17784428403916,
1,31.69,C++,1696788969868,5071624,2311105,kovi,HU,20774306904131,
1,31.32,C++,1615817475732,3463270,1344487,ggrn,CH,106180221086495,
1,30.53,C++,1622229265127,3692121,1479930,LeRenard,FR,40384564000700,
1,30.36,C++,1699641010962,5102876,2968035,DomiKo,PL,46567648927625,
1,30.16,C++,1632509639530,3840562,1540478,struct,PT,61418101984360,
1,29.92,C++,1626863592257,3760748,3513265,DaNinja,IE,35022107863170,
1,29.72,C++,1618835308617,3509008,1336464,magaiti,RU,4034881109815,
1,29.68,C++,1622317302361,3693391,155774,dwarfie,FR,17785582865119,
1,29.62,C++,1619788244937,3526493,1314316,jolindien,FR,14585204616953,
1,29.28,C++,1688022738773,4989016,4208158,Tiouz,FR,72554823729381,
1,28.96,C++,1707476825204,5309808,4427724,AwesomeHunter,PL,,
1,28.87,C++,1627052202701,3763673,1854246,Counterbalance,NL,26367790351026,
1,28.41,C++,1730417769311,5610714,4275200,Laars,NL,126346921239013,
1,27.05,C++,1717626381659,5398758,3844625,surgutti,PL,116511323256887,
1,26.34,C++,1707242867942,5307573,4424173,Dzordzo,PL,,
1,26.3,C++,1708523799689,5321766,5757171,HamidTor,MA,125417383316159,
1,26.21,C++,1699233913912,5097783,862919,Astrobytes,GB,60413902297900,
1,24.38,C++,1698761958476,5092523,484004,aCat,PL,4210501575817,
1,24.07,C++,1699230853211,5097724,2981630,IDEAlly,SE,116530161533763,
1,23.41,C++,1698008055804,5084429,3744758,Mateuszrze,PL,42347885816610,
1,21.82,C++,1686130724665,4961283,2786666,TetraktysPhi,FR,20818693590142,
1,21.71,C++,1626978072944,3762668,1607522,RoboStac,GB,11333369102997,
1,20.81,C++,1616005062131,3466304,1489865,EricSMSO,FR,10005277870281,
1,18.44,C++,1744366229202,5834361,4203652,fatm4ge,PL,112770801321254,
1,17.46,C++,1720074829984,5522151,3647844,rc95401,US,39486169555819,
1,17.04,C++,1720497054745,5526466,1179950,SangokuSuperSayan,JP,146806340517525,
1,16.87,C++,1616076072880,3467403,1569420,Tuo,FI,,
1,16.21,C++,1697759151613,5081829,3808317,Bax533,PL,44447807496449,
1,16.13,C++,1674158727745,4713635,1630890,Wld,DE,54135389391511,
1,16.08,C++,1653250092318,4296218,1601217,Heide,FR,24684492596453,
1,15.94,C++,1714127280132,5370395,311035,leojean890,FR,42398427701382,
1,15.89,C++,1731745000559,5628815,3569066,derjack,MC,64869146225502,
1,15.83,C++,1747549176636,5865511,1404379,hpa,PL,5550489662717,
1,15.43,C++,1647424798404,4035214,3799445,S3v3vn,MA,44332300029757,
1,15.32,C++,1647798527706,4039588,3148294,moukasso,MA,,
1,15.1,C++,1673974752448,4710521,1952778,blast_beat,US,75539748345771,
1,14.69,C++,1698217147883,5086730,3498674,Sko0owi,PL,55177523597915,
1,13.58,C++,1621960790287,3686806,3804507,PanKuleczkaPL,PL,,
1,12.83,C++,1616435332533,3472110,811622,Scarfield,DK,73294709815061,
1,12.58,C++,1627660330485,3772900,1309948,Runner87,IT,6963904733897,
