league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=28|time=2021-03-20T00:30:04
1,33.41,C++,,3468011,3457031,YurkovAS,RU,33020204289704,
1,32.87,C++,,3461382,2923506,darkhorse64,FR,23496414257567,
1,32.59,C++,,3454012,2522090,MSmits,NL,17784428403916,
1,32.4,C++,,3463270,1344487,UnnamedCodinGamer,CH,106180221086495,
1,31.88,C++,,3469078,2311105,kovi,HU,20774306904131,
1,31.57,C++,,3468855,3136787,jacek,PL,75369242083208,
1,29.71,C,,3469159,2924895,trictrac,FR,23056996012330,
1,28.43,C++,,3468930,1479930,LeRenard,FR,40384564000700,
1,26.72,C++,,3468510,1336464,magaiti,RU,4034881109815,
1,24.34,C++,,3466304,1489865,EricSMSO,FR,10005277870281,
1,20.57,C++,,3469332,862919,Astrobytes,GB,60413902297900,
1,20.39,C++,,3467403,1569420,Tuo,FI,,
0,19.92,Python3,,3466175,311035,leojean890,FR,42398427701382,
0,19.34,C++,,3455051,2906497,daaskare,FR,22173137881499,
0,18.09,Python3,,3459000,2290633,field3,JP,75961127697737,
0,15.34,C,,3461842,1029602,Potemkine,FR,3592202416352,
0,12.09,TypeScript,,3467947,3230794,tutubalin,RU,25714480415254,
0,12.08,Python3,,3456913,4030968,MBucas,FR,53348220268161,
0,11.78,Python3,,3461982,792813,VilBoub,FR,72010225615995,
0,11.72,F#,,3461400,973040,papyjo,FR,15696776172839,
0,11.67,D,,3455023,2043908,AntiSquid,,,
0,11.2,PHP,,3456118,4187844,g74o,LV,58922245560787,
0,11.07,D,,3457792,3569066,derjack,MC,64869146225502,
0,10.88,C++,,3453839,3354337,Westicles,CX,79146641399080,
0,10.85,Python3,,3458776,3903473,Konstant,PL,47882887732604,
0,10.53,PHP,,3458570,1412263,PatrickMcGinnisII,US,75707267075165,
0,10.44,C++,,3455417,3721214,jrke,IN,68983084061211,
0,9.88,Python3,,3454612,3846244,JLukeSkywalker,US,46282060365828,
