league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=11|time=2023-11-01T04:07:34
5,15.31,Lua,1629728908166,3799933,1719856,YOANN,FR,11777604207042,
3,20.58,Lua,1643983728436,3993413,4489122,c0r3dump,FR,77956766480782,
3,13.79,Lua,1583626375411,2697593,3564009,Waffle3z,US,44751789808331,
3,12.88,Lua,1622102149583,3689477,484004,aCat,PL,4210501575817,
3,10.16,Lua,1622122094227,3689927,2889053,anderium,NL,97207001907945,
1,18.57,Lua,1660318638623,4422190,4299131,Kaonashi42,FR,110862684124192,
1,16.26,Lua,1637025782186,3897563,2992583,Nullptr12k,US,23233395388464,
1,6.65,Lua,1615293386779,3455651,1885608,Asterdroid,SE,11479940299399,
0,12.06,Lua,1649864895924,4073473,4842741,Mathlhote30,FR,,
0,12.05,Lua,1645838523399,4014890,4198419,BuilderPro715,US,79334002553317,
0,2.68,Lua,1665928809163,4495139,5134088,FriendOfIA,FR,92154308613809,
