league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=30|time=2024-04-12T04:07:23
6,24.93,TypeScript,1600098595685,3095679,1045485,Jessie,FR,9025608819920,
6,23.62,TypeScript,1600505141189,3101886,2373953,Dridriun,FR,64609504937617,
5,18.22,TypeScript,1689188150315,5002192,3452357,Nikina,ZA,102864243205740,
5,15.08,TypeScript,1614116598237,3439810,4166845,HugeMissedSteak,NL,59373221969418,
5,13.82,TypeScript,1654381352681,4311892,1234947,kuro,BR,6850950439511,
3,14.85,TypeScript,1648401527765,4051182,3428200,Picsou13,CH,80108182077605,
3,14.74,TypeScript,1624655058275,3728194,1537951,Nerchio,PL,64013847666734,
3,14.52,TypeScript,1615479814053,3458377,2868392,marwane.ka,FR,58834580937610,
3,14.12,TypeScript,1646999836130,4030521,4733152,Seafnox,RU,,
3,13.35,TypeScript,1604929826156,3169166,4030696,msfe,SE,52988600819316,
3,13.07,TypeScript,1621956006382,3686651,594635,Solid,IS,52510643792425,
3,12.56,TypeScript,1621990510007,3687493,1861300,Jakkyl,US,12320362856688,
3,12.32,TypeScript,1622147921021,3690785,1567591,aim4it,NL,,
3,12.31,TypeScript,1622101014359,3689408,1832231,delegateStack,PT,10868566216669,
3,8.35,TypeScript,1692821848897,5036345,2545056,Bill876,RU,65816649137891,
3,7.29,TypeScript,1604780122259,3166721,1241458,YoannLazarusChomet,FR,53597862262912,
2,17.54,TypeScript,1696231128178,5066659,5718849,P_A_B_L_O,IL,112007901272400,
2,17.42,TypeScript,1651985788277,4274427,3820320,TranHanMinh,VN,83146163227680,
2,16.82,TypeScript,1704470382848,5243198,5897791,B3NY4,DE,117500226250099,
2,16.64,TypeScript,1678067720316,4758217,1659736,CharlesIsAlreadyTaken,CA,,
2,8.75,TypeScript,1683567998197,4818097,1671856,Raagnarr,FR,,
2,8.3,TypeScript,1619587312167,3522157,3422617,bbrvi2008,RU,32376369546171,
1,16.69,TypeScript,1673024878149,4694475,2230530,RenanMOliveira1,BR,,
1,16.43,TypeScript,1705163590383,5281876,5894333,Start in IT,DE,117391460691056,
1,15.38,TypeScript,1638297297320,3914965,4627061,remarqu3,PL,74577607715867,
1,14.01,TypeScript,1682007451331,4802726,5426710,AntFrasier,FR,102074884886989,
1,8.41,TypeScript,1671468140146,4601999,4549122,vlav98,FR,95347008277178,
1,6.69,TypeScript,1626370848410,3754107,2933871,jeanLaBatte,FR,24599803263697,
0,12.1,TypeScript,1669331200540,4540370,4605168,DNRAWW,RU,,
0,2.66,TypeScript,1600240043842,3097928,3977273,123456789789456123,VA,50258987518010,
