league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=10|time=2025-09-01T11:09:03
0,33.38,Java,1709743388116,5334135,1537951,Nerchio,PL,64013847666734,
0,26.71,Java,1678049870184,4758068,2719021,Pavel_S,RU,,
0,17.52,Java,1732294669703,5633049,6328491,Tom2610,IT,,
0,15.92,Java,1664801609164,4478105,3482949,Masshood,DE,34270921895973,
0,14.98,Java,1653315196378,4297047,484004,aCat,PL,4210501575817,
0,14.36,Java,1743517360842,5826835,4423017,Ben-42,FR,143186204203072,
0,11.37,Java,1658133406737,4397294,4282042,AI4Games,PL,62256727195192,
0,10.56,Java,1676225641091,4737867,5163410,LOKI_78,LU,93367947956362,
0,10.13,Java,1753703019286,5990944,2455616,JeanClaude44,FR,17042314996810,
0,1.65,Java,1709488967272,5331563,5950689,swxtikzz,FR,120294408338875,
