league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=32|time=2022-01-05T00:30:05
0,31.26,C++,,3943882,2968035,DomiKo,PL,46567648927625,
0,28.89,C++,,3943055,3744758,Mateuszrze,PL,42347885816610,
0,28.72,C#,,3942070,1758330,Kamirus,PL,71615902193837,
0,28.72,Python3,,3949443,3902927,Bulgot,PL,51651703085440,
0,28.37,C++,,3950636,1479930,LeRenard,FR,40384564000700,
0,27.39,C++,,3943086,3816482,marcee927,PL,83234543674515,
0,27.26,C++,,3940971,3732452,ItachiEU,PL,42254989506302,
0,26.98,Python3,,3951756,4571984,Golova1111,PL,,
0,26.37,C++,,3943767,2969097,kempusss,PL,,
0,25.98,C++,,3955398,4584723,babaaurhum,FR,,
0,25.88,C,,3960087,2924895,trictrac,FR,23056996012330,
0,24.89,C++,,3943231,4572223,oskar1,PL,,
0,23.47,C++,,3943715,3741421,WojtekP,PL,,
0,23.01,C++,,3942742,2184856,MichalOp,PL,43118806784965,
0,22.89,Python3,,3945838,2290633,field3,JP,75961127697737,
0,22.17,C++,,3949631,2976356,magmasa,PL,42306142674682,
0,22.11,C++,,3939120,4560625,voytekf,PL,,
0,21.42,Python3,,3939427,3903473,Konstant,PL,47882887732604,
0,21.4,C++,,3942010,4555810,JakubM30,PL,,
0,20.65,Python3,,3942676,4573226,anka_nose,PL,78676122468460,
0,20.32,C++,,3941122,3745995,MicGor,PL,42589363620659,
0,20.08,TypeScript,,3942474,4560715,Altronin,PL,71926926737386,
0,19.77,Python3,,3938707,4326741,Ventus550,PL,63709986277347,
0,18.86,Python3,,3943048,4547463,nachokelkar,PL,71448947563496,
0,18.66,Python3,,3939847,1186250,Gabbek,PL,3084076624888,
0,18.59,C++,,3939725,3741491,inverb,PL,,
0,17.52,C++,,3957164,155774,dwarfie,FR,17785582865119,
0,17.23,TypeScript,,3939001,1883670,radekmie,PL,86797522736009,
0,13.77,C#,,3942915,4552619,Inquis,PL,,
0,12.85,PHP,,3940285,3983017,TLbuis,NL,50598324428631,
0,11.46,Python3,,3953165,3141948,philRG,FR,43152009653961,
0,8.51,PHP,,3955792,4626700,JohnyDarecek,CZ,74185100725077,
