league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=10|time=2024-01-29T04:07:27
5,-4.35,Bash,1579257467541,2652779,2055005,_Azke,KR,,
3,18.71,Bash,1527679014144,1870027,1487168,FatIvan,GB,12794968553694,
3,12.91,Bash,1589978388233,2984026,3097830,craebby,DE,44699880449496,
3,8.3,Bash,1621025254394,3642359,4249861,Bibu54,FR,65364884790334,
1,10.14,Bash,1676992394375,4746473,5342506,apple_slade,US,,
0,8.48,Bash,1602931200835,3136746,4017412,Lozaza19375,TH,,
0,7.88,Bash,1629507911785,3797642,4452094,masongtxr,VN,68351848802888,
0,7.4,Bash,1652807988374,4289322,4903811,Buzzwole,US,,
0,7.22,Bash,1578377293718,2643172,3632185,105027,TG,39046726991663,
0,7.04,Bash,1601039919372,3108910,3989528,blurryass,US,50731563324570,
