league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=15|time=2025-12-06T04:11:17
5,22.85,Perl,1618505112125,3502811,4117944,BenjaminBrumaire,FR,57138088503605,
5,20.49,Perl,1699144709168,5096820,552776,player_one,US,52487021619351,
4,21.27,Perl,1519165149242,1665608,1086214,bor,UA,2314950405832,
4,21.22,Perl,1518630971920,1658964,154372,Plopx,FR,7959085736890,
4,20.41,Perl,1519329474771,1667804,1484839,sparky8342,GB,41934483411733,
3,18.92,Perl,1518026098314,1651651,1608197,Luun,US,10152388325189,
3,17.5,Perl,1585913751135,2747230,1886665,Ficek,PL,22252265670407,
3,13.78,Perl,1539926614207,2101478,1259403,striker,ES,22473650039982,
2,17.63,Perl,1614901600437,3450075,4216789,Saur2000,SE,59987602214161,
2,15.28,Perl,1542044733234,2126562,2840459,boerni73,CH,95776386321917,
2,14.94,Perl,1611349532292,3399120,3318715,TheSwine,US,27347969448034,
1,14.34,Perl,1734914242261,5675531,6027823,McDram,NO,121424429450830,
1,14.32,Perl,1606190732115,3316507,2325449,otpv,CA,36646766447960,
1,14.28,Perl,1538497559193,2085187,878086,dchoulette,FR,96263866353056,
0,12.95,Perl,1611675395079,3404368,4097560,Gorilla-Dragon,US,55519780987517,
