league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=81|time=2025-04-18T04:35:25
5,23.03,Scala,1638708990723,3921921,1676711,Eeeval,FR,12979369709156,
5,22.1,Scala,1578430853857,2643842,331880,Monstruo,MX,16575963540770,
4,22.41,Scala,1584222555478,2703438,1944726,bourgeof,FR,12115914449796,
4,22.07,Scala,1681118834853,4793245,1541159,wilsonr990,CO,5976592071385,
4,21.94,Scala,1579685675723,2657794,1733593,Wei-1,TW,12250588953001,
4,18.92,Scala,1581714202474,2679415,1740037,ereiam,FR,12669494111004,
4,4.21,Scala,1519207454985,1666068,2155687,NilsTheWizzard,DE,15809623609677,
4,4.18,Scala,1538101834505,2081651,1822184,Volchik,PL,10762147934695,
3,21.34,Scala,1651903709793,4272578,2482615,Zenobia,FR,17376295118952,
3,20.82,Scala,1589818338911,2975558,3748996,ahmetcanozcan,TR,,
3,20.73,Scala,1641213885879,3958606,3839774,gurvan_lullien,FR,50166403046090,
3,18.59,Scala,1590171239533,2987890,3733630,MuAbbas,TR,44851044429166,
3,17.86,Scala,1676202604107,4737595,154935,yamo,FR,13357218751473,
3,17.66,Scala,1589929972138,2983144,3785592,Ejorange,TR,43378667940016,
3,17.31,Scala,1527639206706,1869740,1781852,Fanquilen,PL,16616636848155,
3,16.93,Scala,1621537222118,3678822,3922731,Player-999,LU,131295404876816,
3,2.32,Scala,1523538660465,1770710,2531823,EPP5_[BotDox],DE,,
3,2.32,Scala,1521116066580,1731164,2158902,Snowbart,BE,14173545643497,
3,2.3,Scala,1548635464229,2233536,2959342,spemmons,US,22807504117898,
3,2.28,Scala,1523592462639,1771346,2531890,EPP4_[Lame_Duck],DE,18115979556434,
3,2.27,Scala,1520009976638,1677121,1321635,AlexBarna,HU,,
3,2.26,Scala,1560703071508,2423560,152907,FrMe,FR,9797198581385,
3,2.25,Scala,1523704769491,1772985,2512809,skolberg,DE,17714033198316,
2,28.31,Scala,1620056447754,3531922,2089692,raxkin,ES,63304428623584,
2,20.49,Scala,1590852249416,2997887,3794010,Mr.Aliyeff,US,,
2,17.88,Scala,1590911370491,2998664,3842056,JSON_stathment,TR,45400825502413,
