league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=212|time=2024-10-09T04:16:48
5,23.54,Javascript,1480958644056,872230,1398702,Hota,FR,4341467322789,
5,21.86,Javascript,1480219537743,815786,1408329,Sacriyana,FR,4289607501439,
5,21.46,Javascript,1470261616678,614810,416762,Khao,CA,2035557596161,
5,19.66,Javascript,1638286004514,3914693,1390607,Ivan_Derzhylo,UA,67601821029462,
5,18.8,Javascript,1715807276030,5380212,5502186,Fony88,FR,106900326514541,
5,18.28,Javascript,1706237690429,5297978,327986,Koutaku,FR,,
5,17.74,Javascript,1470283206429,615050,1093968,milosMATRIXrepic,RS,117470302748056,
5,14.95,Javascript,1520975204462,1729556,2505809,Ratcreve,DK,87754968799186,
4,24.9,Javascript,1638225717273,3913823,1627472,Stacked,FR,57453783232087,
4,24.03,Javascript,1622022091405,3687781,2415276,siwy2411,PL,,
4,23.36,Javascript,1469645594314,604867,513549,y0p,FR,,
4,23.24,Javascript,1722476162649,5545722,5879111,Jerry_ankhoi,VN,127347420734159,
4,23.0,Javascript,1469645526505,604781,1469819,Allsecond,RU,4833247070096,
4,22.99,Javascript,1470290436547,615089,1477266,pcruiher08,MX,4941162324941,
4,22.76,Javascript,1481733188331,886405,1459527,LordOfRocken,US,6891088879268,
4,22.71,Javascript,1490622667380,1112100,1229284,Prajyoth,IN,5626443921561,
4,22.71,Javascript,1477173718015,770093,1634195,k.ab,ID,13042180236760,
4,22.68,Javascript,1475490032931,746381,1633064,D3f4ult,VN,7475297086857,
4,22.66,Javascript,1502212770576,1419158,2073179,Biwere,FR,13718696097951,
4,22.66,Javascript,1480436302027,833704,1721506,jmutz,DE,9348231477619,
4,22.57,Javascript,1479217582845,796293,1652988,wardialer,IT,7801345180157,
4,22.5,Javascript,1486225389020,949893,1673971,Lanken,UA,8202213472293,
4,22.49,Javascript,1469645608023,604882,1492381,Apocalipszis,HU,5094042682842,
4,22.43,Javascript,1722476129498,5545720,5980133,Tonyankhanh,VN,127089828362032,
4,22.4,Javascript,1490923631075,1116924,162982,Dami-e,MA,1957175104038,
4,22.26,Javascript,1501446988904,1412020,1481425,H3r3zy,FR,38745824373246,
4,22.22,Javascript,1477238522785,770765,1170641,ioncodes,CH,16958340250090,
4,22.01,Javascript,1469645637602,604912,984614,SamSi,IN,9557317848695,
4,21.95,Javascript,1477685604036,777756,770792,Cercyn,FR,25514828781931,
4,20.97,Javascript,1470111734628,612193,762642,Wonyoung,KR,4963742317694,
4,20.93,Javascript,1474820525854,702045,1592706,HuynhThienThach,VN,7475382629555,
4,20.36,Javascript,1470145533960,612714,1180953,Dammmien,FR,69413085141595,
4,20.34,Javascript,1469645573704,604842,1294575,SackPhantom,FR,117520569843338,
4,20.31,Javascript,1473449960062,657975,1534472,Miecio,PL,5848122912974,
4,19.91,Javascript,1469645566598,604834,1233891,b[A]s,VN,,
4,19.83,Javascript,1470250334018,614457,1479279,Vladirien,FR,4942362011802,
4,19.78,Javascript,1561635552287,2431749,2990918,Dingodino,FR,23216166624189,
4,19.77,Javascript,1473353179508,655935,1087021,Gluck,FR,5866836937567,
4,19.5,Javascript,1548418691015,2229633,1074897,Vidmar,BR,4963798710763,
4,19.19,Javascript,1692181437578,5031118,5645449,Jiahome,TW,109871883458897,
4,19.05,Javascript,1539861740480,2100372,2891206,conrisc,PL,,
4,19.05,Javascript,1649095005627,4062892,4823237,TerriBlue,LT,,
4,18.99,Javascript,1562427062437,2437365,3159899,Belkovna,UA,24963865182045,
4,18.94,Javascript,1623662092056,3712247,3489223,KarloHubai,RS,88425880005143,
4,18.9,Javascript,1470872517566,623114,1504684,entrpy,DE,5325537976344,
4,18.77,Javascript,1474214120017,668249,688739,TiboW,FR,7450361053973,
4,18.57,Javascript,1470390741014,617007,186225,bob1,US,8960055584772,
4,18.27,Javascript,1680379476048,4785762,4437155,AxelF66,DE,82713400325046,
4,18.27,Javascript,1592892474029,3020665,3871667,ClosetNerd,US,,
4,18.18,Javascript,1478601446612,789184,1636415,jamOne-,PL,7783791181338,
4,17.45,Javascript,1471184887518,626994,877407,maximov,RU,4153965160813,
4,17.31,Javascript,1477940553886,781191,630050,Chulepa,DE,3648993972565,
4,16.99,Javascript,1482173095983,894684,1181768,dio_O,BR,9247621527483,
4,16.51,Javascript,1477929751025,781008,1386924,Ylec,FR,4182391658006,
4,16.14,Javascript,1478005358149,781852,1440262,DeafGecko,GB,4606373769108,
4,15.88,Javascript,1570154172429,2509039,314562,Mechar,FI,3832913620992,
4,15.87,Javascript,1477886552581,780356,1016299,ricardonunesdev,PT,3672394129984,
4,15.84,Javascript,1592957797258,3021424,1738763,DavidGarrett,US,,
4,15.8,Javascript,1476925305453,766928,157377,McKelian,FR,116973028542274,
4,15.79,Javascript,1490491601079,1110107,1666180,Vrumfon,CA,39208066612729,
4,15.47,Javascript,1479130498914,795320,1653052,fbosco,IT,7821315128596,
4,15.41,Javascript,1580042602885,2662276,1485690,Kikoo,FR,4993649967380,
4,15.35,Javascript,1603715180044,3149579,3957413,Rk_,FR,49589447652283,
4,15.22,Javascript,1479140241856,795467,1103662,Menighin,BR,20611160531480,
4,15.17,Javascript,1470423142014,617639,833622,greggsoft,RU,5104391246746,
4,15.01,Javascript,1477886550017,780352,1536160,MidnightLightning,US,5855970516627,
4,13.92,Javascript,1580042603646,2662277,872701,Mykytak,UA,,
4,13.88,Javascript,1469645517732,604770,1298794,Husenap,SE,81287588995481,
4,13.84,Javascript,1596456846945,3051202,184496,G-Rom,FR,1725342109561,
4,13.81,Javascript,1582235124345,2683704,1193408,DoubleZeroSteph,FR,3015400557516,
4,13.73,Javascript,1580042601734,2662274,1498366,IggyNites,ZA,5406721080971,
4,13.21,Javascript,1615576840276,3459937,1544900,cruzken,CA,7058230788776,
4,13.2,Javascript,1582213512854,2683362,1595400,B1U3,CA,6688361200760,
4,13.13,Javascript,1582062302691,2681959,1564309,gravitypx,US,63098363593200,
4,12.83,Javascript,1575576739169,2619023,1405926,mtreinik,FI,,
4,12.57,Javascript,1469772098417,607241,1420817,TheMagicShop,FR,4468522326390,
4,12.44,Javascript,1470174733678,613224,1185349,Barni,HU,2912286328976,
4,11.46,Javascript,1471391471955,629353,1428921,jBigman,FR,126762707413351,
4,10.62,Javascript,1470087716314,611972,1372349,NinjaDoggy,US,5338452207730,
4,5.81,Javascript,1477474941804,773697,937813,moon_moon,FR,2140505744599,
4,3.71,Javascript,1469656335232,605186,1499685,Safreen,RO,,
2,20.65,Javascript,1478289338473,785951,1633642,Pierrol,CA,,
2,20.47,Javascript,1545376524342,2194108,1931766,vicXiett,MY,19447106780551,
2,20.43,Javascript,1469071034185,594870,1495642,AtomCrafty,DE,5134929486180,
2,20.37,Javascript,1515955222348,1626173,2415783,OskarFirlej,PL,,
2,20.22,Javascript,1476967753033,767385,1633767,kajyr,IT,7493198989305,
2,19.69,Javascript,1475947123196,752672,1026791,Gruwel,NL,7144185210937,
2,19.52,Javascript,1474722304074,692517,1600357,lassepe,DE,,
2,19.33,Javascript,1528209473437,1875656,1353795,TheCrucial,PL,18581166493021,
2,19.31,Javascript,1526324290183,1852371,1537977,LeszekCzarny,PL,5894720247166,
2,19.27,Javascript,1474625015141,689589,1484695,Schnittlauch,DE,6573972897968,
2,18.76,Javascript,1474483806083,683935,1593289,onsjo,SE,,
2,18.54,Javascript,1633899478476,3857821,1972109,Rupiman,HU,68387685248473,
2,18.54,Javascript,1488879468371,1077120,1835802,LeYann,FR,,
2,18.44,Javascript,1470364477397,616633,1499605,GGS,FR,7677003122812,
2,18.39,Javascript,1605374041088,3206044,1673293,supafly,UA,8200860417298,
2,18.3,Javascript,1468773112266,590029,1115198,Alextopher,US,10724493182879,
