league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=34|time=2024-06-22T04:08:09
6,11.41,Kotlin,1584426343992,2704971,1855741,MrKIP,BY,12262606641618,
5,16.61,Kotlin,1682474906065,4807545,3476425,_UncaughtException_,DE,74338441942064,
4,17.79,Kotlin,1696944102652,5073455,1317208,Xl,FR,10726224456693,
4,16.62,Kotlin,1618774068312,3508188,1460924,IHave2FriendsNow,IT,,
4,14.04,Kotlin,1619160514544,3514137,4277922,Amodeo,IT,,
4,13.89,Kotlin,1542067384363,2126916,2488298,wfournier,CA,25231683442537,
4,13.38,Kotlin,1641127752402,3957719,4666777,SumatraSima,DE,,
4,11.22,Kotlin,1590317343902,2990032,3828475,Lifthanger,DE,,
4,10.76,Kotlin,1579702440975,2658155,3411072,summer000,RU,42538447065213,
4,3.94,Kotlin,1506865919560,1470391,1934084,deviantstudio,UA,14554988316961,
4,3.46,Kotlin,1572126681185,2583027,3544205,damian_l,PL,36431604731694,
3,11.57,Kotlin,1615753842856,3462378,1701631,lrouquette,FR,8938051814919,
3,6.74,Kotlin,1616243426244,3469717,4090664,sikr_,CZ,55459762759102,
3,3.96,Kotlin,1610496959662,3388035,3996809,VizGhar,SK,82217880354500,
2,12.16,Kotlin,1532441165919,1964336,2720216,ilgiocatore,RU,55263688781564,
2,10.97,Kotlin,1619006200240,3511742,3971023,Tiamin,RU,62122667613234,
2,8.11,Kotlin,1512307765098,1580406,1177604,CacheRulesEverythingAroundMe,US,,
2,7.81,Kotlin,1619397202223,3517771,4268887,XeroOl,US,61677668562388,
2,7.41,Kotlin,1583553295308,2696806,2489304,Yawp,FR,,
2,1.69,Kotlin,1518628746116,1658917,2462764,KH-Unaccepted_Terror,HU,,
1,19.98,Kotlin,1677693766350,4754641,4797591,GoodGame001,KR,80377988068617,
1,14.61,Kotlin,1507917880083,1480620,2227556,elKei,DE,32402862593272,
1,14.48,Kotlin,1589901030369,2982129,3073422,Jopsi,DE,,
1,14.31,Kotlin,1596542230266,3052547,3571577,Filtcher,UA,,
1,14.06,Kotlin,1576230891842,2625138,3422744,Feniksio,PL,31859486903943,
1,13.98,Kotlin,1553086142610,2305990,2246952,NikolasSidla,SK,22557140010332,
1,13.84,Kotlin,1583619482392,2697514,2521394,FrankR,DE,121544540313728,
1,13.76,Kotlin,1607547504151,3347687,1624708,lifran,US,54053746330759,
1,13.61,Kotlin,1619773082248,3525968,4116304,PerformanceFlow,DE,,
1,10.91,Kotlin,1583137963750,2692405,3420435,CTPAHHuKz,RU,,
1,8.28,Kotlin,1634229992848,3862057,2713608,LostSymphony,FR,19945860182726,
1,4.28,Kotlin,1619421966227,3518251,3426116,8ylionking,CN,62683686282881,
1,1.98,Kotlin,1549641911040,2242419,2438360,divinae,PL,,
0,9.88,Kotlin,1607529428040,3347271,3197422,exedary,RU,25413933614079,
