league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=33|time=2023-12-14T04:07:41
6,23.87,Ruby,1518490428028,1657427,1384701,lllukom,UA,12953437435073,
4,21.02,Ruby,1496305523047,1309165,1528274,BlanCap,FR,10199824605471,
4,19.89,Ruby,1496305580828,1309348,1458246,Httpsx,RU,10879995082866,
4,17.13,Ruby,1496305564487,1309299,1515891,ndc,RU,57247748477088,
4,17.11,Ruby,1496348718445,1310209,837350,BorisZ,RU,4405751597540,
4,16.95,Ruby,1504860378212,1446353,1100752,ValNykol,GB,10307803807981,
4,15.38,Ruby,1496305550766,1309255,650661,Syro,US,3355514095677,
4,14.75,Ruby,1496503546045,1312498,440476,yowa,JP,7092718935506,
4,14.15,Ruby,1496319112109,1309718,1548299,Curdix,CH,6636686203764,
4,13.91,Ruby,1496377524044,1310575,1681820,orendon,CO,14346992114905,
4,13.79,Ruby,1571227897847,2572460,2007531,Strategy,DE,29267328424631,
4,13.73,Ruby,1496953616068,1318404,1140177,yckmciaiy,UA,11569519603976,
4,12.96,Ruby,1505771307049,1455638,1966319,0x6E0FF,FR,14292040030510,
4,12.17,Ruby,1587782238577,2833316,2416641,Zenoscave,US,16732569385856,
4,12.16,Ruby,1625603258804,3744324,2021126,FPSCUBE,FR,12916810121106,
3,16.43,Ruby,1528590170189,1881086,2572485,DGynn,US,18568972569137,
3,16.21,Ruby,1573572227248,2597686,1299811,bin0m,UA,,
3,15.89,Ruby,1532136702173,1960756,1459850,irevoire,FR,4713273700522,
3,11.79,Ruby,1579207064270,2652337,1351763,gatto,IT,4308899276162,
3,9.76,Ruby,1593200410709,3023960,1554971,wagster,US,17819382544438,
2,11.0,Ruby,1495918311941,1304061,423611,Ciaran,GB,,
2,9.43,Ruby,1497116410166,1320378,225811,Inferno285,US,2912890425185,
2,8.68,Ruby,1502078878984,1417979,1988531,MarcL,TH,13369149973558,
1,18.84,Ruby,1499486083075,1388805,1370504,Stuven,US,,
1,18.13,Ruby,1625408854943,3741293,4387047,Arttu,FI,,
1,18.02,Ruby,1499166456091,1384686,1840946,zazaboon,JP,13380112545351,
1,17.65,Ruby,1701638492284,5127345,5608572,Jccod,GB,,
1,14.61,Ruby,1507816606696,1479376,2227753,CapitanDan,US,,
1,14.6,Ruby,1507812222079,1479306,1065666,chuck,BE,7046635553135,
1,14.59,Ruby,1497290734072,1322204,1054648,ironcamel,US,,
1,10.58,Ruby,1619961122998,3530054,4166555,Natanalel,SE,65894864102793,
1,8.16,Ruby,1618230048239,3498195,3761532,Stanpede,NL,42723342124560,
1,8.05,Ruby,1516910553117,1636568,2407700,adoxography,CA,52429928219629,
