league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=13|time=2024-02-28T04:08:09
4,13.42,Swift,1615721439374,3461845,3769745,tommro24,PL,43367004608713,
4,3.45,Swift,1554118573754,2318200,476340,iRinji,RU,34909489875747,
3,15.27,Swift,1701381140306,5123712,5803597,Jcaero74,FR,115286565834539,
3,-0.35,Swift,1511549257233,1558552,2319475,atwhitcomb,US,,
3,-0.53,Swift,1517785673643,1648926,1708786,DominoPrusa,SK,,
2,1.36,Swift,1498489551064,1349901,2057412,GaelHdG,BE,,
1,19.04,Swift,1635253022936,3875262,4576139,snkirov,DE,73028500069994,
1,17.52,Swift,1620242895192,3536767,4041015,Mr_Johnson,US,,
1,13.68,Swift,1698934646247,5094596,5709355,Ben-Yaakov 0.5,US,111702347254646,
1,2.39,Swift,1513082714129,1594474,806215,JamesPaulKey,GB,16075936973968,
1,2.02,Swift,1520611460999,1712753,2057052,--Murphy--,FR,13327372498755,
1,1.99,Swift,1517015002123,1637587,2425803,Lancelotbronner,CA,53006868760793,
1,1.85,Swift,1510618178139,1510618,1658562,PlebDestroyer,RU,7900282260644,
