league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=2836|time=2019-12-15T00:30:08
6,37.29,C++,,1578179,1400179,reCurse,CA,58850847098890,
6,36.27,C++,,2547516,1629259,Marchete,ES,61997162908277,
6,34.61,C++,,1324204,735910,Agade,CH,1997542876524,
6,34.55,C++,,2428202,1818159,JRFerguson,UY,10995631412393,
6,33.63,C++,,1324213,832306,pb4,FR,10135289026547,
6,33.57,C++,,1470552,1983143,RadekP,PL,,
6,33.12,C++,,2424607,154984,_Royale,FR,17869369984436,
6,30.14,C,,1622518,1082988,Saelyos,FR,6965824947540,
6,30.01,C++,,2080232,1314316,jolindien,FR,14585204616953,
6,29.9,C++,,1384551,524638,miklla,RU,8534620461135,
6,29.43,C++,,1503310,351062,Neumann,FR,17173563008577,
6,29.39,C++,,2587027,1944726,bourgeof,FR,12115914449796,
6,29.25,C++,,2420958,1049935,Azkellas,FR,20993257292354,
6,28.94,C++,,2359542,1870937,westicles,,,
6,28.78,C,,1330546,886483,R4N4R4M4,FR,7943435133357,
6,28.76,Python,,1384868,1824376,Kodle,SG,10779658189856,
6,28.58,C++,,1596282,1479930,LeRenard,FR,40384564000700,
6,28.18,C++,,1331377,1781409,schubc,DE,12267390898127,
6,28.07,C++,,2341627,1335230,jft63,FR,24907820247515,
6,27.95,Go,,1324456,572695,ewgraf,,,
6,27.89,Java,,1324205,335954,nmahoude,FR,19628800665378,
6,27.84,C++,,1324208,1488163,Avestor,RU,12110907711425,
6,27.56,C,,1324209,1341520,egaetan,FR,21055353954161,
6,27.56,C++,,1418672,1489865,EricSMSO,FR,10005277870281,
6,27.01,C++,,1325724,880353,zasmu,FR,22237226756102,
6,26.68,Java,,2485488,893541,wala,FR,97577641170180,
6,26.63,Java,,1384286,1367461,MickGlover,US,82788045944023,
6,26.42,Java,,1324202,1889444,DragoonXen,BY,11553798774349,
6,26.27,C#,,1330018,1500515,eulerscheZahl,DE,43135502422075,
6,25.88,C#,,1384283,841085,Risen,JP,1840452387524,
6,25.84,C,,2337303,2924895,trictrac,FR,23056996012330,
6,25.67,C++,,2145342,1756952,Petras,LT,14577886478284,
6,25.61,C++,,2337302,153784,Whitec,FR,13328714685028,
6,25.58,C++,,1324201,1034635,SlyB,SE,2110171576995,
6,25.38,Java,,2214516,2043908,AntiSquid,,,
6,25.38,C#,,2358826,1201796,P.Greze,FR,3522907180370,
6,25.35,Java,,1330464,1812704,Trancheuse,FR,10989653783198,
6,25.33,C++,,2326740,1827247,mmmd,DE,12652506327176,
6,25.27,C,,1589980,736075,Xyze,DE,11976730950861,
6,25.27,Groovy,,1418596,1655832,chessmanxblast,NL,,
6,25.23,Java,,1764096,1855741,MrKIP,BY,12262606641618,
6,25.22,Python3,,1477970,1193679,Icebox,DE,28987786895120,
6,25.18,Java,,1325725,854952,dolmen1234,FR,17144268818519,
6,25.15,Java,,2076808,2006324,SihardeOussama,MA,75224840468195,
6,25.15,Java,,2136213,1194069,Redstrike,DE,57293561455683,
6,25.1,C++,,1327432,1876721,poInT,RO,12765268782195,
6,24.84,C#,,1494637,1944090,spaceorc,GB,12100491476476,
6,24.8,C++,,1384550,933352,femto,JP,11218909429074,
6,24.77,C#,,1327570,1931039,MooMooN,FR,11972180817471,
6,24.75,Go,,1327601,1607522,RoboStac,GB,11333369102997,
6,24.43,Python3,,1331493,1673971,Lanken,UA,8202213472293,
6,24.42,Ruby,,1657427,1384701,lllukom,UA,12953437435073,
6,24.23,C#,,1397680,1857831,pbunny,FR,11190263044749,
6,23.91,Java,,2205296,1164242,Andry_,IE,16155540659808,
6,23.8,Java,,2584826,1149054,Jeremee,FR,4425889012738,
6,23.67,C#,,2418376,1378958,Illedan,NO,16222515698472,
6,23.12,Rust,,1330463,1128769,Dwakus,US,15192965381212,
6,22.97,C#,,2463029,1314796,JBence,HU,12256157738927,
6,22.96,C#,,2463027,1830625,-Rutger-,NL,,
6,22.88,Java,,2485285,2529154,,,,
6,22.53,Java,,1324215,226528,Manwe,FR,4426392032279,
6,21.61,C++,,2418258,1235673,Lirkin,FR,13380771600138,
6,21.45,Rust,,1486783,2179805,_La_Pulga,AR,22195529802738,
6,21.02,C++,,2467959,3247968,Dreamkins,RU,32436907618290,
6,18.68,C++,,1325753,1606588,inoryy,GB,40823886320345,
6,12.5,C,,1325723,1675487,PED,FR,53635449336139,
6,12.49,C++,,1324210,805067,Magus,FR,24623991925371,
6,12.44,C++,,1324207,1106450,RiSuS,BY,96581849782494,
6,12.43,C++,,1347884,1671658,Kirbiby,FR,28998644710449,
6,12.42,C++,,1384285,1061242,Csipcsirip,HU,95146449193670,
6,12.38,C++,,1330462,909153,Coac,FR,9571016551148,
