league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=13|time=2025-09-11T04:10:41
1,22.22,TypeScript,1710276580758,5338680,5127260,Timeo01,FR,119372661617327,
1,19.27,TypeScript,1636824020524,3895081,1743344,ush189,DE,9680328817159,
1,19.01,TypeScript,1648435861229,4052720,706239,oetker,DE,,
1,16.74,TypeScript,1745776815406,5847704,4179852,Galitan,FR,58658964676380,
1,13.88,TypeScript,1754581815195,6004799,1668484,Okazari,FR,8063555361925,
1,12.48,TypeScript,1622598918308,3697507,3974512,Ogaren,FR,51597468989663,
1,12.18,TypeScript,1672280956535,4648182,3561478,TJSteel,GB,43956444263632,
1,7.14,TypeScript,1626339276776,3753553,1475413,AlucardDH,FR,4898493641535,
0,15.5,TypeScript,1637332688149,3901372,4614510,MadDaelim,PL,,
0,15.48,TypeScript,1685756493405,4926858,3847872,[CG]Gaspar,FR,127666725990808,
0,15.02,TypeScript,1654551416304,4313913,1467771,Telokis,YT,52513387742977,
0,0.83,TypeScript,1737470734622,5757516,6457923,sbd_makl,HR,137502267724292,
0,-5.36,TypeScript,1628990257893,3791839,4472047,picknickname,EE,,
