league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=23|time=2026-01-10T04:24:17
3,23.42,Scala,1584699594157,2707804,3504329,Weiss42,FR,34968285454611,
3,4.49,Scala,1584699478088,2707545,2022754,paul_ik,LT,15661429218472,
3,4.46,Scala,1584700095950,2708880,933299,ThibautRobert,FR,,
3,3.94,Scala,1584700141886,2708979,903416,matlesudiste,FR,,
3,3.48,Scala,1584699934583,2708545,2174977,ScalaMonkey,FR,,
3,3.24,Scala,1584700123652,2708942,3020792,torquemada,PL,23584892164398,
2,22.44,Scala,1584721262143,2709515,1740037,ereiam,FR,12669494111004,
2,16.84,Scala,1584699848186,2708342,2454307,Nugsie,GB,36460369808118,
2,15.22,Scala,1584699513730,2707622,200708,kobr4,FR,,
2,13.84,Scala,1731487266767,5620458,4793575,MaKeDir,LU,,
2,13.26,Scala,1613087998234,3427028,1669950,red1ynx,LT,9610598524415,
2,2.31,Scala,1622730242315,3699424,4364520,1rre,GB,65450462835854,
2,1.33,Scala,1584699559430,2707717,1754295,SF,US,9886764510417,
1,27.44,Scala,1584699707398,2708037,1415878,roman-roman,DE,,
1,22.68,Scala,1641401718815,3961036,2289370,mkoe,DE,75980467088717,
1,9.99,Scala,1590958097466,2999432,3819760,dumanbanu,TR,,
1,8.66,Scala,1637869154515,3908825,1470927,MisterQuidam,FR,89056262115378,
1,8.33,Scala,1606404328007,3321827,3778958,tgbglr,TR,,
1,8.02,Scala,1606404264013,3321820,3825020,ErkamDogan,TR,44932465581241,
1,5.18,Scala,1590745753768,2996165,3733662,ilkinmammadzada,TR,45291928766427,
1,0.67,Scala,1584699721869,2708072,1168329,Totetmatt,DE,32518506745101,
1,0.57,Scala,1584699442570,2707461,1717345,kotobotov,RU,69054102294709,
0,3.71,Scala,1584699578561,2707770,3512340,KamiGeist,FR,34987829793496,
