league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=84|time=2025-10-12T04:10:26
3,24.59,C++,1710296737150,5338856,1629759,MSz,PL,95180546328327,
3,23.42,C++,1671633368008,4612070,3819989,KawattaTaido,JP,54685703661094,
3,22.28,C++,1705235676041,5283116,3136787,jacek,PL,75369242083208,
3,15.36,C++,1674093682203,4712643,3971358,OldJohn,FR,63565949763225,
2,24.76,C++,1671631422462,4611895,4399833,Peterpanda,DE,67327346461731,
2,24.43,C++,1747410987707,5864385,2968035,DomiKo,PL,46567648927625,
1,27.39,C++,1664205362617,4469862,2311105,kovi,HU,20774306904131,
1,26.94,C++,1664201214304,4469680,3335896,martynas-sm,LT,117495526235652,
1,26.91,C++,1664130440275,4468690,3196495,putibuzu,DE,,
1,24.92,C++,1664309154709,4471420,3533119,wlesavo,RU,44695284080274,
1,24.82,C++,1685788967414,4929419,837436,aropan,BY,68849260530594,
1,23.73,C++,1664008225805,4464697,2786666,TetraktysPhi,FR,20818693590142,
1,23.67,C++,1617909227656,3492915,1314316,jolindien,FR,14585204616953,
1,23.05,C++,1661672069535,4434613,4584723,babaaurhum,FR,,
1,22.55,C++,1698760292102,5092492,862919,Astrobytes,GB,60413902297900,
1,22.54,C++,1664367968282,4472241,4067707,therealbeef,KR,54066924332220,
1,21.74,C++,1664160104299,4469047,1196349,SomeNumbers,UA,,
1,21.68,C++,1741641477255,5803020,1140677,Crog,FR,41060062482552,
1,21.03,C++,1664192255113,4469410,1073247,_NikJ,RS,2509638482149,
1,20.88,C++,1667659148487,4516908,4537924,ArtesScytale,BE,121331549433012,
1,20.87,C++,1663773726307,4459552,5052454,chris.steele,US,89311405495927,
1,20.83,C++,1714886944268,5374637,3647844,rc95401,US,39486169555819,
1,20.51,C++,1559505799844,2409369,1480384,RockyMullet,CA,29411883532107,
1,20.19,C++,1663231586280,4450687,1880319,WildSmilodon,SI,11419736983376,
1,19.63,C++,1569702559986,2503337,2923506,darkhorse64,FR,23496414257567,
1,19.06,C++,1664282159095,4470891,4341304,Remi.,FR,97662026388574,
1,18.59,C++,1754152458033,6000310,6065835,AYOUB_DIRI,MA,122870041653670,
1,18.54,C++,1574884218234,2612494,1049935,Azkellas,FR,20993257292354,
1,13.87,C++,1760185906077,6063789,3513265,DaNinja,IE,35022107863170,
1,6.29,C++,1555521423536,2334319,1753077,codingWhale,FI,44660101966182,
0,29.28,C++,1755451750739,6014621,6350218,celeria,FR,133470886510046,
0,28.65,C++,1759044371710,6052508,6022093,Pedro1994,FR,121267800390213,
0,28.28,C++,1718963439585,5477417,1886665,Ficek,PL,22252265670407,
0,27.96,C++,1704830557862,5276242,4612757,AlgoAce,MA,97039508473927,
0,27.15,C++,1667819885558,4518419,2829386,Shaq76,GB,52749040542647,
0,25.74,C++,1663754084970,4458895,1457162,JFB,PL,12110108490250,
0,24.38,C++,1712165331143,5355579,1712393,BurningSmith,DE,10045804513309,
0,24.32,C++,1664457051287,4473588,4963522,Serhii_Kovalenko,UA,87126585729056,
0,23.86,C++,1679640437975,4777090,4222531,clerven,FR,82641968424156,
0,23.66,C++,1720866791474,5529983,5573671,LeMasSon,FR,107252527944826,
0,22.51,C++,1664158765048,4469033,4878567,Jerry81,CN,83885868773655,
0,22.11,C++,1718963041426,5477392,5303722,micmus,PL,118587845866755,
0,21.76,C++,1671655909237,4613783,3834291,yhyoxx,MA,53072669816205,
0,21.15,C++,1562292674839,2436362,2018552,guruaho,JP,124545127640743,
0,21.09,C++,1663577957339,4454739,4801044,TN19N,MA,145302064567003,
0,20.36,C++,1756976516912,6030667,6675266,hichemjadlaoui,TN,145361603180131,
0,20.35,C++,1562264772506,2436121,3386699,Shibuyap,JP,30179601613743,
0,20.33,C++,1728823065035,5596673,3791753,607,MD,44844500528169,
0,19.3,C++,1718963279037,5477405,3699033,Bitwise,PL,42305589620554,
0,19.14,C++,1665210726735,4484732,3018178,Fallback,US,105462865253366,
0,18.58,C++,1718007780432,5402413,3702076,Misiodziej,PL,,
0,17.75,C++,1723889708632,5555249,5964020,SuperDron,UA,119292983605176,
0,17.65,C++,1563260330020,2443995,1815583,HarderTilt,US,10729093375191,
0,17.42,C++,1663599909628,4455359,5058386,Dudee89,DE,89730306041734,
0,16.12,C++,1728527404434,5594644,6312582,IamToshiro,PH,131521340017017,
0,14.42,C++,1588752504416,2849846,1436776,BrainSolver,FR,10099178983053,
0,14.24,C++,1664533738860,4474903,2245596,BAZooo,FR,15035211220780,
0,14.1,C++,1724060207644,5556373,4218305,dusiu,PL,120815585709422,
0,13.97,C++,1664834247099,4478693,4215240,Rysiu22,PL,77442949262806,
0,13.87,C++,1702638161516,5139476,5763700,Oleksii_Morozov,CZ,113799627015006,
0,13.84,C++,1560109286477,2416931,1418821,input.txt,RU,13393616028136,
0,13.45,C++,1611932274839,3409423,1127579,M3T4,DZ,2568604861558,
0,13.32,C++,1664525354928,4474779,4988410,Palau,ES,91092807319052,
0,13.27,C++,1735838652305,5717008,3470270,Tabaxi3K,US,,
0,12.47,C++,1662302238588,4440385,1479930,LeRenard,FR,40384564000700,
0,11.87,C++,1714601240600,5373057,4275200,Revlantho,NL,126346921239013,
0,11.62,C++,1742226493612,5809811,6524101,[CG]OpenAIGPTO1-CPP,FR,140576821413920,
0,10.95,C++,1744819971349,5838306,6369482,_nova,MA,150608302695975,
0,9.26,C++,1669065842715,4536952,3783990,abobas,NL,64084166092762,
0,8.92,C++,1663506480594,4453895,2715508,Anth_,SE,43943627200135,
0,8.18,C++,1718366309233,5432422,1840946,zazaboon,JP,13380112545351,
0,8.18,C++,1658509514850,4402812,4763549,BlaiseEbuth,FR,107059760127848,
0,8.13,C++,1660241490927,4421381,3274956,LeProfesseur,FR,,
0,8.13,C++,1707313745815,5308195,5951073,Mysoka,FR,118855768965131,
0,8.03,C++,1565908705891,2468136,1838289,Dagal,BE,11875122484747,
0,8.01,C++,1614924228874,3450276,3354337,Westicles,CX,79146641399080,
0,7.95,C++,1604387149283,3159432,3721214,jrke,IN,68983084061211,
0,7.93,C++,1744765030417,5837397,5371158,ESCANOUR,MA,99812708177489,
0,7.9,C++,1712135253963,5355243,256955,cup_of_tea,FR,14752068261565,
0,7.82,C++,1715335945565,5377460,5354290,TypA,PL,106536785768922,
0,3.39,C++,1730282052215,5608986,1179950,Cg_TheLegend,JP,150853049862463,
0,3.06,C++,1663599210714,4455335,4800952,aelhayyany,MA,85421641294065,
0,-7.35,C++,1677417319154,4751663,5164522,Nikhilj11,IN,,
0,-7.39,C++,1586132418336,2757308,3749666,Gray104,US,42347106181644,
