league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=13|time=2026-03-29T05:29:29
0,49.07,C++,1742071619289,5807877,3727174,Crazy_Remi,FR,42091389678583,
0,44.61,C++,1772139386455,6273582,3136787,jacek,PL,75369242083208,
0,38.16,C++,1772982186165,6290654,3932502,N3l,BE,157991804804357,
0,35.16,C++,1755439339603,6014506,1479930,LeRenard,FR,40384564000700,
0,34.54,C++,1755185901637,6012149,1489865,EricSMSO,FR,10005277870281,
0,33.38,C++,1774737724765,6362194,2923506,darkhorse64,FR,23496414257567,
0,31.4,C++,1742217521588,5809672,2522090,MSmits,NL,17784428403916,
0,27.02,C++,1771016668668,6247522,3569066,derjack,MC,64869146225502,
0,26.92,C++,1762901971962,6091048,3647844,rc95401,US,39486169555819,
0,21.73,C++,1765969100113,6161990,6350218,celeria,FR,133470886510046,
0,18.98,C++,1749567912221,5886971,5546660,Wortis_999,MY,,
0,8.01,C++,1766990284407,6178549,7008737,KorecRay,TW,155273945453411,
0,-8.04,C++,1742229379763,5809871,6524101,[CG]OpenAIGPTO1-CPP,FR,140576821413920,
