league.divisionIndex,score,programmingLanguage,creationTime,agentId,codingamer.userId,pseudo,codingamer.countryId,codingamer.avatar,#multi|count=43|time=2020-10-10T00:30:03
1,40.29,C++,,3121047,3727174,Crazy_Remi,FR,42091389678583,
1,38.35,Rust,,3083380,2288263,dbdr,UA,43448306132121,
1,36.48,C++,,3107338,3721214,jrke,IN,68983084061211,
1,33.59,C,,3085350,2924895,trictrac,FR,23056996012330,
1,32.62,C#,,3077475,1378958,Illedan,NO,16222515698472,
1,30.55,Python3,,3108309,311035,leojean890,FR,42398427701382,
1,30.49,C++,,3094062,1489865,EricSMSO,FR,10005277870281,
1,29.67,C++,,3124326,3136787,jacek,PL,75369242083208,
1,29.38,Java,,3126030,3583775,Lethic,RU,75283363447241,
1,27.22,C++,,3120844,1629259,Marchete,ES,61997162908277,
1,26.38,C++,,3073423,1854246,Counterbalance,NL,26367790351026,
1,25.77,Javascript,,3086338,3465661,Thiesjoo,NL,45239908478293,
1,25.65,Python3,,3067764,2290633,field3,JP,75961127697737,
1,22.7,Go,,3122487,224325,TidyMaze,FR,2654133392410,
1,22.5,Python3,,3074830,523185,Hjax,US,46347448299324,
1,20.39,Python3,,3121135,3956735,rmaia,PT,53370427505144,
1,19.67,Python3,,3069782,2416641,Zenoscave,US,16732569385856,
1,19.23,C++,,3074944,2522090,MSmits,NL,17784428403916,
1,19.1,C++,,3086174,2968035,DomiKo,PL,46567648927625,
1,19.04,Python3,,3123825,4003255,Javtor,CO,51348407133870,
1,18.97,Python3,,3072539,3496138,HayTheFirst,FR,,
1,18.6,Swift,,3081601,3942955,dudio_nl,NL,48907049568996,
1,18.41,C++,,3068142,1479930,LeRenard,FR,40384564000700,
1,16.84,Java,,3080413,1464932,Tiramon,DE,12287237914571,
1,15.12,C++,,3087099,1838289,Dagal,BE,11875122484747,
1,14.93,C,,3111305,1029602,Potemkine,FR,3592202416352,
1,14.07,Ruby,,3066971,1678976,Gorbit99,HU,10176759624461,
1,13.42,PHP,,3070793,1412263,PatrickMcGinnisII,US,75707267075165,
1,12.96,C++,,3067170,3513265,DaNinja,IE,35022107863170,
1,12.64,Javascript,,3083650,3774500,zakariamouhid,MA,46244702989556,
1,12.64,C++,,3068964,2923506,darkhorse64,FR,23496414257567,
1,12.29,Python3,,3069895,826671,kayou,FR,52835383345680,
1,11.18,Python3,,3126424,3737269,htprogras,MA,51086601409565,
1,9.82,Python3,,3069707,3845610,pardouin,FR,60364063762936,
1,-0.69,C#,,3126343,778742,Xodem,DE,51026922011553,
1,-4.84,PHP,,3099735,1411952,gragatrim,US,25877983628595,
0,19.05,Python3,,3105660,3787419,Thyl,FR,44847420172903,
0,17.64,Java,,3120953,2017497,filou62,FR,18179129871720,
0,17.58,Java,,3066766,2508635,hemhel,FR,17633818881669,
0,16.09,Groovy,,3105075,169033,Yasser,IE,1729823426851,
0,-1.2,Python3,,3066591,1713174,BigUP,FR,9962854189979,
0,-4.08,D,,3070842,2043908,AntiSquid,,,
0,-4.96,Python3,,3122282,3994643,KingSatur,CO,,
